"lb" "mle" "ub" "ce" "Z" "cZ"
"Rpl32" -6.55562243938605 -4.05824246247708 -1.96222712471419 -1.96222712471419 -3.85975630928036 -2.5363795234613
"Spcs3" -9.85573169458718 -5.44072066398026 -2.72036033199013 -2.72036033199013 -3.84143486534796 -2.51611141564589
"l7Rn6" -9.27598277137616 -6.55562243938605 -2.85414854503882 -2.85414854503882 -3.81663413281781 -2.48709531923649
"Actb" -3.92445424942839 -2.80955247402259 -1.47167034353564 -1.47167034353564 -3.81270832822701 -2.48686702327169
"Rps26" -8.65163777714894 -4.77177959873679 -2.27439962182781 -2.27439962182781 -3.80655941913307 -2.48686702327169
"Gas1" -8.07188885393792 -4.816375669753 -2.27439962182781 -2.27439962182781 -3.80510891812755 -2.48686702327169
"Igfbp5" -6.28804601328866 -3.96905032044463 -1.87303498268173 -1.87303498268173 -3.79905648569883 -2.48214511243087
"Rps3" -6.86779493649968 -4.01364639146084 -1.91763105369796 -1.91763105369796 -3.79311534922991 -2.48106386074238
"Ncl" -7.40294778869445 -4.5042031726394 -2.14061140877912 -2.14061140877912 -3.792852076734 -2.48106386074238
"Rps9" -6.68941065243474 -4.14743460450953 -1.96222712471419 -1.96222712471419 -3.77431233115924 -2.45826930600461
"Rpl18a" -7.00158314954837 -4.14743460450953 -1.96222712471419 -1.96222712471419 -3.75715802037836 -2.44120502662278
"Hes6" -9.3205788423924 -6.6448145814185 -2.94334068707129 -2.94334068707129 -3.75133285976675 -2.43658581830146
"Mki67" -9.54355919747355 -6.68941065243474 -2.94334068707129 -2.94334068707129 -3.70833593193706 -2.38926768236366
"Hmgb1" -6.28804601328866 -3.79066603637969 -1.78384284064926 -1.78384284064926 -3.69429508703534 -2.37254507219401
"Rpl39" -7.71512028580808 -4.45960710162316 -2.05141926674665 -2.05141926674665 -3.68238720793392 -2.35886812755346
"Rrn3" -6.95698707853213 -3.96905032044463 -1.8284389116655 -1.8284389116655 -3.66951004969577 -2.3437282745304
"Sept11" -7.4921399307269 -4.41501103060692 -2.00682319573042 -2.00682319573042 -3.66687689601413 -2.34349155819014
"2810417H13Rik" -9.40977098442485 -6.60021851040229 -2.80955247402259 -2.80955247402259 -3.65244919777939 -2.32705587502603
"Pbk" -9.63275133950603 -6.86779493649968 -3.07712890011998 -3.07712890011998 -3.65073277972133 -2.32705587502603
"Ptges3" -5.35152852194781 -3.38930139723361 -1.56086248556811 -1.56086248556811 -3.63553222536261 -2.30835765740117
"Cks1b" -9.27598277137616 -6.4664302973536 -2.67576426097389 -2.67576426097389 -3.57926848244746 -2.23957479183459
"Hnrnpa0" -6.68941065243474 -3.79066603637969 -1.6946506986168 -1.6946506986168 -3.55661927740257 -2.20947977602118
"2700094K13Rik" -9.09759848731126 -6.4664302973536 -2.72036033199013 -2.72036033199013 -3.54672355800022 -2.19872353766459
"Ivns1abp" -5.93127744515879 -3.47849353926606 -1.51626641455187 -1.51626641455187 -3.5401610164861 -2.19535904158111
"Ran" -8.42865742206776 -4.59339531467185 -2.05141926674665 -2.05141926674665 -3.53716128406052 -2.19429713333389
"Dstn" -8.25027313800286 -4.59339531467185 -2.05141926674665 -2.05141926674665 -3.52726599958172 -2.18294935315963
"Dtymk" -6.55562243938605 -3.79066603637969 -1.65005462760057 -1.65005462760057 -3.51037563951217 -2.16111958839662
"Dnmt1" -9.09759848731126 -6.3326420843049 -2.58657211894144 -2.58657211894144 -3.50464721054744 -2.15591293062337
"Slc38a2" -8.91921420324632 -4.99475995381794 -2.31899569284404 -2.31899569284404 -3.47150500858224 -2.11485138029889
"Rcc2" -9.05300241629502 -6.28804601328866 -2.5419760479252 -2.5419760479252 -3.47035708511924 -2.11485138029889
"Gpr98" -9.40977098442485 -6.60021851040229 -2.80955247402259 -2.80955247402259 -3.46841681769532 -2.11485138029889
"Kif21a" -6.02046958719127 -3.656877823331 -1.60545855658434 -1.60545855658434 -3.45974126047839 -2.10507606672861
"Cdc123" -9.09759848731126 -6.28804601328866 -2.5419760479252 -2.5419760479252 -3.45224034090586 -2.09703895670518
"Cdk4" -7.84890849885677 -4.41501103060692 -1.91763105369796 -1.91763105369796 -3.42095247721102 -2.06018738514669
"Fbxw7" -9.18679062934371 -6.42183422633736 -2.63116818995766 -2.63116818995766 -3.4192340766412 -2.06018738514669
"Hmgb2" -8.96381027426257 -5.97587351617503 -2.36359176386027 -2.36359176386027 -3.41825044339702 -2.06018738514669
"Gas5" -5.21774030889911 -3.16632104215245 -1.33788213048695 -1.33788213048695 -3.40896861148461 -2.05195771746441
"Syt4" -9.27598277137616 -6.42183422633736 -2.5419760479252 -2.5419760479252 -3.40693447068116 -2.05195771746441
"Hnrnpr" -8.74082991918139 -4.90556781178548 -2.05141926674665 -2.05141926674665 -3.40555564487572 -2.05195771746441
"Hat1" -9.00840634527877 -6.19885387125618 -2.40818783487651 -2.40818783487651 -3.35788411352178 -1.99261553572154
"Mn1" -9.4543670554411 -5.6637010190614 -2.45278390589274 -2.45278390589274 -3.35639555051198 -1.99261553572154
"Rpl7" -6.55562243938605 -3.70147389434721 -1.51626641455187 -1.51626641455187 -3.34871214833529 -1.98639409013041
"Cenpe" -9.54355919747355 -6.6448145814185 -2.76495640300636 -2.76495640300636 -3.34834120191755 -1.98639409013041
"Brd3" -7.09077529158082 -4.14743460450953 -1.73924676963303 -1.73924676963303 -3.34350011574926 -1.98500707814095
"Trp53" -9.49896312645734 -5.52991280601271 -2.31899569284404 -2.31899569284404 -3.33882890402665 -1.98084793576741
"Rps20" -8.07188885393792 -4.23662674654202 -1.6946506986168 -1.6946506986168 -3.33383200853632 -1.97617245883225
"Polr3k" -8.87461813223008 -5.08395209585039 -2.14061140877912 -2.14061140877912 -3.3100581257241 -1.95368897103352
"Eif4g2" -5.6637010190614 -3.43389746824982 -1.38247820150318 -1.38247820150318 -3.30848377440513 -1.95368897103352
"Eef1b2" -8.38406135105155 -4.14743460450953 -1.65005462760057 -1.65005462760057 -3.30773974008308 -1.95368897103352
"Tcf12" -9.63275133950603 -6.77860279446719 -2.85414854503882 -2.85414854503882 -3.30020862036832 -1.94500546578762
"Fam60a" -8.69623384816518 -5.93127744515879 -2.14061140877912 -2.14061140877912 -3.27846736013882 -1.92185043368376
"Hells" -9.09759848731126 -6.37723815532111 -2.58657211894144 -2.58657211894144 -3.27598543520517 -1.92185043368376
"Prc1" -10.1233081206846 -7.13537136259706 -3.21091711316867 -3.21091711316867 -3.2718564714619 -1.92185043368376
"Gnb2l1" -6.51102636836981 -3.56768568129852 -1.42707427251941 -1.42707427251941 -3.27133402159252 -1.92185043368376
"Nedd4" -5.52991280601271 -3.34470532621737 -1.33788213048695 -1.33788213048695 -3.27129717910148 -1.92185043368376
"Mapt" -8.96381027426257 -4.68258745670431 -2.00682319573042 -2.00682319573042 -3.27056720769522 -1.92185043368376
"Arhgdia" -8.91921420324632 -5.7974892321101 -2.18520747979535 -2.18520747979535 -3.24866839410427 -1.90513738672416
