"lb" "mle" "ub" "ce" "Z" "cZ"
"Dlx2" -6.73400672345098 -3.87985817841215 -1.87303498268173 -1.87303498268173 -3.94066239524553 -0.976603481661862
"Ikbkg" -8.20567706698661 -5.7974892321101 -2.49737997690897 -2.49737997690897 -3.67625492832961 -0.469918877081129
"Tubb3" -7.53673600174314 -4.23662674654202 -1.8284389116655 -1.8284389116655 -3.55762725686998 -0.309361308834724
"Dlx1" -6.06506565820748 -3.34470532621737 -1.42707427251941 -1.42707427251941 -3.4649076517782 -0.178384089983324
"Msn" -7.09077529158082 -3.96905032044463 -1.65005462760057 -1.65005462760057 -3.29716829177211 -2.16869253792967e-05
"Egr1" -5.39612459296402 -3.656877823331 -1.38247820150318 -1.38247820150318 -3.06558781402729 -2.16869253792967e-05
"Nub1" -7.53673600174314 -4.86097174076924 -1.60545855658434 -1.60545855658434 -2.99966798331959 -2.16869253792967e-05
"Tsta3" -7.00158314954837 -3.56768568129852 -1.20409391743825 -1.20409391743825 -2.93292569974955 -2.16869253792967e-05
"C630043F03Rik" -7.71512028580808 -4.05824246247708 -1.38247820150318 -1.38247820150318 -2.93067844348539 -2.16869253792967e-05
"Ccnd2" -4.37041495959071 -2.80955247402259 -0.981113562357094 -0.981113562357094 -2.9268393737255 -2.16869253792967e-05
"Snapc3" -7.22456350462951 -4.37041495959071 -1.38247820150318 -1.38247820150318 -2.91458840712906 -2.16869253792967e-05
"Rnf24" -7.35835171767821 -4.99475995381794 -1.51626641455187 -1.51626641455187 -2.83681867707249 -2.16869253792967e-05
"Stmn3" -4.6379913856881 -2.36359176386027 -0.668941065243474 -0.668941065243474 -2.72420921777857 -2.16869253792967e-05
"Tbc1d15" -5.7974892321101 -3.16632104215245 -0.891921420324632 -0.891921420324632 -2.68771094016287 -2.16869253792967e-05
"Abracl" -5.35152852194781 -2.67576426097389 -0.713537136259706 -0.713537136259706 -2.65614870882436 -2.16869253792967e-05
"Sft2d3" -7.31375564666197 -4.77177959873679 -1.29328605947072 -1.29328605947072 -2.64620795559064 -2.16869253792967e-05
"Socs7" -7.09077529158082 -4.6379913856881 -1.15949784642202 -1.15949784642202 -2.64059883373061 -2.16869253792967e-05
"Axin1" -7.31375564666197 -4.28122281755823 -1.07030570438956 -1.07030570438956 -2.62528612231411 -2.16869253792967e-05
"Cul9" -7.00158314954837 -4.41501103060692 -1.07030570438956 -1.07030570438956 -2.62081597108327 -2.16869253792967e-05
"Pepd" -7.09077529158082 -4.68258745670431 -1.15949784642202 -1.15949784642202 -2.61211767741312 -2.16869253792967e-05
"Zfp846" -7.17996743361327 -4.72718352772055 -1.15949784642202 -1.15949784642202 -2.60458225376992 -2.16869253792967e-05
"Mvd" -7.13537136259706 -4.72718352772055 -1.20409391743825 -1.20409391743825 -2.58358474800805 -2.16869253792967e-05
"Tiam2" -7.22456350462951 -4.816375669753 -1.20409391743825 -1.20409391743825 -2.56758868441614 -2.16869253792967e-05
"Hsdl1" -5.6637010190614 -2.98793675808752 -0.802729278292171 -0.802729278292171 -2.54538484049594 -2.16869253792967e-05
"Mdm1" -6.37723815532111 -2.85414854503882 -0.713537136259706 -0.713537136259706 -2.54094846852442 -2.16869253792967e-05
"Gmpr2" -7.22456350462951 -3.61228175231476 -0.847325349308403 -0.847325349308403 -2.52344776107706 -2.16869253792967e-05
"Zfp9" -7.17996743361327 -4.77177959873679 -1.07030570438956 -1.07030570438956 -2.50109234947866 -2.16869253792967e-05
"Fam172a" -5.52991280601271 -2.67576426097389 -0.624344994227245 -0.624344994227245 -2.50029999077573 -2.16869253792967e-05
"Gm16515" -7.22456350462951 -4.77177959873679 -1.07030570438956 -1.07030570438956 -2.46901551747392 -2.16869253792967e-05
"Mob3a" -7.35835171767821 -4.28122281755823 -0.936517491340864 -0.936517491340864 -2.4641780985681 -2.16869253792967e-05
"Cdc25b" -6.86779493649968 -4.14743460450953 -0.802729278292171 -0.802729278292171 -2.43850057533649 -2.16869253792967e-05
"Steap2" -7.13537136259706 -4.6379913856881 -0.891921420324632 -0.891921420324632 -2.3896729124773 -2.16869253792967e-05
"D430041D05Rik" -6.55562243938605 -2.89874461605505 -0.535152852194781 -0.535152852194781 -2.38445134487618 -2.16869253792967e-05
"Magohb" -4.95016388280169 -2.36359176386027 -0.445960710162316 -0.445960710162316 -2.36976705980021 -2.16869253792967e-05
"Usp22" -4.19203067552577 -2.49737997690897 -0.445960710162316 -0.445960710162316 -2.36651115898695 -2.16869253792967e-05
"Nup210" -4.54879924365561 -2.27439962182781 -0.401364639146084 -0.401364639146084 -2.35926365083437 -2.16869253792967e-05
"Fignl1" -6.95698707853213 -3.43389746824982 -0.624344994227245 -0.624344994227245 -2.33903008699717 -2.16869253792967e-05
"Ube2e3" -3.8352621073959 -2.05141926674665 -0.356768568129852 -0.356768568129852 -2.33886898315821 -2.16869253792967e-05
