"lb" "mle" "ub" "ce" "Z" "cZ"
"Dlx6as1" -10.4354806177982 -7.26915957564576 -4.45960710162316 -4.45960710162316 -6.01525952160755 -4.33564808221199
"Nrxn3" -6.4664302973536 -3.87985817841215 -2.05141926674665 -2.05141926674665 -4.33008710549263 -1.87855134192766
"Pfn2" -5.88668137414258 -3.8352621073959 -1.91763105369796 -1.91763105369796 -3.93036631237846 -1.36713221903559
"Dlx5" -8.42865742206776 -5.93127744515879 -2.80955247402259 -2.80955247402259 -3.71430818328618 -0.974585799480857
"Sp9" -8.29486920901906 -4.32581888857447 -1.96222712471419 -1.96222712471419 -3.5647335552259 -0.804609157484829
"Crat" -8.33946528003531 -5.61910494804519 -2.31899569284404 -2.31899569284404 -3.4503220320962 -0.669104719526356
"Cyfip2" -8.02729278292168 -5.35152852194781 -2.05141926674665 -2.05141926674665 -3.3823489822729 -0.614228745124092
"Lmo3" -7.84890849885677 -4.77177959873679 -1.87303498268173 -1.87303498268173 -3.35300136085757 -0.614228745124092
"Dach1" -7.71512028580808 -5.17314423788287 -1.91763105369796 -1.91763105369796 -3.28465832266676 -0.572498118355939
"Bcl7b" -7.75971635682429 -4.816375669753 -1.65005462760057 -1.65005462760057 -3.11689999301141 -0.208355222844266
"Uckl1" -7.93810064088923 -5.35152852194781 -1.96222712471419 -1.96222712471419 -3.06115525203595 -0.0764854496550117
"Flrt2" -7.31375564666197 -3.656877823331 -1.29328605947072 -1.29328605947072 -2.99424169446034 -0.000171374303489663
"Sp8" -7.53673600174314 -4.23662674654202 -1.51626641455187 -1.51626641455187 -2.94087807207408 -0.000171374303489663
"Trmt10b" -7.58133207275939 -4.95016388280169 -1.56086248556811 -1.56086248556811 -2.93687640728247 -0.000171374303489663
"Mapk10" -7.35835171767821 -4.72718352772055 -1.38247820150318 -1.38247820150318 -2.84888186395778 -0.000171374303489663
"Dolpp1" -7.71512028580808 -4.10283853349332 -1.29328605947072 -1.29328605947072 -2.84369661399011 -0.000171374303489663
"Kif18b" -7.40294778869445 -4.10283853349332 -1.24868998845449 -1.24868998845449 -2.83570358620727 -0.000171374303489663
"Hars2" -7.4921399307269 -4.77177959873679 -1.42707427251941 -1.42707427251941 -2.81531816053347 -0.000171374303489663
"Epha3" -6.28804601328866 -3.16632104215245 -1.02570963337333 -1.02570963337333 -2.80889259862556 -0.000171374303489663
"Zfp959" -7.71512028580808 -5.03935602483418 -1.56086248556811 -1.56086248556811 -2.78117672726101 -0.000171374303489663
"Saal1" -7.35835171767821 -4.77177959873679 -1.42707427251941 -1.42707427251941 -2.76663619503862 -0.000171374303489663
"Slc9a6" -7.98269671190547 -4.6379913856881 -1.38247820150318 -1.38247820150318 -2.7155901082144 -0.000171374303489663
"Nfrkb" -7.17996743361327 -4.5042031726394 -1.20409391743825 -1.20409391743825 -2.70873361082796 -0.000171374303489663
"Rab4a" -7.17996743361327 -4.54879924365561 -1.15949784642202 -1.15949784642202 -2.67710841810891 -0.000171374303489663
"Zfp12" -8.02729278292168 -5.26233637991532 -1.6946506986168 -1.6946506986168 -2.66508494474459 -0.000171374303489663
"Rbm24" -7.26915957564576 -3.25551318418491 -0.891921420324632 -0.891921420324632 -2.65012820108001 -0.000171374303489663
"Mtmr3" -7.17996743361327 -4.45960710162316 -1.07030570438956 -1.07030570438956 -2.57246833804911 -0.000171374303489663
"Drg2" -6.86779493649968 -3.30010925520114 -0.847325349308403 -0.847325349308403 -2.56549352245261 -0.000171374303489663
"Trim41" -7.13537136259706 -4.37041495959071 -0.981113562357094 -0.981113562357094 -2.56318832328884 -0.000171374303489663
"Wrnip1" -7.04617922056458 -3.38930139723361 -0.802729278292171 -0.802729278292171 -2.55329644312281 -0.000171374303489663
"1700052N19Rik" -7.09077529158082 -4.37041495959071 -0.981113562357094 -0.981113562357094 -2.5488151776789 -0.000171374303489663
"Kdm5a" -4.6379913856881 -2.49737997690897 -0.579748923211013 -0.579748923211013 -2.54497064022983 -0.000171374303489663
"Rnf215" -7.04617922056458 -4.37041495959071 -0.981113562357094 -0.981113562357094 -2.53830564803602 -0.000171374303489663
"Nrep" -4.95016388280169 -2.5419760479252 -0.579748923211013 -0.579748923211013 -2.53636569209154 -0.000171374303489663
"Rpgr" -7.4921399307269 -4.23662674654202 -1.02570963337333 -1.02570963337333 -2.53395282099695 -0.000171374303489663
"Rad9a" -7.09077529158082 -3.8352621073959 -0.891921420324632 -0.891921420324632 -2.51393923464839 -0.000171374303489663
"Kat8" -7.13537136259706 -3.96905032044463 -0.891921420324632 -0.891921420324632 -2.49304847551456 -0.000171374303489663
"Ranbp10" -7.09077529158082 -4.05824246247708 -0.847325349308403 -0.847325349308403 -2.48768570316553 -0.000171374303489663
"Fam220a" -7.35835171767821 -4.6379913856881 -1.11490177540579 -1.11490177540579 -2.48746669392606 -0.000171374303489663
"St3gal2" -7.00158314954837 -3.25551318418491 -0.713537136259706 -0.713537136259706 -2.46486355888021 -0.000171374303489663
"Rcor1" -7.13537136259706 -3.12172497113621 -0.668941065243474 -0.668941065243474 -2.45271053542138 -0.000171374303489663
"Ssbp2" -5.93127744515879 -2.58657211894144 -0.535152852194781 -0.535152852194781 -2.44383991220311 -0.000171374303489663
"Bcl2l1" -7.22456350462951 -4.5042031726394 -0.936517491340864 -0.936517491340864 -2.44366597726697 -0.000171374303489663
"Arhgef39" -5.7974892321101 -2.36359176386027 -0.490556781178548 -0.490556781178548 -2.42706246513391 -0.000171374303489663
"Zc3hc1" -7.00158314954837 -4.32581888857447 -0.847325349308403 -0.847325349308403 -2.41579091332782 -0.000171374303489663
"Fkbp8" -4.77177959873679 -2.40818783487651 -0.445960710162316 -0.445960710162316 -2.41318775893965 -0.000171374303489663
"Phf14" -4.41501103060692 -2.27439962182781 -0.445960710162316 -0.445960710162316 -2.40767754079847 -0.000171374303489663
"Mxd3" -5.52991280601271 -2.49737997690897 -0.490556781178548 -0.490556781178548 -2.38822673807869 -0.000171374303489663
"Adal" -7.44754385971066 -4.19203067552577 -0.758133207275939 -0.758133207275939 -2.37350458722991 -0.000171374303489663
"Cpsf7" -5.75289316109389 -2.67576426097389 -0.490556781178548 -0.490556781178548 -2.36563973025392 -0.000171374303489663
"Taf6" -6.42183422633736 -2.89874461605505 -0.535152852194781 -0.535152852194781 -2.3601871027748 -0.000171374303489663
"Dnpep" -6.42183422633736 -2.98793675808752 -0.535152852194781 -0.535152852194781 -2.35791657588087 -0.000171374303489663
"Egf" -6.91239100751589 -4.23662674654202 -0.758133207275939 -0.758133207275939 -2.35084826401555 -0.000171374303489663
"Gm20199" -5.12854816686663 -2.67576426097389 -0.490556781178548 -0.490556781178548 -2.34574501414486 -0.000171374303489663
"Herc6" -7.58133207275939 -4.86097174076924 -1.07030570438956 -1.07030570438956 -2.33916028279303 -0.000171374303489663
"Casc5" -4.01364639146084 -2.05141926674665 -0.356768568129852 -0.356768568129852 -2.33616224118597 -0.000171374303489663
"Pms2" -7.4921399307269 -3.96905032044463 -0.713537136259706 -0.713537136259706 -2.33609600015825 -0.000171374303489663
"Ubac1" -7.00158314954837 -4.28122281755823 -0.713537136259706 -0.713537136259706 -2.33328788312387 -0.000171374303489663
"Megf9" -7.04617922056458 -3.96905032044463 -0.624344994227245 -0.624344994227245 -2.314901071607 -0.000171374303489663
"Ccdc61" -6.60021851040229 -3.96905032044463 -0.579748923211013 -0.579748923211013 -2.31383232375805 -0.000171374303489663
"Fam134a" -7.09077529158082 -4.37041495959071 -0.758133207275939 -0.758133207275939 -2.30975530653385 -0.000171374303489663
"Suco" -4.41501103060692 -2.22980355081158 -0.356768568129852 -0.356768568129852 -2.30152688204077 -0.000171374303489663
"Ftx" -6.91239100751589 -3.38930139723361 -0.579748923211013 -0.579748923211013 -2.30114075085284 -0.000171374303489663
"Sorbs2" -6.73400672345098 -3.96905032044463 -0.579748923211013 -0.579748923211013 -2.29034625796381 -0.000171374303489663
"Rhot1" -6.10966172922373 -2.80955247402259 -0.445960710162316 -0.445960710162316 -2.28610394179002 -0.000171374303489663
"Tceb3" -4.32581888857447 -2.14061140877912 -0.312172497113621 -0.312172497113621 -2.2647263744107 -0.000171374303489663
"Alg8" -7.04617922056458 -3.12172497113621 -0.445960710162316 -0.445960710162316 -2.25960249228387 -0.000171374303489663
"Gpm6a" -4.14743460450953 -2.14061140877912 -0.312172497113621 -0.312172497113621 -2.25828182997803 -0.000171374303489663
"Polb" -4.19203067552577 -2.09601533776288 -0.267576426097392 -0.267576426097392 -2.2474792468264 -0.000171374303489663
"Slc6a8" -6.86779493649968 -4.19203067552577 -0.579748923211013 -0.579748923211013 -2.22953776654165 -0.000171374303489663
"A830010M20Rik" -7.00158314954837 -4.28122281755823 -0.579748923211013 -0.579748923211013 -2.21970543440877 -0.000171374303489663
"Plekha5" -6.73400672345098 -4.01364639146084 -0.490556781178548 -0.490556781178548 -2.21875274191164 -0.000171374303489663
"Lrrc8d" -6.68941065243474 -3.12172497113621 -0.401364639146084 -0.401364639146084 -2.20987794437678 -0.000171374303489663
"Pqbp1" -4.41501103060692 -2.14061140877912 -0.267576426097392 -0.267576426097392 -2.20875963302463 -0.000171374303489663
"Eps15l1" -5.93127744515879 -2.45278390589274 -0.312172497113621 -0.312172497113621 -2.19987231873391 -0.000171374303489663
"Lims1" -4.816375669753 -2.22980355081158 -0.267576426097392 -0.267576426097392 -2.18823774477725 -0.000171374303489663
