"lb" "mle" "ub" "ce" "Z" "cZ"
"Mt1" -5.96258273700768 -4.50607397682261 -3.368176507928 -3.368176507928 -7.1608466438477 -6.17976419527459
"Ptn" -7.28254380092541 -5.00674886313622 -3.68678779921849 -3.68678779921849 -7.1608466438477 -6.17976419527459
"Serpine2" -11.1513951951671 -8.32940947230846 -6.37222582580976 -6.37222582580976 -7.1608466438477 -6.17976419527459
"Vim" -5.73500324322879 -4.41504217931105 -3.32266060917224 -3.32266060917224 -7.1608466438477 -6.17976419527459
"Fabp7" -7.05496430714649 -5.82603504074035 -4.73365347060154 -4.73365347060154 -7.1608086898456 -6.17976419527459
"Ccnd1" -5.96258273700768 -4.41504217931105 -3.23162881166066 -3.23162881166066 -7.16073281277289 -6.17976419527459
"Aldoa" -6.14464633203083 -4.46055807806682 -3.18611291290487 -3.18611291290487 -7.15963720283257 -6.17976419527459
"Igfbp3" -8.28389357355266 -5.55293964820563 -3.68678779921849 -3.68678779921849 -7.15918634898041 -6.17976419527459
"Tnc" -6.69083711710024 -4.00539909050897 -2.77646982410282 -2.77646982410282 -7.15173637313077 -6.17976419527459
"Rab31" -5.37087605318251 -4.05091498926477 -2.8219857228586 -2.8219857228586 -7.12112750269366 -6.16209703249522
"Igfbp2" -8.1928617760411 -5.41639195193827 -3.55024010295116 -3.55024010295116 -7.09759896688609 -6.14682520490753
"Sept9" -8.10182997852954 -5.32536015442671 -3.50472420419536 -3.50472420419536 -7.03667102728688 -6.08785883463382
"Tubb2a" -5.68948734447299 -3.77781959673005 -2.59440622907968 -2.59440622907968 -6.998844314582 -6.06451703679444
"Tagln2" -7.51012329470433 -4.64262167308994 -3.14059701414909 -3.14059701414909 -6.97798230912287 -6.04979162322035
"Scd1" -7.64667099097169 -4.7791693693573 -3.18611291290487 -3.18611291290487 -6.86878138422101 -5.93318573519365
"Xist" -7.96528228226218 -5.18881245815935 -3.32266060917224 -3.32266060917224 -6.80938455694145 -5.87327967520442
"Sdc4" -6.14464633203083 -4.18746268553213 -2.8219857228586 -2.8219857228586 -6.70207689182231 -5.76548100981107
