"lb" "mle" "ub" "ce" "Z" "cZ"
"Aldoa" -7.2163062752631 -5.5024335348881 -4.19447802249668 -4.19447802249668 -7.1608466438477 -6.32700719384387
"Fabp7" -8.07324264545056 -6.76528713305914 -5.68284119176968 -5.68284119176968 -7.1608466438477 -6.32700719384387
"Igfbp3" -9.24589241518082 -6.44957373351637 -4.60039525048022 -4.60039525048022 -7.1608466438477 -6.32700719384387
"Ptn" -8.29875221655256 -5.99855459131245 -4.6454971647006 -4.6454971647006 -7.1608466438477 -6.32700719384387
"Scd1" -8.70466944453609 -5.77304502021048 -4.19447802249668 -4.19447802249668 -7.1608466438477 -6.32700719384387
"Serpine2" -12.5383321532696 -9.74201347160517 -7.8477330743486 -7.8477330743486 -7.1608466438477 -6.32700719384387
"Tnc" -7.57712158902625 -5.18672013534533 -3.65325505185195 -3.65325505185195 -7.1608466438477 -6.32700719384387
"Tubb2a" -6.90059287572033 -4.91610865002299 -3.65325505185195 -3.65325505185195 -7.1608466438477 -6.32700719384387
"Vim" -6.94569478994071 -5.68284119176968 -4.46508950781903 -4.46508950781903 -7.1608466438477 -6.32700719384387
"Ccnd1" -7.17120436104268 -5.54753544910849 -4.37488567937826 -4.37488567937826 -7.1608086898456 -6.32700719384387
"Igfbp2" -9.06548475829925 -6.26916607663479 -4.41998759359864 -4.41998759359864 -7.1608086898456 -6.32700719384387
"Mt1" -6.85549096149994 -5.36712779222691 -4.14937610827626 -4.14937610827626 -7.1608086898456 -6.32700719384387
"Rab31" -6.85549096149994 -5.4122297064473 -4.0140703656151 -4.0140703656151 -7.1608086898456 -6.32700719384387
"Sept9" -8.97528092985847 -6.17896224819402 -4.32978376515784 -4.32978376515784 -7.16077074615588 -6.32700719384387
"Tagln2" -8.29875221655256 -5.45733162066772 -3.83366270873353 -3.83366270873353 -7.16077074615588 -6.32700719384387
"Sdc4" -7.03589861838152 -5.05141439268414 -3.60815313763153 -3.60815313763153 -7.16069488969098 -6.32700719384387
"Akap12" -6.85549096149994 -4.69059907892099 -3.33754165230918 -3.33754165230918 -7.1606569769045 -6.32700719384387
"Ptrf" -8.74977135875648 -5.95345267709206 -4.0140703656151 -4.0140703656151 -7.15997630085588 -6.32700719384387
"Xist" -8.74977135875648 -5.95345267709206 -4.05917227983549 -4.05917227983549 -7.15922386460115 -6.32700719384387
"Grm5" -8.5693637018749 -5.81814693443087 -3.9238665371743 -3.9238665371743 -7.15851278506541 -6.32700719384387
"Acadl" -7.35161201792425 -4.7808029073618 -3.33754165230918 -3.33754165230918 -7.15585054150785 -6.32700719384387
"Ddah1" -6.04365650553283 -4.28468185093745 -3.02182825276642 -3.02182825276642 -7.15269989536813 -6.32700719384387
"Tubb6" -8.52426178765452 -5.72794310599006 -3.87876462295391 -3.87876462295391 -7.15127481243874 -6.32700719384387
"Ckb" -6.04365650553283 -4.87100673580257 -3.69835696607234 -3.69835696607234 -7.15056768062636 -6.32700719384387
"Aldh1l1" -8.43405795921375 -5.68284119176968 -3.78856079451311 -3.78856079451311 -7.13377175572418 -6.31842872324053
"Olig1" -8.52426178765452 -5.68284119176968 -3.78856079451311 -3.78856079451311 -7.10324841480081 -6.29548626317278
"Lgals1" -5.90835076287164 -4.05917227983549 -2.84142059588484 -2.84142059588484 -7.10204533162601 -6.29548626317278
"Cdkn1a" -5.95345267709206 -4.0140703656151 -2.79631868166444 -2.79631868166444 -7.10060518892346 -6.29548626317278
"Aldoc" -7.80263116012821 -4.96121056424337 -3.29243973808878 -3.29243973808878 -6.95143085353014 -6.13670105525992
"Ephx1" -8.02814073123017 -5.27692396378614 -3.42774548074995 -3.42774548074995 -6.92643170113474 -6.11289102429931
"Vav3" -7.30651010370387 -4.41998759359864 -3.02182825276642 -3.02182825276642 -6.86940899009014 -6.05284976080003
"Ramp1" -8.07324264545056 -5.32202587800653 -3.47284739497037 -3.47284739497037 -6.8585973641298 -6.04483353799059
"Fbn2" -8.07324264545056 -5.32202587800653 -3.42774548074995 -3.42774548074995 -6.77130901077492 -5.95435677479006
"Trim9" -7.2163062752631 -4.32978376515784 -2.88652251010523 -2.88652251010523 -6.74036097184555 -5.93162048298988
"Cd44" -8.25365030233217 -5.45733162066772 -3.51794930919076 -3.51794930919076 -6.73769185483231 -5.93162048298988
"Pea15a" -5.00631247846376 -3.65325505185195 -2.52570719634208 -2.52570719634208 -6.71613974658696 -5.91088990484676
"Car2" -8.11834455967098 -5.32202587800653 -3.42774548074995 -3.42774548074995 -6.69820309913242 -5.89417239045286
"Pdlim5" -5.45733162066772 -3.65325505185195 -2.52570719634208 -2.52570719634208 -6.59117401582436 -5.78000577787298
"Tnfrsf12a" -7.80263116012821 -5.05141439268414 -3.20223590964799 -3.20223590964799 -6.52183441486228 -5.70812248435475
"Sparcl1" -6.40447181929598 -4.10427419405587 -2.66101293900326 -2.66101293900326 -6.4932153340973 -5.67893458595862
"Vcl" -6.72018521883875 -4.10427419405587 -2.66101293900326 -2.66101293900326 -6.37073937966379 -5.54276927126308
"Timp3" -6.90059287572033 -4.10427419405587 -2.66101293900326 -2.66101293900326 -6.30480345278719 -5.47396340077814
"Camk2b" -7.30651010370387 -4.46508950781903 -2.88652251010523 -2.88652251010523 -6.30054588474443 -5.47228754275689
"Dusp3" -7.39671393214467 -4.41998759359864 -2.84142059588484 -2.84142059588484 -6.27481038179807 -5.4460032763624
"Pbxip1" -7.75752924590783 -5.00631247846376 -3.1571339954276 -3.1571339954276 -6.24139139229523 -5.4108641361302
"Sptbn1" -5.27692396378614 -3.47284739497037 -2.25509571101971 -2.25509571101971 -6.21112996291202 -5.37927070882492
"Fbln2" -5.95345267709206 -3.78856079451311 -2.48060528212169 -2.48060528212169 -6.18817287940277 -5.35598822872213
"Slc1a3" -5.09651630690456 -3.96896845139468 -2.79631868166444 -2.79631868166444 -6.17983452299122 -5.34941827474875
"Acta2" -8.25365030233217 -5.4122297064473 -3.33754165230918 -3.33754165230918 -6.15771110250274 -5.32699767872837
"S100a10" -7.66732541746702 -4.82590482158218 -3.02182825276642 -3.02182825276642 -6.15247527129305 -5.32390101094811
"Mest" -5.45733162066772 -3.69835696607234 -2.30019762524011 -2.30019762524011 -6.10768925015546 -5.27821984324775
"Il1rap" -7.80263116012821 -5.00631247846376 -3.1120320812072 -3.1120320812072 -6.04366663679354 -5.2129789631676
"Prkcb" -5.14161822112495 -3.56305122341115 -2.3452995394605 -2.3452995394605 -5.95026971825245 -5.10809021818567
"Sulf2" -7.71242733168741 -4.96121056424337 -3.06693016698681 -3.06693016698681 -5.91631692263735 -5.07158679011091
"Sgk1" -7.71242733168741 -4.96121056424337 -3.02182825276642 -3.02182825276642 -5.84562899981595 -4.99514158279075
"Ddit4l" -7.39671393214467 -4.6454971647006 -2.79631868166444 -2.79631868166444 -5.8246416085735 -4.97346780508175
"Gstm1" -6.3593699050756 -3.83366270873353 -2.39040145368089 -2.39040145368089 -5.79310601497475 -4.93950341832206
"Slc25a5" -4.91610865002299 -3.74345888029272 -2.57080911056247 -2.57080911056247 -5.78895264024539 -4.93729761860035
"Id3" -7.53201967480583 -4.7808029073618 -2.88652251010523 -2.88652251010523 -5.78052488171843 -4.93208789262714
"Fam212b" -7.48691776058544 -4.73570099314141 -2.88652251010523 -2.88652251010523 -5.78004111107167 -4.93208789262714
"Zcchc12" -7.53201967480583 -4.73570099314141 -2.84142059588484 -2.84142059588484 -5.69767030823288 -4.84135276453844
"Etv5" -5.4122297064473 -3.51794930919076 -2.16489188257893 -2.16489188257893 -5.69510535713686 -4.84086434049979
"Lxn" -5.90835076287164 -3.42774548074995 -2.11978996835853 -2.11978996835853 -5.6638052350935 -4.80686357818371
"Hbegf" -6.85549096149994 -4.0140703656151 -2.43550336790129 -2.43550336790129 -5.64851038590985 -4.79148106442698
"Zyx" -7.03589861838152 -3.96896845139468 -2.43550336790129 -2.43550336790129 -5.63624025565801 -4.77959851810812
"Chst2" -7.53201967480583 -4.73570099314141 -2.79631868166444 -2.79631868166444 -5.53376333936169 -4.66454416942585
"Nes" -5.05141439268414 -3.20223590964799 -1.98448422569735 -1.98448422569735 -5.52325241566111 -4.65462069251175
"Plk2" -6.81038904727952 -3.78856079451311 -2.30019762524011 -2.30019762524011 -5.48931898577122 -4.61716576712693
"Cd81" -4.69059907892099 -3.47284739497037 -2.25509571101971 -2.25509571101971 -5.48486121455605 -4.61430069046544
"Arhgap18" -7.26140818948348 -4.51019142203941 -2.61591102478287 -2.61591102478287 -5.45336170763736 -4.57961625177049
"Hip1" -5.05141439268414 -3.24733782386839 -1.98448422569735 -1.98448422569735 -5.41802043283755 -4.54496759154211
"Scd2" -4.41998759359864 -3.33754165230918 -2.16489188257893 -2.16489188257893 -5.40515262547404 -4.53208898463182
"Plat" -6.17896224819402 -3.60815313763153 -2.11978996835853 -2.11978996835853 -5.39325810204952 -4.52033335601879
"Gpx1" -4.46508950781903 -2.93162442432563 -1.80407656881577 -1.80407656881577 -5.25005036785981 -4.35760959995054
"Ldha" -4.60039525048022 -3.20223590964799 -2.07468805413814 -2.07468805413814 -5.23256936223952 -4.33907486042726
"Ctsc" -7.26140818948348 -4.46508950781903 -2.57080911056247 -2.57080911056247 -5.22687524000797 -4.33453469263302
"Acsbg1" -5.27692396378614 -3.24733782386839 -1.93938231147695 -1.93938231147695 -5.20882366264866 -4.3152714418614
"Mt3" -5.32202587800653 -3.24733782386839 -1.93938231147695 -1.93938231147695 -5.1442333251086 -4.24264902356924
"Anxa2" -7.12610244682229 -4.37488567937826 -2.48060528212169 -2.48060528212169 -5.07049632032857 -4.16091849130347
"Fgfr1" -6.13386033397364 -3.42774548074995 -1.98448422569735 -1.98448422569735 -5.06405380149156 -4.15535368665068
"Sparc" -7.12610244682229 -4.32978376515784 -2.43550336790129 -2.43550336790129 -5.05853384937463 -4.1515626874309
"Fas" -7.12610244682229 -4.32978376515784 -2.39040145368089 -2.39040145368089 -5.05733021055902 -4.1515626874309
"Anxa6" -5.36712779222691 -3.24733782386839 -1.93938231147695 -1.93938231147695 -5.05397109971537 -4.1496433601512
"Ano6" -5.27692396378614 -3.1571339954276 -1.84917848303616 -1.84917848303616 -5.05145592466577 -4.14871827988343
"Eef1a1" -4.51019142203941 -3.33754165230918 -2.11978996835853 -2.11978996835853 -5.03387016589346 -4.12970144126072
"Gm5506" -5.23182204956572 -3.06693016698681 -1.80407656881577 -1.80407656881577 -4.99668073833043 -4.08709068394492
"Tril" -7.2163062752631 -4.41998759359864 -2.48060528212169 -2.48060528212169 -4.98006306119073 -4.07121082318463
"Rab6a" -4.10427419405587 -2.66101293900326 -1.5785669977138 -1.5785669977138 -4.96238473310832 -4.05229471616718
"Arl4a" -5.81814693443087 -3.29243973808878 -1.89428039725656 -1.89428039725656 -4.95240492102349 -4.04397821094399
"Myc" -6.90059287572033 -4.14937610827626 -2.30019762524011 -2.30019762524011 -4.94211253693117 -4.03357469983778
"Rhoq" -5.32202587800653 -3.29243973808878 -1.89428039725656 -1.89428039725656 -4.9211286704468 -4.01025985546424
"Cav1" -6.9907967041611 -4.23957993671707 -2.3452995394605 -2.3452995394605 -4.9161036743527 -4.00617369652046
"Ak1" -6.44957373351637 -3.56305122341115 -1.98448422569735 -1.98448422569735 -4.87994489391054 -3.96757719846088
"Dtna" -5.45733162066772 -3.1571339954276 -1.80407656881577 -1.80407656881577 -4.87928801998141 -3.96757719846088
"Gpi1" -4.32978376515784 -2.79631868166444 -1.6236689119342 -1.6236689119342 -4.87475008913336 -3.96402382806003
"Itga6" -6.81038904727952 -4.05917227983549 -2.20999379679932 -2.20999379679932 -4.82238954247395 -3.90254617214664
"Dbi" -3.87876462295391 -2.79631868166444 -1.66877082615459 -1.66877082615459 -4.74113996240288 -3.80752777980864
"Cspg5" -5.45733162066772 -3.1571339954276 -1.75897465459538 -1.75897465459538 -4.73737286420638 -3.80486861608366
"Gatm" -6.49467564773679 -3.51794930919076 -1.89428039725656 -1.89428039725656 -4.73328776947743 -3.80180781590514
"Prdx6" -3.78856079451311 -2.57080911056247 -1.48836316927301 -1.48836316927301 -4.72023118121551 -3.78789747009417
