"lb" "mle" "ub" "ce" "Z" "cZ"
"Ccnd1" -7.41909149719277 -5.87155093949611 -4.68813757184574 -4.68813757184574 -7.1608466438477 -6.35500524924952
"Fabp7" -8.2383776747969 -6.96393250963493 -5.87155093949611 -5.87155093949611 -7.1608466438477 -6.35500524924952
"Igfbp2" -9.28524334617991 -6.50877352207708 -4.59710577433418 -4.59710577433418 -7.1608466438477 -6.35500524924952
"Igfbp3" -9.37627514369148 -6.59980531958868 -4.73365347060154 -4.73365347060154 -7.1608466438477 -6.35500524924952
"Ptn" -8.55698896608738 -6.2356781295424 -4.87020116686886 -4.87020116686886 -7.1608466438477 -6.35500524924952
"Scd1" -8.78456845986631 -5.91706683825191 -4.23297858428789 -4.23297858428789 -7.1608466438477 -6.35500524924952
"Sdc4" -7.23702790216965 -5.23432835691515 -3.82333549548585 -3.82333549548585 -7.1608466438477 -6.35500524924952
"Serpine2" -12.835483449131 -10.0134977262724 -8.10182997852954 -8.10182997852954 -7.1608466438477 -6.35500524924952
"Tagln2" -8.55698896608738 -5.68948734447299 -4.09643088802057 -4.09643088802057 -7.1608466438477 -6.35500524924952
"Tnc" -8.10182997852954 -5.41639195193827 -4.14194678677633 -4.14194678677633 -7.1608466438477 -6.35500524924952
"Tubb2a" -7.00944840839073 -5.05226476189202 -3.82333549548585 -3.82333549548585 -7.1608466438477 -6.35500524924952
"Aldoa" -7.51012329470433 -5.78051914198455 -4.41504217931105 -4.41504217931105 -7.1608086898456 -6.35500524924952
"Mt1" -7.28254380092541 -5.78051914198455 -4.55158987557838 -4.55158987557838 -7.1608086898456 -6.35500524924952
"Rab31" -6.8273848133676 -5.41639195193827 -4.14194678677633 -4.14194678677633 -7.1608086898456 -6.35500524924952
"Sept9" -9.05766385240099 -6.28119402829816 -4.41504217931105 -4.41504217931105 -7.1608086898456 -6.35500524924952
"Vim" -7.14599610465809 -5.82603504074035 -4.64262167308994 -4.64262167308994 -7.1608086898456 -6.35500524924952
"Xist" -8.87560025737787 -6.09913043327504 -4.18746268553213 -4.18746268553213 -7.16077074615588 -6.35500524924952
"Akap12" -7.05496430714649 -4.87020116686886 -3.55024010295116 -3.55024010295116 -7.1606569769045 -6.35500524924952
"Grm5" -8.69353666235471 -5.87155093949611 -4.00539909050897 -4.00539909050897 -7.15997630085588 -6.35500524924952
"Tubb6" -8.64802076359895 -5.82603504074035 -3.95988319175321 -3.95988319175321 -7.15914884343297 -6.35500524924952
"Aldh1l1" -8.60250486484315 -5.82603504074035 -3.95988319175321 -3.95988319175321 -7.1584008394977 -6.35500524924952
"Pea15a" -5.41639195193827 -4.05091498926477 -2.95853341912596 -2.95853341912596 -7.15776817015719 -6.35500524924952
"Olig1" -8.55698896608738 -5.64397144571719 -3.82333549548585 -3.82333549548585 -7.1564377830129 -6.35500524924952
"Acadl" -7.32805969968121 -4.73365347060154 -3.27714471041644 -3.27714471041644 -7.15621727814937 -6.35500524924952
"Ddah1" -6.46325762332132 -4.59710577433418 -3.27714471041644 -3.27714471041644 -7.15497428038571 -6.35500524924952
"Ptrf" -8.78456845986631 -6.00809863576347 -4.00539909050897 -4.00539909050897 -7.15113309972701 -6.35500524924952
"Aldoc" -7.91976638350641 -5.05226476189202 -3.45920830543957 -3.45920830543957 -7.14281603523209 -6.34990522218118
"Ckb" -6.05361453451927 -4.91571706562466 -3.73230369797428 -3.73230369797428 -7.11467490010644 -6.32651582578897
"Trim9" -7.28254380092541 -4.41504217931105 -3.00404931788174 -3.00404931788174 -7.05734926725812 -6.26623580497475
"Lgals1" -6.00809863576347 -4.09643088802057 -2.77646982410282 -2.77646982410282 -6.90616379672566 -6.10744757891069
"Ramp1" -8.1928617760411 -5.41639195193827 -3.50472420419536 -3.50472420419536 -6.90576559563451 -6.10744757891069
"Ephx1" -8.10182997852954 -5.32536015442671 -3.45920830543957 -3.45920830543957 -6.90090577362762 -6.10565331630934
"Fbn2" -8.1473458772853 -5.37087605318251 -3.45920830543957 -3.45920830543957 -6.80269160821867 -6.00224704938172
"Cd44" -8.28389357355266 -5.46190785069407 -3.50472420419536 -3.50472420419536 -6.71790934928843 -5.9146218299089
"Car2" -8.1928617760411 -5.37087605318251 -3.45920830543957 -3.45920830543957 -6.71585896744362 -5.9146218299089
"Prkcb" -5.18881245815935 -3.55024010295116 -2.41234263405655 -2.41234263405655 -6.57990954427281 -5.76747520370355
"Pbxip1" -7.91976638350641 -5.14329655940358 -3.27714471041644 -3.27714471041644 -6.52432398431206 -5.71092808987835
"Fbln2" -5.96258273700768 -3.91436729299741 -2.59440622907968 -2.59440622907968 -6.49193173760739 -5.68047037725553
"Dusp3" -7.64667099097169 -4.68813757184574 -3.04956521663752 -3.04956521663752 -6.47920176943851 -5.67122156096816
"Sparcl1" -6.87290071212337 -4.27849448304369 -2.8219857228586 -2.8219857228586 -6.4757746021852 -5.67122156096816
"Mest" -5.55293964820563 -3.68678779921849 -2.45785853281233 -2.45785853281233 -6.46120309155553 -5.65821614801064
