"lb" "mle" "ub" "ce" "Z" "cZ"
"Gstm1" -5.95345267709206 -3.42774548074995 -2.07468805413814 -2.07468805413814 -5.45967161965602 -4.51434992267981
"Sgk1" -7.48691776058544 -4.69059907892099 -2.79631868166444 -2.79631868166444 -5.40521067393111 -4.45591919307745
"Lxn" -5.68284119176968 -3.20223590964799 -1.89428039725656 -1.89428039725656 -5.34996146518841 -4.39298345855527
"Id3" -7.2163062752631 -4.46508950781903 -2.57080911056247 -2.57080911056247 -5.3358931219022 -4.3793593435051
"Chst2" -7.17120436104268 -4.41998759359864 -2.52570719634208 -2.52570719634208 -5.32435299473299 -4.36872754521208
"Ddit4l" -7.08100053260191 -4.32978376515784 -2.48060528212169 -2.48060528212169 -5.31768742737849 -4.36390984956425
"Acta2" -7.8477330743486 -5.00631247846376 -2.93162442432563 -2.93162442432563 -5.28454061337918 -4.32721189617227
"Slc25a5" -4.51019142203941 -3.38264356652957 -2.20999379679932 -2.20999379679932 -5.28089662203313 -4.32595293133383
"Zyx" -6.67508330461837 -3.65325505185195 -2.11978996835853 -2.11978996835853 -5.25446702944315 -4.30028389559133
"Zcchc12" -7.17120436104268 -4.41998759359864 -2.52570719634208 -2.52570719634208 -5.22727551906598 -4.27054729267414
"Hbegf" -6.44957373351637 -3.65325505185195 -2.11978996835853 -2.11978996835853 -5.16771782052512 -4.20755978863893
"Arhgap18" -6.90059287572033 -4.14937610827626 -2.30019762524011 -2.30019762524011 -5.05817302739435 -4.08339653007706
"Prkcb" -4.6454971647006 -3.06693016698681 -1.84917848303616 -1.84917848303616 -5.00415634207886 -4.02654016700267
"Hip1" -4.69059907892099 -2.93162442432563 -1.66877082615459 -1.66877082615459 -5.00218364949062 -4.02654016700267
"Cd81" -4.14937610827626 -3.02182825276642 -1.84917848303616 -1.84917848303616 -4.96298575829394 -3.98142618966201
"Etv5" -5.00631247846376 -3.1120320812072 -1.80407656881577 -1.80407656881577 -4.93626667912426 -3.95424587076777
"Anxa2" -6.90059287572033 -4.14937610827626 -2.25509571101971 -2.25509571101971 -4.92996726943403 -3.94926078650918
"Plk2" -6.49467564773679 -3.47284739497037 -1.98448422569735 -1.98448422569735 -4.91809377887994 -3.93741641802237
"Tril" -7.03589861838152 -4.23957993671707 -2.3452995394605 -2.3452995394605 -4.90622327826661 -3.9255459687609
"Sparc" -6.81038904727952 -4.05917227983549 -2.20999379679932 -2.20999379679932 -4.81827982543873 -3.82265783818907
"Nes" -4.69059907892099 -2.84142059588484 -1.66877082615459 -1.66877082615459 -4.78559914064288 -3.78491654954708
"Plat" -5.72794310599006 -3.1571339954276 -1.75897465459538 -1.75897465459538 -4.76037050494948 -3.75631449607186
"Ctsc" -6.90059287572033 -4.10427419405587 -2.25509571101971 -2.25509571101971 -4.73733835299236 -3.73037303395678
"Fas" -6.90059287572033 -4.14937610827626 -2.25509571101971 -2.25509571101971 -4.69835832764186 -3.68714046896313
"Scd2" -3.96896845139468 -2.88652251010523 -1.71387274037498 -1.71387274037498 -4.68771662503579 -3.67649041123505
"Cav1" -6.72018521883875 -3.9238665371743 -2.07468805413814 -2.07468805413814 -4.67832681447907 -3.66737559058667
"Acsbg1" -4.96121056424337 -2.93162442432563 -1.66877082615459 -1.66877082615459 -4.67532012528019 -3.66619735050112
"Eef1a1" -4.23957993671707 -3.06693016698681 -1.84917848303616 -1.84917848303616 -4.65838018359668 -3.6476160572869
"Myc" -6.67508330461837 -3.9238665371743 -2.07468805413814 -2.07468805413814 -4.64451141927925 -3.63283390274259
"Gpx1" -4.05917227983549 -2.57080911056247 -1.44326125505262 -1.44326125505262 -4.59767594359847 -3.58175362622674
"Mt3" -4.91610865002299 -2.79631868166444 -1.5334650834934 -1.5334650834934 -4.57488761519473 -3.55565045316588
"Arl4a" -5.5024335348881 -2.97672633854602 -1.6236689119342 -1.6236689119342 -4.57088066268164 -3.55308882611182
"Anxa6" -5.05141439268414 -2.93162442432563 -1.6236689119342 -1.6236689119342 -4.56570812123508 -3.54904348324684
"Gm5506" -4.96121056424337 -2.79631868166444 -1.5334650834934 -1.5334650834934 -4.54168035569813 -3.5212838569919
"Fgfr1" -5.77304502021048 -3.06693016698681 -1.6236689119342 -1.6236689119342 -4.52328054877503 -3.5005483057954
"Ak1" -6.22406416241441 -3.33754165230918 -1.75897465459538 -1.75897465459538 -4.51774789541967 -3.49599157538851
"Chl1" -6.62998139039795 -3.87876462295391 -2.02958613991774 -2.02958613991774 -4.50150746077678 -3.47791717276923
"Cspg5" -5.23182204956572 -2.97672633854602 -1.5785669977138 -1.5785669977138 -4.49727259716072 -3.47495922217551
"Itga6" -6.53977756195717 -3.78856079451311 -1.93938231147695 -1.93938231147695 -4.4461699864484 -3.41745331456274
"Ldha" -4.0140703656151 -2.66101293900326 -1.5334650834934 -1.5334650834934 -4.44310696452712 -3.4159115452147
"Mest" -4.82590482158218 -3.1120320812072 -1.71387274037498 -1.71387274037498 -4.433945933808 -3.40662952396101
"Akap2" -6.53977756195717 -3.78856079451311 -1.93938231147695 -1.93938231147695 -4.42557543967637 -3.39832962562519
"Ano6" -4.87100673580257 -2.79631868166444 -1.48836316927301 -1.48836316927301 -4.40538214553665 -3.37501119207146
"Dtna" -5.18672013534533 -2.93162442432563 -1.5785669977138 -1.5785669977138 -4.39414971484277 -3.36303218323525
"Sdc3" -5.18672013534533 -2.75121676744405 -1.48836316927301 -1.48836316927301 -4.39018227354548 -3.36128389000324
"Cd9" -3.42774548074995 -2.25509571101971 -1.21775168395065 -1.21775168395065 -4.38920970180931 -3.36128389000324
"Gatm" -6.22406416241441 -3.20223590964799 -1.6236689119342 -1.6236689119342 -4.37794022561126 -3.34920743788656
