"lb" "mle" "ub" "ce" "Z" "cZ"
"Scd2" -4.11574878448186 -3.00936470263189 -1.85872525750793 -1.85872525750793 -4.5252401009516 -3.41208102656625
"Eef1a1" -4.02723805793386 -2.8765986128099 -1.68170380441194 -1.68170380441194 -4.50507103291408 -3.39186171659131
"Itga6" -6.54979376455177 -3.85021660483786 -1.99149134732993 -1.99149134732993 -4.45147062417442 -3.32933928524517
"Slc16a1" -6.59404912782577 -3.67319515174186 -1.90298062078193 -1.90298062078193 -4.43318755331854 -3.31234184486383
"Arl4a" -4.95660068668782 -2.7438325229879 -1.46042698804195 -1.46042698804195 -4.3838089217073 -3.25503718411085
"Car8" -6.59404912782577 -3.89447196811186 -1.99149134732993 -1.99149134732993 -4.38153223889628 -3.25503718411085
"Tspan12" -4.20425951102986 -2.7880878862619 -1.50468235131595 -1.50468235131595 -4.37556320995113 -3.25050311873
"Slc4a4" -6.54979376455177 -3.85021660483786 -1.94723598405593 -1.94723598405593 -4.36645835002234 -3.24184770663056
"Wwtr1" -6.59404912782577 -3.85021660483786 -1.94723598405593 -1.94723598405593 -4.35937892650045 -3.23895414658517
"Pdxk" -6.41702767472977 -3.71745051501586 -1.85872525750793 -1.85872525750793 -4.33349166387734 -3.21140734711198
"Cd9" -3.40766297209787 -2.21276816369992 -1.19489480839796 -1.19489480839796 -4.32481763865446 -3.20315528412686
"Mical2" -6.37277231145577 -3.67319515174186 -1.81446989423394 -1.81446989423394 -4.29346050129632 -3.16518263506085
"Sptbn1" -4.33702560085186 -2.65532179643991 -1.41617162476795 -1.41617162476795 -4.25386691795544 -3.12228805083605
"Fam84a" -6.24000622163377 -3.05362006590589 -1.54893771458994 -1.54893771458994 -4.22778507351317 -3.09093119579967
"Lmna" -5.66468649907181 -2.92085397608389 -1.50468235131595 -1.50468235131595 -4.22047315224406 -3.08687880527238
"Spry4" -6.37277231145577 -2.92085397608389 -1.50468235131595 -1.50468235131595 -4.22020768597273 -3.08687880527238
"Fam102b" -5.04511141323582 -2.7438325229879 -1.37191626149395 -1.37191626149395 -4.21703436444126 -3.08562423600604
"Jam2" -5.13362213978382 -2.8765986128099 -1.46042698804195 -1.46042698804195 -4.20817634020416 -3.07690744946755
"Gatm" -5.17787750305782 -2.8323432495359 -1.46042698804195 -1.46042698804195 -4.20603634256057 -3.07690744946755
"Sc4mol" -3.67319515174186 -2.38978961679592 -1.28340553494595 -1.28340553494595 -4.20217122265742 -3.0746661505735
"Gabrg1" -6.46128303800377 -3.71745051501586 -1.85872525750793 -1.85872525750793 -4.18949087439776 -3.06077692232536
"Rab6a" -3.62893978846786 -2.25702352697392 -1.15063944512396 -1.15063944512396 -4.15208352793664 -3.01694869987024
"Ccdc141" -5.97447404198977 -3.14213079245389 -1.59319307786394 -1.59319307786394 -4.14851250282805 -3.01501251150475
"Dbi" -3.49617369864587 -2.43404498006991 -1.37191626149395 -1.37191626149395 -4.13339055035982 -2.9996571085717
"Sdc3" -5.35489895615381 -2.7438325229879 -1.37191626149395 -1.37191626149395 -4.13275500468072 -2.9996571085717
"Gm5506" -4.55830241722185 -2.65532179643991 -1.32766089821995 -1.32766089821995 -4.12279674819709 -2.98918536789053
"Lrrfip1" -4.07149342120786 -2.43404498006991 -1.19489480839796 -1.19489480839796 -4.09337467632619 -2.95552026175281
"Spred1" -6.28426158490777 -3.58468442519386 -1.72595916768594 -1.72595916768594 -4.08501603632207 -2.95241683590883
"B2m" -4.46979169067386 -2.43404498006991 -1.23915017167195 -1.23915017167195 -4.08262348211738 -2.95186394058523
"Itpr2" -6.32851694818177 -3.62893978846786 -1.77021453095994 -1.77021453095994 -4.07771937850507 -2.94795270164012
"Cd63" -3.54042906191987 -2.30127889024792 -1.15063944512396 -1.15063944512396 -4.0754154081 -2.94747791527659
"Cspg5" -4.95660068668782 -2.6995771597139 -1.32766089821995 -1.32766089821995 -4.07138569247886 -2.94684853768431
"Tgfb2" -6.28426158490777 -3.58468442519386 -1.72595916768594 -1.72595916768594 -4.07109349578797 -2.94684853768431
"Ptprf" -5.66468649907181 -2.8323432495359 -1.41617162476795 -1.41617162476795 -4.0644042184112 -2.94049243566782
"Cryab" -6.24000622163377 -3.49617369864587 -1.68170380441194 -1.68170380441194 -4.0358506500631 -2.9144479286191
"Gyg" -5.35489895615381 -2.8765986128099 -1.41617162476795 -1.41617162476795 -4.032582379239 -2.91303762844351
"Mfap3l" -6.06298476853777 -2.9651093393579 -1.46042698804195 -1.46042698804195 -4.00947444511822 -2.88709606642421
"Tm9sf3" -3.89447196811186 -2.30127889024792 -1.15063944512396 -1.15063944512396 -3.99906770631815 -2.87562051261397
"Ctsd" -4.29277023757786 -2.47830034334391 -1.23915017167195 -1.23915017167195 -3.99141901403844 -2.87017135319772
"Elovl5" -4.11574878448186 -2.34553425352192 -1.15063944512396 -1.15063944512396 -3.97621838240858 -2.85458508950485
"Cystm1" -6.15149549508577 -3.45191833537187 -1.59319307786394 -1.59319307786394 -3.94955565832816 -2.82126210265891
"Nsdhl" -4.16000414775586 -2.34553425352192 -1.15063944512396 -1.15063944512396 -3.94364164251043 -2.81567073322352
"Txn1" -3.09787542917989 -2.03574671060393 -1.06212871857596 -1.06212871857596 -3.93490638463143 -2.80628007984078
"Acer3" -6.19575085835977 -3.49617369864587 -1.63744844113794 -1.63744844113794 -3.91937747089651 -2.78774349840286
"Gpx1" -3.71745051501586 -2.34553425352192 -1.15063944512396 -1.15063944512396 -3.90970714523599 -2.77934459967483
"Sema6d" -5.79745258889381 -2.9651093393579 -1.37191626149395 -1.37191626149395 -3.90715841867916 -2.77819784074479
"Ctnnd2" -3.62893978846786 -2.16851280042593 -1.06212871857596 -1.06212871857596 -3.89660811776851 -2.7662760588982
"Laptm4b" -5.53192040924981 -2.6995771597139 -1.28340553494595 -1.28340553494595 -3.89349951350713 -2.76536676596702
"Ncan" -3.45191833537187 -2.30127889024792 -1.15063944512396 -1.15063944512396 -3.88818846929196 -2.76167649619325
"Pls3" -6.06298476853777 -3.05362006590589 -1.46042698804195 -1.46042698804195 -3.86684855863072 -2.74118832780065
"Plekhb1" -6.19575085835977 -3.49617369864587 -1.59319307786394 -1.59319307786394 -3.86643030076712 -2.74118832780065
"Sfxn1" -3.71745051501586 -2.21276816369992 -1.06212871857596 -1.06212871857596 -3.85024052657882 -2.7231871064588
"Ttyh1" -6.15149549508577 -3.40766297209787 -1.54893771458994 -1.54893771458994 -3.84349363608653 -2.71675845988494
"Slc38a2" -3.62893978846786 -2.25702352697392 -1.10638408184996 -1.10638408184996 -3.84100217536944 -2.71553973651701
"Cttnbp2nl" -4.33702560085186 -2.34553425352192 -1.10638408184996 -1.10638408184996 -3.82578095434164 -2.6992465061571
"Anxa6" -4.51404705394786 -2.34553425352192 -1.10638408184996 -1.10638408184996 -3.8213847518232 -2.69542097909925
"Cnn3" -3.14213079245389 -1.94723598405593 -0.973617992027967 -0.973617992027967 -3.81413091200655 -2.68981406807276
"Actg1" -3.18638615572789 -2.16851280042593 -1.10638408184996 -1.10638408184996 -3.8093279756114 -2.68682997965246
"Hsd17b12" -3.18638615572789 -1.94723598405593 -0.973617992027967 -0.973617992027967 -3.80581647872987 -2.68682997965246
"Ppic" -4.38128096412586 -2.34553425352192 -1.10638408184996 -1.10638408184996 -3.7919663743182 -2.6701536114902
"Bcan" -5.26638822960581 -2.6995771597139 -1.23915017167195 -1.23915017167195 -3.78972027697092 -2.66914556353186
"Pcdh7" -6.06298476853777 -3.36340760882387 -1.50468235131595 -1.50468235131595 -3.78164109464664 -2.6602376971767
"Ak1" -5.04511141323582 -2.6995771597139 -1.23915017167195 -1.23915017167195 -3.77014307657001 -2.64868894489962
"Pkm" -3.14213079245389 -2.03574671060393 -0.973617992027967 -0.973617992027967 -3.7684491558749 -2.64838933430661
"Trib2" -3.89447196811186 -2.12425743715192 -0.973617992027967 -0.973617992027967 -3.75558629101698 -2.63294641711027
"Eps8" -6.01872940526377 -3.31915224554988 -1.46042698804195 -1.46042698804195 -3.74557958137678 -2.62363006762697
"Ccng1" -4.07149342120786 -2.21276816369992 -1.01787335530196 -1.01787335530196 -3.74433153190577 -2.62363006762697
"Fam195b" -3.62893978846786 -2.12425743715192 -0.973617992027967 -0.973617992027967 -3.742917558288 -2.62363006762697
"Mfsd1" -4.82383459686582 -2.38978961679592 -1.10638408184996 -1.10638408184996 -3.73997334667706 -2.62157906434
"Plcd4" -6.10724013181177 -3.40766297209787 -1.50468235131595 -1.50468235131595 -3.73676167279029 -2.61915586421377
"Sfxn3" -6.10724013181177 -3.36340760882387 -1.46042698804195 -1.46042698804195 -3.72252881429847 -2.60368393937047
"Prnp" -4.46979169067386 -2.30127889024792 -1.06212871857596 -1.06212871857596 -3.71632928632134 -2.59814904143153
"Elovl6" -4.02723805793386 -2.25702352697392 -1.06212871857596 -1.06212871857596 -3.71391478903785 -2.59768978623797
"Prdx6" -3.36340760882387 -2.21276816369992 -1.10638408184996 -1.10638408184996 -3.70170869162557 -2.58298917128081
"Sc5d" -3.14213079245389 -1.99149134732993 -0.929362628753964 -0.929362628753964 -3.6949973011184 -2.5783136870087
"Rassf3" -5.97447404198977 -3.27489688227588 -1.41617162476795 -1.41617162476795 -3.69339344235237 -2.5783136870087
"Ntn1" -5.48766504597581 -2.61106643316591 -1.19489480839796 -1.19489480839796 -3.69277885104457 -2.5783136870087
"Peg12" -3.89447196811186 -2.12425743715192 -0.973617992027967 -0.973617992027967 -3.66599665039677 -2.54737857373733
"Dhcr24" -5.17787750305782 -2.6995771597139 -1.19489480839796 -1.19489480839796 -3.66222109484709 -2.54406214540998
"H2-K1" -5.22213286633182 -2.47830034334391 -1.10638408184996 -1.10638408184996 -3.6505895269604 -2.53001302977119
"Sptan1" -3.05362006590589 -1.90298062078193 -0.840851902205968 -0.840851902205968 -3.64452748429483 -2.52355348326694
"Pcyt2" -6.10724013181177 -3.27489688227588 -1.41617162476795 -1.41617162476795 -3.63721866359751 -2.51718968764938
"Gpi1" -3.45191833537187 -2.12425743715192 -0.973617992027967 -0.973617992027967 -3.62246318406668 -2.50060137157696
"Dmd" -4.69106850704382 -2.34553425352192 -1.01787335530196 -1.01787335530196 -3.61320965436575 -2.49426529918003
"Gng12" -3.71745051501586 -2.21276816369992 -0.973617992027967 -0.973617992027967 -3.61292863432834 -2.49426529918003
"Mfsd2a" -6.10724013181177 -3.36340760882387 -1.46042698804195 -1.46042698804195 -3.59513283525172 -2.47555824261608
"Gpt2" -4.46979169067386 -2.30127889024792 -1.01787335530196 -1.01787335530196 -3.58170418188555 -2.46061712426434
"Wls" -4.64681314376982 -2.38978961679592 -1.06212871857596 -1.06212871857596 -3.55488844761221 -2.43065496414387
"Fgfr3" -5.39915431942781 -2.7438325229879 -1.19489480839796 -1.19489480839796 -3.55080556441263 -2.42846501650515
"Arap2" -4.69106850704382 -2.08000207387793 -0.929362628753964 -0.929362628753964 -3.54251682021093 -2.41874808721489
"Limch1" -6.01872940526377 -3.31915224554988 -1.37191626149395 -1.37191626149395 -3.53421943536627 -2.40940070345256
"Slc5a3" -5.84170795216781 -2.8323432495359 -1.19489480839796 -1.19489480839796 -3.53327478713184 -2.40940070345256
"Gja1" -4.64681314376982 -2.43404498006991 -1.06212871857596 -1.06212871857596 -3.53006026260384 -2.40665729018443
"Flii" -5.93021867871577 -3.23064151900188 -1.32766089821995 -1.32766089821995 -3.52556714188044 -2.40214154434471
"Acss1" -5.93021867871577 -3.23064151900188 -1.32766089821995 -1.32766089821995 -3.51036923305908 -2.38690696946279
"Mdh1" -3.00936470263189 -1.94723598405593 -0.885107265479968 -0.885107265479968 -3.50969449648462 -2.38690696946279
"Fam63b" -4.73532387031782 -2.47830034334391 -1.06212871857596 -1.06212871857596 -3.50441455796118 -2.38126652689416
"Sema6a" -4.16000414775586 -2.25702352697392 -0.929362628753964 -0.929362628753964 -3.49633011758732 -2.37313839478361
"Csgalnact1" -5.93021867871577 -3.23064151900188 -1.32766089821995 -1.32766089821995 -3.47967838127234 -2.35195574179633
"Acaa2" -5.93021867871577 -3.23064151900188 -1.32766089821995 -1.32766089821995 -3.46196577893945 -2.33674747928666
"Sgpl1" -4.73532387031782 -2.43404498006991 -1.01787335530196 -1.01787335530196 -3.46165940349122 -2.33674747928666
