"lb" "mle" "ub" "ce" "Z" "cZ"
"Aldoa" -6.64532121834444 -4.96123296438046 -3.68678779921849 -3.68678779921849 -7.1608466438477 -6.28913674619342
"Ccnd1" -6.55428942083288 -4.96123296438046 -3.77781959673005 -3.77781959673005 -7.1608086898456 -6.28913674619342
"Fabp7" -7.6011550922159 -6.37222582580976 -5.23432835691515 -5.23432835691515 -7.1608086898456 -6.28913674619342
"Mt1" -6.50877352207708 -5.05226476189202 -3.86885139424164 -3.86885139424164 -7.1608086898456 -6.28913674619342
"Ptn" -7.87425048475062 -5.55293964820563 -4.23297858428789 -4.23297858428789 -7.1608086898456 -6.28913674619342
"Serpine2" -11.788617777748 -8.96663205488943 -7.05496430714649 -7.05496430714649 -7.1608086898456 -6.28913674619342
"Tnc" -7.19151200341385 -4.50607397682261 -3.32266060917224 -3.32266060917224 -7.1608086898456 -6.28913674619342
"Vim" -6.1901622307866 -4.87020116686886 -3.73230369797428 -3.73230369797428 -7.16077074615588 -6.28913674619342
"Tubb2a" -6.2356781295424 -4.27849448304369 -3.0950811153933 -3.0950811153933 -7.1606569769045 -6.28913674619342
"Igfbp3" -8.64802076359895 -5.91706683825191 -4.05091498926477 -4.05091498926477 -7.16061907440781 -6.28913674619342
"Rab31" -5.87155093949611 -4.50607397682261 -3.27714471041644 -3.27714471041644 -7.16054330026123 -6.28913674619342
"Sdc4" -6.59980531958868 -4.64262167308994 -3.23162881166066 -3.23162881166066 -7.1602028244609 -6.28913674619342
"Sept9" -8.46595716857579 -5.68948734447299 -3.86885139424164 -3.86885139424164 -7.15990087455894 -6.28913674619342
"Tagln2" -7.87425048475062 -5.00674886313622 -3.50472420419536 -3.50472420419536 -7.15866218550696 -6.28913674619342
"Scd1" -8.05631407977374 -5.18881245815935 -3.59575600170692 -3.59575600170692 -7.15806554003099 -6.28913674619342
"Igfbp2" -8.55698896608738 -5.78051914198455 -3.91436729299741 -3.91436729299741 -7.15410347888194 -6.28913674619342
"Xist" -8.32940947230846 -5.55293964820563 -3.64127190046272 -3.64127190046272 -7.06131457257391 -6.19709157742524
"Ptrf" -8.28389357355266 -5.46190785069407 -3.59575600170692 -3.59575600170692 -7.02168874561746 -6.16433930767233
"Akap12" -6.28119402829816 -4.09643088802057 -2.77646982410282 -2.77646982410282 -6.98843084132327 -6.13463532254019
"Tubb6" -8.1473458772853 -5.37087605318251 -3.50472420419536 -3.50472420419536 -6.9854578805054 -6.13463532254019
"Olig1" -8.10182997852954 -5.23432835691515 -3.4136924066838 -3.4136924066838 -6.98020864359478 -6.13408256737558
"Aldh1l1" -8.05631407977374 -5.27984425567094 -3.45920830543957 -3.45920830543957 -6.93000728965876 -6.0824698659668
"Ddah1" -5.91706683825191 -4.09643088802057 -2.86750162161438 -2.86750162161438 -6.90603726500473 -6.06040744851541
"Grm5" -8.1473458772853 -5.32536015442671 -3.45920830543957 -3.45920830543957 -6.8955727835415 -6.05350373788626
"Ckb" -5.55293964820563 -4.46055807806682 -3.27714471041644 -3.27714471041644 -6.75545210181908 -5.89927327043145
"Acadl" -6.87290071212337 -4.32401038179946 -2.86750162161438 -2.86750162161438 -6.70344073979841 -5.84483865477709
