"lb" "mle" "ub" "ce" "Z" "cZ"
"Aldh1l1" -9.24589241518082 -6.44957373351637 -4.55529333625983 -4.55529333625983 -7.1608466438477 -6.40605838447932
"Aldoa" -8.34385413077294 -6.62998139039795 -5.32202587800653 -5.32202587800653 -7.1608466438477 -6.40605838447932
"Ddah1" -6.67508330461837 -4.91610865002299 -3.56305122341115 -3.56305122341115 -7.1608466438477 -6.40605838447932
"Grm5" -9.47140198628279 -6.67508330461837 -4.73570099314141 -4.73570099314141 -7.1608466438477 -6.40605838447932
"Igfbp2" -10.0126249569275 -7.26140818948348 -5.32202587800653 -5.32202587800653 -7.1608466438477 -6.40605838447932
"Igfbp3" -10.2832364422499 -7.48691776058544 -5.59263736332887 -5.59263736332887 -7.1608466438477 -6.40605838447932
"Lgals1" -6.94569478994071 -5.09651630690456 -3.78856079451311 -3.78856079451311 -7.1608466438477 -6.40605838447932
"Mt1" -7.89283498856898 -6.3593699050756 -5.05141439268414 -5.05141439268414 -7.1608466438477 -6.40605838447932
"Ptn" -9.24589241518082 -6.9907967041611 -5.54753544910849 -5.54753544910849 -7.1608466438477 -6.40605838447932
"Scd1" -9.83221730004594 -6.85549096149994 -5.18672013534533 -5.18672013534533 -7.1608466438477 -6.40605838447932
"Tagln2" -9.33609624362163 -6.44957373351637 -4.7808029073618 -4.7808029073618 -7.1608466438477 -6.40605838447932
"Tubb6" -9.33609624362163 -6.53977756195717 -4.6454971647006 -4.6454971647006 -7.1608466438477 -6.40605838447932
"Vim" -8.25365030233217 -6.94569478994071 -5.77304502021048 -5.77304502021048 -7.1608466438477 -6.40605838447932
"Xist" -9.78711538582555 -6.9907967041611 -4.96121056424337 -4.96121056424337 -7.1608466438477 -6.40605838447932
"Acadl" -8.02814073123017 -5.45733162066772 -3.96896845139468 -3.96896845139468 -7.1608086898456 -6.40605838447932
"Akap12" -8.11834455967098 -5.90835076287164 -4.55529333625983 -4.55529333625983 -7.1608086898456 -6.40605838447932
"Ccnd1" -8.43405795921375 -6.81038904727952 -5.59263736332887 -5.59263736332887 -7.1608086898456 -6.40605838447932
"Cdkn1a" -6.90059287572033 -4.96121056424337 -3.69835696607234 -3.69835696607234 -7.1608086898456 -6.40605838447932
"Fabp7" -8.7948732729769 -7.48691776058544 -6.40447181929598 -6.40447181929598 -7.1608086898456 -6.40605838447932
"Olig1" -9.33609624362163 -6.44957373351637 -4.51019142203941 -4.51019142203941 -7.1608086898456 -6.40605838447932
"Pea15a" -6.08875841975322 -4.69059907892099 -3.51794930919076 -3.51794930919076 -7.1608086898456 -6.40605838447932
"Ptrf" -9.5165039005032 -6.72018521883875 -4.73570099314141 -4.73570099314141 -7.1608086898456 -6.40605838447932
"Sdc4" -8.11834455967098 -5.99855459131245 -4.51019142203941 -4.51019142203941 -7.1608086898456 -6.40605838447932
"Sept9" -9.78711538582555 -7.03589861838152 -5.14161822112495 -5.14161822112495 -7.1608086898456 -6.40605838447932
