"NS_01_1g" "NS_02_1g" "NS_03_1g" "NS_04_1g" "NS_05_1g" "NS_08_1g" "NS_10_1g" "NS_11_1g" "NS_14_1g" "NS_15_1g" "NS_16_1g" "NS_17_1g" "NS_21_1g" "NS_22_1g" "NS_23_1g" "NS_24_1g" "NS_27_1g" "NS_31_1g" "NS_36_1g" "NS_37_1g" "NS_41_1g" "NS_44_1g" "NS_45_1g" "NS_46_1g" "NS_48_1g" "NS_49_1g" "NS_52_1g" "NS_54_1g" "NS_56_1g" "NS_57_1g" "NS_58_1g" "NS_59_1g" "NS_61_1g" "NS_62_1g" "NS_63_1g" "NS_65_1g" "NS_66_1g" "NS_67_1g" "NS_68_1g" "NS_69_1g" "NS_71_1g" "NS_72_1g" "NS_74_1g" "NS_75_1g" "NS_77_1g" "NS_78_1g" "NS_79_1g" "NS_81_1g" "NS_82_1g" "NS_83_1g" "NS_84_1g" "NS_85_1g" "NS_86_1g" "NS_87_1g" "NS_89_1g" "NS_90_1g" "NS_91_1g" "NS_92_1g" "NS_93_1g" "NS_94_1g" "NS_95_1g" "NS_96_1g"
"0610038B21Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
"0610038L08Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0
"0610039K10Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0610040B10Rik" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0610040F04Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"0610040J01Rik" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0610043K17Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1100001G20Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110001A16Rik" 1 0 1 1 0 0 0 0 2 2 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 3 0 2 0 2 1 0 0 1 1 0 3 1 0 0 0 3 3 0 0 0 4 0 4 0 0 0 9 1 0 0 0 0 0
"1110001J03Rik" 10 5 0 17 10 3 15 5 2 0 1 4 0 0 1 23 2 3 45 5 13 1 10 3 5 3 4 0 11 4 12 12 6 22 7 15 12 14 0 0 7 2 0 25 1 5 6 0 0 0 3 1 9 0 2 8 2 8 10 3 0 1
"1110002L01Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"1110004E09Rik" 0 7 5 0 0 0 0 1 8 0 0 2 0 0 0 0 0 2 14 0 0 1 1 1 0 0 0 0 6 1 0 0 0 0 5 13 3 0 14 1 2 0 0 0 0 0 1 8 10 0 0 0 0 10 2 0 0 0 7 3 0 0
"1110004F10Rik" 23 19 19 21 23 2 107 0 33 4 7 8 1 1 5 2 1 36 111 34 1 48 3 3 1 0 9 2 97 15 12 0 5 19 1 40 26 0 2 101 15 45 38 16 4 55 39 6 206 18 8 10 9 0 1 1 9 2 55 26 3 0
"1110006O24Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110007C09Rik" 0 2 0 0 3 0 0 0 0 1 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 5 0 3 0 0 5 27 0 8 0 0 0 1 0 0 0 0 7 0 0 6 0 3 8 1 0 0 2 0 0 0 1 0 0
"1110008F13Rik" 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 0 1 2 0 0 1 0 0 0 0 0 0 0 5 0 1 0 0 0 0 0 0 1 1 0 0 0 5 0 0 0
"1110008J03Rik" 0 0 0 0 1 0 0 0 0 6 0 1 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 9 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 4 0 20 4
"1110008L16Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 93 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 19 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"1110008P14Rik" 0 0 0 12 0 0 0 2 0 10 0 2 0 0 0 0 0 1 2 10 0 0 8 2 45 0 6 1 2 0 10 0 0 17 0 0 0 3 0 0 0 1 0 0 0 1 0 0 2 0 0 3 0 0 11 0 0 0 4 0 0 1
"1110012L19Rik" 5 0 0 20 0 7 0 1 3 0 0 19 0 0 10 0 0 0 0 0 8 0 3 0 0 0 2 0 0 6 0 0 0 0 0 0 8 0 0 8 0 0 15 0 0 8 0 0 0 0 0 0 0 0 0 1 3 0 1 0 3 0
"1110015O18Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
"1110017D15Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110018G07Rik" 1 7 0 1 0 0 0 30 0 14 0 0 0 0 5 0 0 23 0 0 2 2 0 0 0 0 1 10 0 3 0 7 0 0 0 2 2 108 0 0 0 0 1 0 0 32 0 0 0 0 0 0 0 1 0 11 8 0 9 83 0 0
"1110019D14Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110020A21Rik" 7 0 0 6 0 0 0 0 0 0 0 7 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"1110025L11Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110028F11Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110028F18Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110032A03Rik" 0 0 0 0 0 0 0 0 0 0 0 6 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 11 0 0 0 8 0 0 0 0 1 0 5 0 0 0 0 11 0 0 1 0 0 0 0 50 0 0
"1110032F04Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110034G24Rik" 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"1110035M17Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110036E04Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110037F02Rik" 1 0 6 0 55 1 6 10 0 8 17 79 0 0 12 3 5 0 2 2 17 0 0 0 5 0 18 3 4 2 0 0 15 0 0 7 20 0 54 6 1 0 48 8 0 0 1 4 0 0 11 3 0 0 0 3 0 12 0 15 1 0
"1110038B12Rik" 6 1 4 4 0 8 0 0 0 3 1 12 8 7 15 27 5 8 4 1 13 1 7 0 99 4 2 1 10 9 17 1 28 9 23 0 2 0 7 5 5 0 8 0 5 4 21 0 39 0 30 1 0 0 19 0 0 0 0 16 15 5
"1110038F14Rik" 5 0 0 2 0 6 0 12 2 2 0 1 1 41 6 0 0 0 4 0 0 7 0 0 0 0 2 1 0 3 2 0 0 3 4 2 0 23 0 14 0 3 0 0 1 7 8 7 4 2 3 0 0 0 7 0 0 0 0 0 0 1
"1110046J04Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110051M20Rik" 3 0 22 7 0 7 0 1 0 0 0 0 0 0 17 0 3 0 90 3 0 0 0 1 0 2 0 0 0 1 6 0 1 0 2 0 1 0 0 0 1 37 0 0 4 0 0 0 2 0 0 5 0 2 1 0 3 0 0 0 0 0
"1110054M08Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110057K04Rik" 18 0 2 0 0 0 0 1 0 0 3 33 0 69 0 0 1 11 0 31 3 10 0 4 0 0 10 0 6 1 61 0 2 28 0 3 13 7 7 0 0 3 0 14 9 7 2 0 53 0 0 4 0 1 0 0 0 2 0 3 0 0
"1110058L19Rik" 2 3 3 5 0 1 0 2 1 6 1 2 5 6 27 3 4 14 28 2 25 3 12 1 2 2 0 5 0 0 8 1 13 19 23 1 0 0 4 1 7 10 10 0 6 1 0 1 10 14 1 9 10 4 15 22 0 1 19 1 0 28
"1110059E24Rik" 6 0 12 2 0 0 0 6 2 9 0 0 25 14 6 78 11 3 0 1 1 0 27 0 180 0 0 0 34 0 0 1 0 0 0 2 3 0 0 0 16 8 11 0 0 0 0 0 3 0 17 1 0 0 52 0 0 0 53 0 0 1
"1110059G10Rik" 3 0 4 0 0 0 0 0 0 2 0 0 0 0 0 10 3 0 52 0 2 0 0 0 32 0 0 0 0 4 0 0 0 12 0 34 5 0 0 0 0 1 0 1 0 0 0 0 0 0 0 4 67 1 0 0 0 8 0 0 1 0
"1110059M19Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110065P20Rik" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0
"1190002F15Rik" 2 2 0 1 6 0 0 4 0 0 2 0 0 0 1 0 0 0 0 0 7 6 1 0 0 0 0 0 0 0 1 0 0 2 0 1 0 14 3 7 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 23 0
"1190002N15Rik" 0 0 0 0 3 5 0 5 4 0 0 11 0 0 0 0 0 0 16 3 4 1 1 0 0 0 2 0 1 3 72 8 0 13 0 0 0 0 0 0 4 0 0 2 1 0 37 0 0 0 1 0 0 8 10 0 0 0 0 0 0 0
"1190003J15Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1190003K10Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
