"CD31_young" "CD31_young.1" "CD31_young.2" "CD31_young.3" "E_young" "E_young.1" "E_young.2" "E_young.3" "G_young" "G_young.1" "G_young.2" "G_young.3" "PG_young" "PG_young.1" "PGE_young" "PGE_young.1" "PGE_young.2"
"Cenpm" 22 6 0 11 7887 9526 7963 8777 41 6 373 8 6 21 9904 11896 10417
"Cenpn" 20 32 0 7 2592 1971 1962 3999 202 2 6 22 400 29 2610 4030 2615
"Cenpo" 16 0 1110 0 0 344 547 348 0 15 287 462 17 12 513 459 300
"Cenpp" 3 3 0 7 2449 3490 2449 3715 547 10 185 8 258 47 2586 3773 3809
"Cenpq" 12 490 0 198 7535 9046 8460 9480 130 2748 2544 960 1586 1245 8204 9025 9014
"Cenpt" 2 41 48 172 1164 1520 1515 2309 1129 41 207 2 337 41 1791 2552 1640
"Cenpv" 129 127 43 8 649 953 924 733 239 233 3 406 71 116 780 1090 1178
"Cenpw" 2 7 0 4 2696 4442 2758 2844 35 31 352 112 81 9 3419 3292 3775
"Cep104" 33 0 101 80 138 8 110 55 121 71 0 1 42 299 83 59 122
"Cep110" 416 1170 1583 1225 2287 1832 4245 3381 1288 758 452 2375 1900 506 2493 3476 2378
"Cep112" 11 871 1463 295 399 374 695 514 260 208 2 40 556 15 834 332 700
"Cep120" 468 225 497 1236 155 491 290 392 146 172 568 519 554 171 274 440 426
"Cep128" 0 0 785 118 69 360 437 251 25 632 1 19 612 414 690 249 352
"Cep135" 514 182 0 10 255 363 323 380 0 469 1 263 15 1 670 315 384
"Cep152" 0 134 0 1 71 406 241 445 335 564 0 42 145 2 182 823 281
"Cep164" 1101 319 484 227 578 684 449 517 579 157 1308 383 590 871 793 1263 502
"Cep170" 479 831 2 739 767 974 1134 2106 1792 1444 669 2089 1952 72 1409 1239 1353
"Cep170b" 41 0 0 173 16 43 53 45 81 16 17 126 24 95 53 107 70
"Cep19" 4 110 709 0 422 458 847 586 50 295 210 142 723 275 567 723 889
"Cep192" 349 401 1965 108 2252 3184 3236 3025 637 1448 200 1232 358 642 2406 2530 3325
"Cep250" 0 1 66 377 80 59 129 291 83 26 50 275 22 56 445 165 131
"Cep290" 890 1019 221 1352 2251 1521 2860 3157 862 1291 628 1849 802 805 2368 1612 2248
"Cep350" 230 1901 2089 1694 87 494 468 260 1456 1163 604 232 1185 990 814 585 805
"Cep44" 1 1 18 375 133 551 530 703 1215 450 258 187 608 344 814 836 1317
"Cep55" 1 3 0 2 339 753 1070 1636 0 0 0 6 0 6 941 994 1447
"Cep57" 405 957 2194 1049 1514 1659 3168 3074 1871 1510 645 844 1618 740 3432 3721 2429
"Cep57l1" 954 294 95 224 918 863 943 877 588 220 440 1060 117 379 1388 685 1181
"Cep63" 1041 1 0 193 802 211 314 93 861 396 389 330 576 237 316 256 275
"Cep68" 275 409 625 1391 224 288 579 573 1074 366 536 200 141 14 506 337 468
"Cep70" 41 314 2540 614 2264 1420 3078 3745 901 491 1922 1024 293 1386 3024 3780 1963
"Cep72" 0 0 0 1 604 345 111 173 42 0 0 0 0 0 408 339 343
"Cep76" 3 230 120 1 782 417 617 748 32 177 99 20 75 201 340 236 421
"Cep78" 144 794 206 99 107 257 411 589 261 480 436 168 330 239 158 585 428
"Cep85" 0 0 332 0 746 258 364 732 91 0 1 1 0 46 912 388 249
"Cep85l" 80 212 1 321 56 5 51 6 439 634 234 509 450 433 14 0 79
"Cep89" 1 39 2 0 1611 953 734 847 667 101 453 264 296 0 428 106 655
"Cep95" 16 4 4 0 24 394 303 599 659 564 181 240 726 614 218 186 446
"Cep97" 419 643 731 26 1483 650 1078 1354 447 862 437 16 998 816 464 568 815
"Cept1" 2035 1724 3714 1073 1127 1090 2136 1974 4002 6842 4712 4457 4662 1124 1519 2496 1590
"Cer1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cercam" 0 0 0 0 67 120 54 1 481 539 109 270 372 14 21 0 22
"Cerk" 172 0 0 0 27 6 78 145 28 121 0 31 99 623 66 303 109
"Cerkl" 0 0 0 14 0 0 0 0 0 4 0 0 0 0 0 0 0
"Cers1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cers2" 1093 573 2407 945 1053 1085 1460 1318 4567 1556 574 2545 3387 1727 1538 1996 1340
"Cers3" 1 0 0 1 0 44 0 0 0 0 0 0 0 0 0 0 19
"Cers4" 3597 6319 3096 2435 51 569 467 753 3341 641 6 537 592 229 570 834 554
"Cers5" 150 994 1754 618 1281 1090 551 374 2011 726 688 466 1000 855 991 1383 971
"Cers6" 0 0 0 0 9 0 1 44 0 1 0 3 281 1 69 0 0
"Ces1a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ces1b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ces1c" 16 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ces1d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ces1e" 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ces1f" 0 0 8 9 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ces1g" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ces2a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ces2b" 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 6 0
"Ces2c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ces2d-ps" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ces2e" 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0
"Ces2f" 7 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ces2g" 0 0 428 0 0 0 0 0 0 0 0 0 0 0 0 6 0
"Ces2h" 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ces3a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ces3b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ces4a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9
"Ces5a" 0 0 0 6 8 0 0 0 1 0 0 50 0 50 0 0 0
"Cetn1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cetn2" 4752 5022 8161 4072 4938 8976 8044 8857 1705 2291 1418 1881 2102 3115 6684 9720 8209
"Cetn3" 13622 15024 20746 10480 18506 25786 20046 23199 6906 5745 4689 5798 7465 3528 21949 23644 24439
"Cetn4" 0 0 0 131 0 87 118 309 0 161 162 0 0 120 86 0 147
"Cfb" 0 0 0 449 228 27 0 6 0 296 0 91 38 165 12 47 58
"Cfc1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cfd" 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0
"Cfdp1" 5395 7411 5465 2704 14075 13094 13482 15157 3607 1753 2232 1031 2972 2244 13695 15476 13582
"Cfh" 3121 4572 3247 2650 0 3 0 21 6 0 0 922 4 0 2 0 12
"Cfhr1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cfhr2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cfi" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Cfl1" 11849 6742 18836 9304 37219 48732 48584 45002 15781 5844 6713 10393 6908 6436 51696 49378 53946
"Cfl2" 1978 1610 576 1001 4752 8938 11197 13035 3515 3221 3079 4921 5835 1008 7741 14368 9374
"Cflar" 2070 1811 2905 1218 692 783 539 492 1392 1748 759 932 1534 1950 828 349 642
"Cfp" 3 0 48 4 0 195 151 112 300 263 80 382 798 298 151 55 80
"Cftr" 6 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"Cga" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cggbp1" 880 3077 858 2854 1971 1090 1670 1862 362 1783 428 1117 935 896 1711 1610 2322
"Cgn" 0 0 0 0 0 4 48 15 0 59 0 0 0 0 177 21 68
"Cgnl1" 4801 4909 3964 2285 0 0 0 10 0 5 0 0 3 0 1 0 19
"Cgref1" 10 50 0 0 0 0 0 0 0 62 0 332 15 3 0 0 0
"Cgrrf1" 1201 1878 1654 236 1352 1454 899 764 3303 1620 2233 1918 2009 2499 1692 427 1779
"Ch25h" 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chac1" 0 0 0 0 1 136 0 181 0 3 0 0 0 0 91 0 332
"Chac2" 179 302 113 83 335 1313 1350 1589 892 998 2717 1593 673 802 546 1123 1035
"Chad" 0 0 194 0 0 1 34 10 0 0 1 0 0 0 32 0 0
"Chadl" 0 2 0 0 0 8 63 3 231 324 12 134 45 76 0 12 0
"Chaf1a" 16 154 0 1 771 879 904 1669 12 0 0 149 4 2 712 472 1100
"Chaf1b" 2 0 0 243 1273 1511 2649 1394 0 1 3 3 1 24 1801 1695 1279
"Chat" 11 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0
"Chchd1" 3005 9531 4820 4563 20032 30476 22160 16165 3281 3859 3760 1955 4795 4107 20597 21108 27493
"Chchd10" 0 3 26 2 0 8 0 5 334 1064 508 189 721 608 3 0 2
"Chchd2" 683 2387 879 1748 1256 1636 1587 1127 4406 4181 1079 4432 4256 913 1254 1578 1599
"Chchd3" 1553 1561 2677 875 4137 4925 5222 5493 3751 2604 1397 4677 1839 579 3995 6919 5948
"Chchd4" 1 1143 576 16 1891 2215 2138 1885 386 390 7 345 17 645 2667 2601 1517
"Chchd5" 1812 845 1725 524 2664 4291 3048 3108 1196 753 1169 377 972 367 4438 4104 4590
"Chchd6" 28 3 920 143 1097 1365 2161 1249 950 101 663 478 297 511 2162 2641 1696
"Chchd7" 242 704 582 261 575 265 671 407 2917 3711 374 2466 3640 454 405 225 458
"Chd1" 527 1541 3442 427 648 545 867 1568 867 1162 399 1026 1174 761 733 1928 996
"Chd1l" 243 837 190 133 249 181 228 477 231 871 0 203 188 54 296 23 371
"Chd2" 1570 2409 1611 731 840 948 1439 1805 1296 1605 1075 1330 1009 1172 1051 1875 1107
"Chd3" 1787 1859 1384 790 2515 3289 1759 1980 994 613 832 402 653 693 2141 1952 2307
"Chd4" 390 1280 1114 1684 3274 2519 2822 3138 3202 2413 1629 1515 1913 1561 3615 2964 2729
"Chd5" 9 0 0 0 6 72 49 34 317 35 0 91 55 107 24 0 55
"Chd6" 1451 2684 2648 1874 2936 3968 2941 3898 3675 4018 3142 3298 2406 3230 3244 3291 4090
"Chd7" 10 293 253 264 2303 3433 3139 2428 1493 468 416 238 541 653 3462 3013 3352
"Chd8" 1745 2666 1322 926 1510 959 1100 1743 1002 1507 617 1212 1013 1460 851 521 1768
"Chd9" 13 585 1766 1444 1795 1720 2473 2693 5952 8072 6298 4855 4276 4492 2403 1861 1904
"Chdh" 0 303 33 0 0 16 0 0 0 26 0 0 0 0 0 0 0
"Chek1" 117 4 822 16 1570 1655 2167 3094 1 5 7 3 1 358 1828 1866 1458
"Chek2" 393 2 38 69 1155 1140 1618 1559 143 87 1 55 0 4 1595 593 1250
"Cherp" 563 329 63 1013 306 437 525 360 457 502 2 7 392 130 594 1285 753
"Chfr" 13 1083 0 386 442 135 440 348 333 600 1003 519 630 95 402 199 292
"Chga" 0 1 0 0 527 106 301 251 9 0 1 0 0 1 439 308 352
"Chgb" 0 0 0 15 181 250 170 439 0 8 0 146 0 2 214 450 108
"Chi3l1" 5 10 2 7 134 14 35 24 7494 3916 3954 4473 3404 5351 71 1 29
"Chi3l3" 9 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chi3l4" 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chic1" 68 562 3 506 37 601 441 754 1409 2733 401 1948 1139 973 503 795 851
"Chic2" 20 435 1 393 392 891 697 633 427 557 125 122 206 479 918 503 774
"Chid1" 4 568 23 11 888 913 686 760 1715 179 349 448 122 7 1325 845 824
"Chit1" 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0
"Chka" 396 1147 1664 536 66 578 178 973 1100 1857 1558 470 1021 729 695 946 817
"Chkb" 22 1 0 0 7 8 10 2 24 34 36 8 45 0 5 1 6
"Chl1" 0 2 0 0 0 39 0 103 132 459 189 12 124 61 0 2 13
"Chm" 1525 1417 1799 3297 1254 689 783 790 1484 1536 1233 2625 988 253 599 572 546
"Chml" 0 879 74 175 353 74 327 395 0 7 1 0 163 2 110 1 405
"Chmp1a" 2 337 346 7 994 793 337 1329 871 164 0 723 496 122 658 832 1229
"Chmp1b" 708 766 1328 97 320 719 1395 1211 445 1223 621 1821 1749 303 1093 1273 903
"Chmp2a" 20629 17207 19013 16681 13699 13702 9912 9126 10289 7703 5712 6969 6704 5809 14659 11942 13111
"Chmp2b" 989 661 1861 1772 414 589 327 120 1093 1123 421 494 551 780 559 550 574
"Chmp3" 4406 7076 5332 4408 777 1452 2789 2482 2344 1840 238 1719 665 317 2896 849 2285
"Chmp4b" 8 83 0 338 329 156 200 191 182 682 11 278 946 289 439 158 225
"Chmp4c" 0 0 0 0 0 0 0 0 0 54 0 17 0 0 0 0 5
"Chmp5" 10297 9308 9567 8424 6335 7854 8621 10359 5761 2911 2092 4639 4840 2321 7527 11156 8152
"Chmp6" 29 82 1637 424 348 354 297 99 14 2 356 258 264 67 388 171 493
"Chmp7" 916 981 1 445 502 614 380 235 144 895 68 440 396 17 410 244 315
"Chn1" 1 1 18 8 813 358 738 268 912 170 605 572 628 737 647 544 393
"Chn2" 1137 811 70 285 58 109 3 36 8926 285 74 449 501 0 2 0 2
"Chodl" 0 0 0 0 49 81 0 71 0 0 0 0 0 0 0 0 56
"Chordc1" 732 725 3946 585 516 714 1637 1218 2468 1830 577 2788 972 426 1019 2146 1235
"Chp1" 221 692 1190 317 391 610 563 472 1794 481 74 749 712 60 504 993 404
"Chp2" 0 0 0 0 0 0 0 0 292 0 0 0 0 0 0 0 0
"Chpf" 4 28 36 1 213 179 200 264 979 649 261 176 178 189 318 655 251
"Chpf2" 225 79 15 34 7 35 23 49 144 40 13 6 21 37 27 90 56
"Chpt1" 0 783 785 271 296 190 65 141 2178 2940 518 3482 2375 1940 110 507 358
"Chrac1" 3321 2289 2108 2081 1979 4086 3997 3582 1389 1481 999 809 1515 1337 3748 3088 4460
"Chrd" 0 0 0 1 47 60 2 0 49 0 0 6 88 187 130 4 39
"Chrdl1" 0 0 4 1 343 5 55 3 338 229 27 463 1149 865 145 341 95
"Chrdl2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0
"Chrm1" 0 0 0 21 0 0 0 0 0 79 0 0 0 0 0 0 0
"Chrm2" 0 39 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0
"Chrm3" 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0
"Chrm4" 0 0 0 0 0 11 2 0 0 0 0 0 0 9 1 21 7
"Chrm5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chrna1" 0 87 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chrna10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chrna2" 0 0 0 9 0 0 0 0 0 0 0 0 0 14 0 0 0
"Chrna3" 0 0 0 0 0 0 0 32 0 0 0 0 0 0 2 20 0
"Chrna4" 0 0 0 0 184 29 30 161 666 167 0 180 0 4 106 259 244
"Chrna5" 0 0 0 0 0 1 0 53 0 0 0 0 0 0 64 0 6
"Chrna6" 7 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chrna7" 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chrna9" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Chrnb1" 0 2620 1280 566 0 174 101 101 0 14 97 226 0 160 2 2 30
"Chrnb2" 13 0 0 1 98 169 25 52 9 49 0 25 1 118 160 54 90
"Chrnb3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chrnb4" 0 0 0 0 0 0 0 0 0 0 0 270 0 0 0 0 0
"Chrnd" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Chrne" 0 0 0 0 0 0 0 0 345 0 0 0 0 0 0 0 0
"Chrng" 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0
"Chst1" 1 1 6 14 2 6 19 6 2049 2596 2297 4145 1952 1783 98 10 115
"Chst10" 0 26 0 2 41 231 140 110 1585 1209 525 2062 1214 1361 237 2 40
"Chst11" 2155 867 1347 1026 0 174 277 73 1469 619 91 490 1219 996 176 86 145
"Chst12" 1 1 263 3 108 1 173 71 250 607 558 43 80 118 414 6 48
"Chst13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chst14" 569 0 57 0 8 23 120 0 0 0 0 0 0 0 13 0 13
"Chst15" 0 82 0 128 5 0 0 0 0 0 0 0 1 0 0 0 0
"Chst2" 361 9 89 733 161 183 182 221 4070 3135 1707 2194 2459 2627 315 437 172
"Chst3" 0 0 0 14 0 111 45 0 70 73 0 443 65 84 119 13 83
"Chst4" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Chst5" 0 0 0 0 0 0 0 0 0 13 0 0 0 1 173 266 139
"Chst7" 0 0 0 0 0 71 3 0 7 0 0 0 0 0 0 0 0
"Chst8" 0 0 0 0 0 0 0 4 0 0 0 0 3 0 0 0 0
"Chst9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chsy1" 1346 73 751 2130 2277 2746 4246 3806 7644 4695 3163 4777 6999 1670 3161 4471 2900
"Chsy3" 0 0 0 1 0 4 0 42 213 0 0 0 0 0 0 0 0
"Chtf18" 0 136 6 0 26 376 211 335 5 0 1 0 0 0 464 121 119
"Chtf8" 21 0 0 314 97 222 239 251 15 69 0 159 146 320 260 1 562
"Chtop" 1000 2984 1999 730 527 2155 1543 1778 765 1461 1360 1569 1566 1486 1584 2060 1709
"Chuk" 1881 708 2386 1099 909 1042 1106 1144 1998 3357 1717 2190 3036 1370 1257 1126 1448
"Churc1" 4289 3223 4122 1136 3052 4507 2770 3108 1781 2011 2167 1880 2764 4416 3688 5286 5357
"Ciao1" 1059 1258 27 918 1856 642 803 1033 1594 1463 81 395 1416 668 1070 2418 680
"Ciapin1" 2452 732 1726 1316 3826 1973 2680 2412 1172 66 162 1134 315 425 2379 1358 2359
"Cib1" 3155 739 1965 1801 1436 1797 1039 690 1947 1137 1431 1545 1968 386 1887 1341 2247
"Cib2" 24 2 1 0 0 6 0 0 0 333 0 85 134 0 77 0 153
"Cib3" 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cib4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cic" 71 66 503 133 1381 661 377 442 170 204 310 31 389 38 676 690 269
"Cidea" 0 0 33 0 0 0 0 0 0 0 0 0 143 0 0 0 29
"Cideb" 0 0 0 0 0 0 0 0 338 119 161 161 152 296 1 0 5
"Cidec" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"Ciita" 0 74 0 4 0 0 0 0 0 0 0 117 0 0 0 0 0
"Cilp" 0 0 0 0 0 0 0 0 0 0 0 0 0 85 0 0 0
"Cilp2" 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 21
"Cinp" 478 1374 1326 1322 2916 2859 3965 2640 1537 553 947 1001 693 567 3169 4369 3267
"Cir1" 2457 1204 1257 2337 1856 1959 1291 2269 636 892 1002 386 632 773 1592 3277 2578
"Cirbp" 1926 1227 37 1070 1479 2706 1836 3084 1610 483 357 1417 703 943 2077 2814 4013
"Cirh1a" 3 19 709 286 416 687 955 1051 776 70 279 877 67 126 842 1984 1050
"Cisd1" 6 294 88 213 845 1654 3664 2308 8236 4347 2084 5222 5602 596 4426 4791 2183
"Cisd2" 528 939 676 691 721 856 1781 1414 1694 1266 837 1988 1102 1058 1933 2322 1768
"Cisd3" 783 2 470 16 938 735 961 603 1713 267 487 1158 517 488 846 1260 1380
"Cish" 386 0 0 101 0 82 153 2 0 0 0 1 0 0 0 0 1
"Cit" 16 0 0 30 85 158 338 414 131 79 312 329 0 8 419 319 480
"Cited1" 0 0 0 1 941 15 241 319 0 93 0 0 0 0 0 6 246
"Cited2" 10 3 118 3 62 640 504 532 11 158 2 171 6 4 432 219 729
"Cited4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ciz1" 11 61 331 560 349 748 304 864 48 164 130 188 225 285 801 265 627
"Ckap2" 4 60 32 33 1437 2289 4803 5680 674 6 8 13 761 29 4373 5776 3057
"Ckap2l" 1 1 0 6 1869 3337 4616 5218 9 5 455 14 346 21 4506 3757 3513
"Ckap4" 186 1585 377 790 506 1740 2332 1667 30 414 711 477 343 408 1924 1362 1979
"Ckap5" 1068 1802 1292 2882 4048 6699 8335 12200 6370 8615 6958 4063 6307 3776 9096 8918 8844
"Ckb" 50 85 277 49 8503 10895 12843 11355 44870 20843 15936 25756 19848 9677 25705 41289 14247
"Cklf" 303 333 1114 5 1309 2456 1883 1884 1234 1255 2572 765 1278 1665 2326 1244 2339
"Ckm" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ckmt1" 0 0 24 0 0 0 0 117 4 120 0 0 0 0 0 8 0
"Ckmt2" 0 0 0 3 0 0 0 0 0 0 0 0 0 19 0 0 0
"Cks1b" 25 16 33 18 15562 24056 19722 19322 628 9 496 522 272 103 20531 17805 18971
"Cks2" 363 299 292 50 12781 21706 16594 21429 368 4 116 40 2 85 19231 14454 25253
"Clasp1" 676 674 886 597 1370 1010 1532 1405 1152 1407 747 1554 1466 632 1119 414 1628
"Clasp2" 493 1722 1801 446 1462 1168 1328 1971 10092 24344 7853 13295 14253 4549 1352 1703 1452
"Clasrp" 283 3 0 0 65 113 194 206 20 216 413 66 277 57 156 63 184
"Clca1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clca2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clca3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clca4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clca5" 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clca6" 14 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0
"Clcc1" 917 1223 839 576 859 914 668 1260 5090 1285 455 2070 1840 449 1592 1120 944
"Clcf1" 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clcn1" 0 0 0 4 0 0 65 48 0 3 0 0 0 0 3 6 3
"Clcn2" 1 563 3 13 7 17 19 128 640 577 986 190 221 0 263 46 163
"Clcn3" 1335 1921 1380 2547 1197 1494 1691 1835 6587 8286 3843 6763 7425 3433 1274 1544 1766
"Clcn4-2" 901 2664 1815 72 794 1669 1817 1623 3142 2550 1003 2876 2873 2704 1718 1340 1334
"Clcn5" 7 0 0 0 14 0 22 62 0 73 0 0 68 147 55 8 13
"Clcn6" 8 0 0 0 5 55 116 0 4 142 171 5 22 29 108 41 5
"Clcn7" 537 136 215 67 640 135 85 96 175 513 52 1179 706 635 180 537 163
"Clcnka" 0 0 0 2 0 0 0 0 0 0 0 2 3 0 0 0 0
"Clcnkb" 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0
"Cldn1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cldn10" 108 67 134 51 636 859 1407 952 51944 40137 45505 52574 59084 72573 2813 2802 2130
"Cldn11" 0 29 0 2 1460 713 187 778 2297 17 3 0 4693 87 4 28 3
"Cldn12" 73 1261 43 5 0 209 132 9 631 377 31 38 9 0 79 154 146
"Cldn13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cldn14" 0 0 0 0 87 0 0 0 0 0 0 0 0 0 0 0 0
"Cldn15" 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"Cldn16" 0 54 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cldn17" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cldn18" 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0
"Cldn19" 0 0 0 10 0 27 0 4 0 0 0 1 35 0 0 213 0
"Cldn2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cldn20" 0 0 0 0 0 3 0 0 0 0 0 117 0 0 0 0 0
"Cldn22" 0 0 0 96 0 0 0 0 0 0 153 0 0 0 0 0 2
"Cldn23" 0 0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0
"Cldn24" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cldn25" 998 1773 1555 1627 2282 2168 3194 4574 10863 4464 3572 6582 3571 3278 3553 4379 3155
"Cldn26" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cldn3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cldn4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cldn5" 15579 13296 7302 10861 0 18 0 23 0 2 0 0 11 0 18 0 14
"Cldn6" 0 138 147 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cldn7" 0 4 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cldn8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cldn9" 0 0 1685 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cldnd2" 0 0 348 0 0 0 0 0 0 5 0 0 0 0 10 0 0
"Clec10a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clec11a" 0 0 0 7 236 204 354 165 150 1 72 219 74 120 603 0 229
"Clec12a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clec12b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clec14a" 2527 4481 3552 3988 1 1 0 0 0 1 0 0 2 0 1 0 9
"Clec16a" 0 75 481 35 804 226 274 419 11 73 729 212 848 8 345 160 411
"Clec18a" 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"Clec1a" 5 441 1476 557 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clec1b" 0 0 399 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clec2d" 27 941 1103 955 0 0 0 2 4 0 0 0 0 0 0 0 0
"Clec2e" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clec2g" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clec2h" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clec2i" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clec2l" 0 0 1 0 0 0 2 0 0 0 0 81 0 1 0 0 3
"Clec3a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clec3b" 0 0 0 0 0 0 0 0 66 0 0 0 0 0 0 0 0
"Clec4a1" 0 128 0 0 0 0 0 0 0 0 0 290 0 4 0 0 0
"Clec4a2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
"Clec4a3" 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clec4a4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clec4b1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clec4b2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
