"name" "input" "mapped" "4" "5"
"V76" "1-E-C83" "229531" "173983" "NPC_83_1g" "NPC-like"
"V77" "1-E-C84" "144802" "109623" "NPC_84_1g" "Oligodendrocyte - Like Cell"
"V78" "1-E-C85" "155373" "115827" "NPC_85_1g" "NPC-like"
"V79" "1-E-C86" "153078" "106744" "NPC_86_1g" "NPC-like"
"V80" "1-E-C87" "102279" "75053" "NPC_87_1g" "aNSC-late"
"V83" "1-E-C91" "113503" "83131" "NPC_91_1g" "Oligodendrocyte - Like Cell"
"V84" "1-E-C92" "172521" "134477" "NPC_92_1g" "Oligodendrocyte - Like Cell"
"V85" "1-E-C93" "140947" "105161" "NPC_93_1g" "NPC-like"
"V86" "1-E-C94" "217419" "150631" "NPC_94_1g" "NPC-like"
"V87" "1-E-C95" "175600" "123759" "NPC_95_1g" "NPC-like"
"V88" "1-E-C96" "130421" "92628" "NPC_96_1g" "NPC-like"
"V1" "1-N-C01_S3" "105360" "88477" "NS_01_1g" "Passage 3 - Neurosphere"
"V2" "1-N-C02_S2" "105846" "84105" "NS_02_1g" "Passage 3 - Neurosphere"
"V3" "1-N-C03_S1" "77961" "65205" "NS_03_1g" "Passage 3 - Neurosphere"
"V4" "1-N-C04_S9" "134516" "110223" "NS_04_1g" "Passage 3 - Neurosphere"
"V5" "1-N-C05_S8" "151675" "129953" "NS_05_1g" "Passage 3 - Neurosphere"
"V6" "1-N-C08_S14" "144365" "125212" "NS_08_1g" "Passage 3 - Neurosphere"
"V7" "1-N-C10_S21" "180634" "145446" "NS_10_1g" "Passage 3 - Neurosphere"
"V8" "1-N-C11_S20" "140427" "122546" "NS_11_1g" "Passage 3 - Neurosphere"
"V9" "1-N-C14_S26" "142684" "120677" "NS_14_1g" "Passage 3 - Neurosphere"
"V10" "1-N-C15_S25" "109340" "93646" "NS_15_1g" "Passage 3 - Neurosphere"
"V11" "1-N-C16_S33" "246256" "215820" "NS_16_1g" "Passage 3 - Neurosphere"
"V12" "1-N-C17_S32" "184027" "157475" "NS_17_1g" "Passage 3 - Neurosphere"
"V13" "1-N-C21_S37" "61651" "51796" "NS_21_1g" "Passage 3 - Neurosphere"
"V14" "1-N-C22_S45" "247524" "221965" "NS_22_1g" "Passage 3 - Neurosphere"
"V15" "1-N-C23_S44" "168950" "144998" "NS_23_1g" "Passage 3 - Neurosphere"
"V16" "1-N-C24_S43" "131868" "107442" "NS_24_1g" "Passage 3 - Neurosphere"
"V17" "1-N-C27_S51" "237929" "199724" "NS_27_1g" "Passage 3 - Neurosphere"
"V18" "1-N-C31_S61" "124999" "105395" "NS_31_1g" "Passage 3 - Neurosphere"
"V20" "1-N-C36_S69" "298773" "238418" "NS_36_1g" "Passage 3 - Neurosphere"
"V21" "1-N-C37_S73" "154772" "112830" "NS_37_1g" "Passage 3 - Neurosphere"
"V22" "1-N-C41_S80" "195820" "167378" "NS_41_1g" "Passage 3 - Neurosphere"
"V23" "1-N-C44_S86" "131847" "111664" "NS_44_1g" "Passage 3 - Neurosphere"
"V24" "1-N-C45_S87" "208480" "177778" "NS_45_1g" "Passage 3 - Neurosphere"
"V25" "1-N-C46_S91" "151122" "127757" "NS_46_1g" "Passage 3 - Neurosphere"
"V26" "1-N-C48_S93" "193136" "150248" "NS_48_1g" "Passage 3 - Neurosphere"
"V27" "1-N-C49_S4" "67849" "55018" "NS_49_1g" "Passage 3 - Neurosphere"
"V28" "1-N-C52_S10" "137483" "119599" "NS_52_1g" "Passage 3 - Neurosphere"
"V29" "1-N-C54_S12" "134985" "117703" "NS_54_1g" "Passage 3 - Neurosphere"
"V30" "1-N-C56_S17" "189662" "160603" "NS_56_1g" "Passage 3 - Neurosphere"
"V31" "1-N-C57_S18" "146321" "126132" "NS_57_1g" "Passage 3 - Neurosphere"
"V32" "1-N-C58_S22" "175162" "144042" "NS_58_1g" "Passage 3 - Neurosphere"
"V33" "1-N-C59_S23" "125531" "105178" "NS_59_1g" "Passage 3 - Neurosphere"
"V34" "1-N-C61_S28" "206083" "169545" "NS_61_1g" "Passage 3 - Neurosphere"
"V35" "1-N-C62_S29" "137170" "114222" "NS_62_1g" "Passage 3 - Neurosphere"
"V36" "1-N-C63_S30" "138674" "120018" "NS_63_1g" "Passage 3 - Neurosphere"
"V37" "1-N-C65_S35" "240817" "211345" "NS_65_1g" "Passage 3 - Neurosphere"
"V38" "1-N-C66_S36" "236438" "209158" "NS_66_1g" "Passage 3 - Neurosphere"
"V39" "1-N-C67_S40" "192475" "169373" "NS_67_1g" "Passage 3 - Neurosphere"
"V40" "1-N-C68_S41" "133241" "115291" "NS_68_1g" "Passage 3 - Neurosphere"
"V41" "1-N-C69_S42" "140322" "117584" "NS_69_1g" "Passage 3 - Neurosphere"
"V42" "1-N-C71_S47" "220384" "189023" "NS_71_1g" "Passage 3 - Neurosphere"
"V43" "1-N-C72_S48" "214464" "184178" "NS_72_1g" "Passage 3 - Neurosphere"
"V44" "1-N-C74_S53" "134317" "112909" "NS_74_1g" "Passage 3 - Neurosphere"
"V45" "1-N-C75_S52" "162450" "146744" "NS_75_1g" "Passage 3 - Neurosphere"
"V46" "1-N-C77_S59" "195940" "169349" "NS_77_1g" "Passage 3 - Neurosphere"
"V47" "1-N-C78_S58" "187193" "160064" "NS_78_1g" "Passage 3 - Neurosphere"
"V48" "1-N-C79_S66" "118938" "97343" "NS_79_1g" "Passage 3 - Neurosphere"
"V49" "1-N-C81_S64" "211096" "188193" "NS_81_1g" "Passage 3 - Neurosphere"
"V50" "1-N-C82_S72" "214905" "173511" "NS_82_1g" "Passage 3 - Neurosphere"
"V51" "1-N-C83_S71" "275943" "214353" "NS_83_1g" "Passage 3 - Neurosphere"
"V52" "1-N-C84_S70" "181153" "145548" "NS_84_1g" "Passage 3 - Neurosphere"
"V53" "1-N-C85_S78" "129991" "109494" "NS_85_1g" "Passage 3 - Neurosphere"
"V54" "1-N-C86_S77" "149959" "115350" "NS_86_1g" "Passage 3 - Neurosphere"
"V55" "1-N-C87_S76" "111722" "94383" "NS_87_1g" "Passage 3 - Neurosphere"
"V56" "1-N-C89_S83" "272732" "236699" "NS_89_1g" "Passage 3 - Neurosphere"
"V57" "1-N-C90_S82" "224043" "193794" "NS_90_1g" "Passage 3 - Neurosphere"
"V58" "1-N-C91_S90" "136378" "120025" "NS_91_1g" "Passage 3 - Neurosphere"
"V59" "1-N-C92_S89" "202893" "165330" "NS_92_1g" "Passage 3 - Neurosphere"
"V60" "1-N-C93_S88" "152486" "129784" "NS_93_1g" "Passage 3 - Neurosphere"
"V61" "1-N-C94_S96" "226495" "200461" "NS_94_1g" "Passage 3 - Neurosphere"
"V62" "1-N-C95_S95" "193674" "169372" "NS_95_1g" "Passage 3 - Neurosphere"
"V63" "1-N-C96_S94" "179608" "159358" "NS_96_1g" "Passage 3 - Neurosphere"
