"name" "input" "mapped" "4" "5"
"V60" "1-PG-C70" "190505" "131621" "qNSC_B_70_1g" "qNSC-like"
"V61" "1-PG-C72" "167990" "114099" "qNSC_B_72_1g" "qNSC-like"
"V64" "1-PG-C77" "273377" "217925" "qNSC_B_77_1g" "qNSC-like"
"V65" "1-PG-C80" "216116" "156632" "qNSC_B_80_1g" "qNSC-like"
"V67" "1-PG-C82" "358746" "284465" "qNSC_B_82_1g" "qNSC-like"
"V68" "1-PG-C83" "279314" "208100" "qNSC_B_83_1g" "qNSC-like"
"V70" "1-PG-C86" "245921" "172777" "qNSC_B_86_1g" "qNSC-like"
"V12" "PG_03_1g" "149937" "135571" "qNSC_C_03_1g" "qNSC-like"
"V13" "PG_04_1g" "433754" "403415" "qNSC_C_04_1g" "qNSC-like"
"V14" "PG_05_1g" "304585" "274871" "qNSC_C_05_1g" "qNSC-like"
"V17" "PG_08_1g" "339057" "305012" "qNSC_C_08_1g" "qNSC-like"
"V20" "PG_12_1g" "521585" "478908" "qNSC_C_12_1g" "qNSC-like"
"V23" "PG_15_1g" "449405" "418469" "qNSC_C_15_1g" "qNSC-like"
"V25" "PG_18_1g" "537990" "495610" "qNSC_C_18_1g" "qNSC-like"
"V28" "PG_22_1g" "401562" "353018" "qNSC_C_22_1g" "Oligodendrocyte - Like Cell"
"V29" "PG_23_1g" "377476" "344354" "qNSC_C_23_1g" "qNSC-like"
"V30" "PG_25_1g" "423687" "395806" "qNSC_C_25_1g" "qNSC-like"
"V31" "PG_26_1g" "392936" "366528" "qNSC_C_26_1g" "qNSC-like"
"V32" "PG_27_1g" "432513" "393092" "qNSC_C_27_1g" "qNSC-like"
"V38" "PG_33_1g" "603089" "555605" "qNSC_C_33_1g" "Oligodendrocyte - Like Cell"
"V39" "PG_34_1g" "524316" "477064" "qNSC_C_34_1g" "qNSC-like"
"V40" "PG_35_1g" "426320" "383732" "qNSC_C_35_1g" "qNSC-like"
"V46" "PG_42_1g" "483321" "445166" "qNSC_C_42_1g" "qNSC-like"
"V55" "PG_51_1g" "152989" "133602" "qNSC_C_51_1g" "qNSC-like"
"V56" "PG_53_1g" "302273" "270729" "qNSC_C_53_1g" "qNSC-like"
"V57" "PG_54_1g" "195806" "178769" "qNSC_C_54_1g" "qNSC-like"
"V58" "PG_55_1g" "481439" "439243" "qNSC_C_55_1g" "qNSC-like"
"V61" "PG_59_1g" "382506" "347034" "qNSC_C_59_1g" "qNSC-like"
"V64" "PG_63_1g" "425846" "393003" "qNSC_C_63_1g" "qNSC-like"
"V65" "PG_64_1g" "374343" "338084" "qNSC_C_64_1g" "qNSC-like"
"V66" "PG_65_1g" "593368" "541583" "qNSC_C_65_1g" "qNSC-like"
"V68" "PG_67_1g" "304916" "280575" "qNSC_C_67_1g" "qNSC-like"
"V69" "PG_68_1g" "282563" "253084" "qNSC_C_68_1g" "Oligodendrocyte - Like Cell"
"V71" "PG_70_1g" "368679" "340926" "qNSC_C_70_1g" "qNSC-like"
"V72" "PG_71_1g" "312594" "278916" "qNSC_C_71_1g" "Oligodendrocyte - Like Cell"
"V73" "PG_72_1g" "394334" "361277" "qNSC_C_72_1g" "qNSC-like"
"V79" "PG_78_1g" "463771" "428412" "qNSC_C_78_1g" "qNSC-like"
"V84" "PG_83_1g" "509736" "451102" "qNSC_C_83_1g" "qNSC-like"
"V96" "PG_96_1g" "280202" "248141" "qNSC_C_96_1g" "Oligodendrocyte - Like Cell"
"V32" "1-Na-C01" "86570" "61640" "aNSC_A_01_1g" "aNSC-mid"
"V33" "1-Na-C03" "87681" "68589" "aNSC_A_03_1g" "aNSC-mid"
"V34" "1-Na-C06" "81931" "58766" "aNSC_A_06_1g" "NPC-like"
