var	rel.inf
Clu	Clu	4.45231166703796
Sox11	Sox11	4.0722009700004
Ndufs6	Ndufs6	2.59247504311006
Dhfr	Dhfr	2.57138364185751
Aldoc	Aldoc	2.09500490442933
Htra1	Htra1	1.93254282374318
Eif4g2	Eif4g2	1.8450051900946
Ptma	Ptma	1.82738944670644
Skil	Skil	1.62966786222328
Marcks	Marcks	1.57725269516514
Rpa1	Rpa1	1.40918537869162
Nono	Nono	1.26298245778922
Exosc8	Exosc8	1.17060950205264
Slc1a2	Slc1a2	1.15747323975974
Rps11	Rps11	1.13264578249585
Aff4	Aff4	1.0790277750995
Jag1	Jag1	1.06618796016334
Rpl35	Rpl35	1.05513512737698
Gm5148	Gm5148	1.05492792132397
Dctpp1	Dctpp1	1.02150944357906
Tmsb4x	Tmsb4x	0.947740469764436
Tardbp	Tardbp	0.917062548715944
Dcx	Dcx	0.912184766268417
Zfp367	Zfp367	0.847973526852229
Fabp7	Fabp7	0.819133215720641
Dcaf6	Dcaf6	0.812800482391746
Rps26	Rps26	0.809899580865533
Gpr98	Gpr98	0.743175693631577
Mt3	Mt3	0.73025065306263
Ccdc127	Ccdc127	0.677270661568352
Rpl18a	Rpl18a	0.671441248870963
Plp1	Plp1	0.58109349279149
Dlx6as1	Dlx6as1	0.570469866591879
Manf	Manf	0.566730561800306
Wdr36	Wdr36	0.548188295063833
Gja1	Gja1	0.54305617578192
Banf1	Banf1	0.540098132619979
Pdcd4	Pdcd4	0.530683848103512
Btg2	Btg2	0.510294302161553
Nrxn3	Nrxn3	0.497559929706065
Ezh2	Ezh2	0.450352135101573
Frg1	Frg1	0.44948463193834
Syt11	Syt11	0.409260509074885
Igfbp5	Igfbp5	0.409029889881217
Sri	Sri	0.407177340365391
Dlx2	Dlx2	0.397822549816551
Bcl11a	Bcl11a	0.397154625666694
Mtf2	Mtf2	0.39039933322598
Incenp	Incenp	0.370368288358306
Lyar	Lyar	0.370206876072771
Glul	Glul	0.3689840527528
