var	rel.inf
Clu	Clu	9.78267683607933
Marcks	Marcks	3.2604571229957
Ptma	Ptma	2.7692085619815
Nono	Nono	2.14926708480375
Sox11	Sox11	1.80829501173351
Pola1	Pola1	1.5465870476329
Gm13826	Gm13826	1.42959471571883
Tardbp	Tardbp	1.2560624952991
Malat1	Malat1	1.24283001639414
Gm5148	Gm5148	1.10089966558811
Rpl7	Rpl7	1.09379669786286
Sox8	Sox8	1.05103142020856
Vdac2	Vdac2	1.00150468227538
Hnrnpm	Hnrnpm	0.987813880851731
Trim67	Trim67	0.984652419780784
Tpx2	Tpx2	0.98319469940688
Dut	Dut	0.931170325540634
Prdx2	Prdx2	0.803170819688645
Fam60a	Fam60a	0.750783330736722
Rps14	Rps14	0.715030061600582
Actb	Actb	0.656136664710516
Cbs	Cbs	0.600084163592922
Cldn10	Cldn10	0.587066035906651
Dlx6as1	Dlx6as1	0.563593727838107
Aldoc	Aldoc	0.535735973379533
Ndufs6	Ndufs6	0.529632334696417
Bcan	Bcan	0.519216937223259
Snrpb	Snrpb	0.513000514652695
Mt1	Mt1	0.46678323710591
Cenpa	Cenpa	0.466508474169218
Ankfy1	Ankfy1	0.445544784346723
Skil	Skil	0.443201514887065
Arpc2	Arpc2	0.433021177706094
Rpl32	Rpl32	0.41926771413015
Htra1	Htra1	0.401816310866139
Cfl1	Cfl1	0.395548090793997
Rpl41	Rpl41	0.389780088643219
Hat1	Hat1	0.386624581988819
Mms22l	Mms22l	0.38520914923866
Prpf40a	Prpf40a	0.384819741061275
Dip2b	Dip2b	0.378824449187783
Fnbp1l	Fnbp1l	0.375403809612718
Pfn2	Pfn2	0.367830668593521
Eef1a1	Eef1a1	0.361264692797668
Lig1	Lig1	0.345240808622294
X0610010K14Rik	X0610010K14Rik	0.341003322932585
Cks2	Cks2	0.337908046462797
Eif4a1	Eif4a1	0.335060805616214
Ccnd2	Ccnd2	0.331301959822318
Sri	Sri	0.329430307729455
Nrxn3	Nrxn3	0.327757096563439
Dlx1	Dlx1	0.315132754508976
Gja1	Gja1	0.30161702874246
Tor1a	Tor1a	0.300383669977025
Slc39a1	Slc39a1	0.298683825758165
Dcx	Dcx	0.296476857892241
X2810417H13Rik	X2810417H13Rik	0.295529216088032
Dctn4	Dctn4	0.294520025606317
Rpl39	Rpl39	0.293806701198312
Rps25	Rps25	0.283596787150239
Exosc8	Exosc8	0.281140362512503
Rpl36	Rpl36	0.280563266718153
Bcl11a	Bcl11a	0.279129935689915
Igfbpl1	Igfbpl1	0.278823376674308
Gsk3b	Gsk3b	0.270018200803991
Nedd4	Nedd4	0.2535913144996
Zfp36l1	Zfp36l1	0.252118166779504
Tor1b	Tor1b	0.24722943985778
Igfbp5	Igfbp5	0.245007587351396
Tuba1c	Tuba1c	0.24368625672712
Dlx5	Dlx5	0.242982592329581
Rpl8	Rpl8	0.23605895657339
Fabp7	Fabp7	0.235159771407941
Rassf2	Rassf2	0.233801965779685
Arf6	Arf6	0.232718875285488
H2afz	H2afz	0.231584439486903
Mtf2	Mtf2	0.226369632188566
