var	rel.inf
Ccnd2	Ccnd2	6.51323221604416
Fabp7	Fabp7	3.86737823983454
Clu	Clu	3.25612003432923
H3f3b	H3f3b	2.46043370639488
X2610203C20Rik	X2610203C20Rik	1.92951581313641
Rps25	Rps25	1.88810554735299
Sri	Sri	1.78462346580956
Rpl32	Rpl32	1.72716961296609
Hsp90ab1	Hsp90ab1	1.47180063706872
Nono	Nono	1.47006582003219
Pdcd4	Pdcd4	1.40572446618289
Rpl41	Rpl41	1.39094573026792
Tubb5	Tubb5	0.986958315193834
Gsk3b	Gsk3b	0.970068517357827
Poldip3	Poldip3	0.856559949557117
Tuba1b	Tuba1b	0.831889744686161
X0610007P14Rik	X0610007P14Rik	0.830776824872782
Dlx2	Dlx2	0.765569324805207
Sox11	Sox11	0.761314684381441
Tmsb4x	Tmsb4x	0.759864376309729
Zfp326	Zfp326	0.759637898143179
Hnrnpd	Hnrnpd	0.724296805046556
Frg1	Frg1	0.671531430859822
Fez1	Fez1	0.620877770451256
Tfdp2	Tfdp2	0.618213458027478
Tpx2	Tpx2	0.617051247292809
Jag1	Jag1	0.585771267278889
Ncbp1	Ncbp1	0.584750403902064
Marcks	Marcks	0.570656485861883
Nrxn3	Nrxn3	0.526233009622201
Dnajc9	Dnajc9	0.519094695981203
Abracl	Abracl	0.484277222605525
Slc39a1	Slc39a1	0.482203935326417
Hmgn1	Hmgn1	0.48136374607746
Myo1b	Myo1b	0.479187066744814
Ptma	Ptma	0.47896338353551
Cfl1	Cfl1	0.478758272810638
Clk1	Clk1	0.414458587566306
Gpm6b	Gpm6b	0.397775375169931
Plp1	Plp1	0.39610195325818
Qtrtd1	Qtrtd1	0.387261576619136
Hepacam	Hepacam	0.387147606240714
Hn1	Hn1	0.380458523113003
Kif5b	Kif5b	0.360098046643743
H2afz	H2afz	0.357744320299454
Htra1	Htra1	0.351989737740965
Eif4g1	Eif4g1	0.351918028333166
Hnrnpm	Hnrnpm	0.342789359929761
Atpif1	Atpif1	0.338987281943747
Ptp4a2	Ptp4a2	0.333382751161617
Glul	Glul	0.314706917726592
Gja1	Gja1	0.314129904294072
Mrpl27	Mrpl27	0.312157109665468
Bcan	Bcan	0.310409274639835
Actb	Actb	0.299481690265533
Cnot1	Cnot1	0.299087627504952
Gnb1	Gnb1	0.298145468642689
Eef1a1	Eef1a1	0.293837868678984
Cs	Cs	0.291980511250442
Arpp19	Arpp19	0.284356787426141
Rpl8	Rpl8	0.282621463192704
Zfp367	Zfp367	0.280103272551043
Mir682	Mir682	0.27150472686482
Ttyh1	Ttyh1	0.264365226221837
Rps11	Rps11	0.260956666784943
Snrnp200	Snrnp200	0.259996291481459
Rps26	Rps26	0.254538947247323
Dlx6as1	Dlx6as1	0.252401631003832
Atad5	Atad5	0.252216032210535
Aarsd1	Aarsd1	0.24791323988454
Atp6v1g1	Atp6v1g1	0.246317075079954
Urod	Urod	0.239389618656792
Dpysl2	Dpysl2	0.239169141318883
Esd	Esd	0.235709357747559
Set	Set	0.233653143270237
Epb4.1	Epb4.1	0.225797762721586
Phf6	Phf6	0.218959972949504
Egfr	Egfr	0.218337846227058
Ywhae	Ywhae	0.218024523669301
Mdh2	Mdh2	0.217053659623407
Slc1a2	Slc1a2	0.211162058190766
Dbi	Dbi	0.208890516345743
X1700020I14Rik	X1700020I14Rik	0.208171853180415
Dpy19l1	Dpy19l1	0.20779444041427
Rps24	Rps24	0.206821498577973
