var	rel.inf
Clu	Clu	8.31647780884393
Ptma	Ptma	4.45552668634689
Dlx2	Dlx2	3.28117489573882
Nrxn3	Nrxn3	3.27681839023875
Nsmce1	Nsmce1	3.06731674429669
Set	Set	2.10992009497894
Rps25	Rps25	2.02696698342568
Jag1	Jag1	1.56211498759594
Pnrc2	Pnrc2	1.46151816170768
Igfbpl1	Igfbpl1	1.35690356226355
Rnf122	Rnf122	1.2960463678781
Rpl36	Rpl36	1.27473034680755
Nono	Nono	1.17189820904431
Bcan	Bcan	1.14127664614101
Ckb	Ckb	1.0694663417713
Eef1a1	Eef1a1	1.01771053915425
Smarca4	Smarca4	1.01041032898058
Rps26	Rps26	0.885768217544797
Sae1	Sae1	0.863663741120244
Top1	Top1	0.783612412247529
X2700094K13Rik	X2700094K13Rik	0.728252816707537
Actb	Actb	0.690866861226833
Malat1	Malat1	0.644427054343487
Mcmbp	Mcmbp	0.633650759985478
Nucks1	Nucks1	0.597683138563171
Dlx6as1	Dlx6as1	0.594307960298871
Ccnd2	Ccnd2	0.568793805502436
Eif4a1	Eif4a1	0.565596869564643
Pddc1	Pddc1	0.553854528977726
Tubb5	Tubb5	0.552194515504938
Rps11	Rps11	0.517748124598705
Ptges3	Ptges3	0.512178832943766
Ezh2	Ezh2	0.510777997443828
Mien1	Mien1	0.507550357843951
Rpl18a	Rpl18a	0.504490131486282
Slc1a2	Slc1a2	0.486391558626192
Zfp326	Zfp326	0.465562042253743
Ndufa12	Ndufa12	0.451106592388896
Rpl32	Rpl32	0.44860153423806
Cdk2ap1	Cdk2ap1	0.428179012069018
Fgfr2	Fgfr2	0.414563969219798
Rnps1	Rnps1	0.403977010254339
Glul	Glul	0.400381361104627
Ier2	Ier2	0.387780958696788
Htra1	Htra1	0.386550038894592
Marcks	Marcks	0.380832277933306
Map3k1	Map3k1	0.376357665207134
Dcx	Dcx	0.363682051323337
Rpl39	Rpl39	0.354171907718542
Smc2	Smc2	0.345631169041238
Txnl4a	Txnl4a	0.34551025927711
Mettl9	Mettl9	0.338154579535501
Gm13826	Gm13826	0.32146488012878
Cenpw	Cenpw	0.308861041289189
Eid1	Eid1	0.308446212840999
Drg1	Drg1	0.300200969003089
Kif5b	Kif5b	0.300149012728238
Sox8	Sox8	0.283764832761779
Tcf7l2	Tcf7l2	0.283724808354574
Hn1	Hn1	0.275197631149668
Tcf25	Tcf25	0.270484610968823
H2afz	H2afz	0.256143605778929
X2610203C20Rik	X2610203C20Rik	0.254901396582389
Grin2b	Grin2b	0.254454917090145
Dpysl2	Dpysl2	0.25414408146831
Abracl	Abracl	0.252624940175591
Vrk1	Vrk1	0.245899621020722
Gsk3b	Gsk3b	0.241539168926448
Eif3g	Eif3g	0.223798270750086
Ilf2	Ilf2	0.223159516749053
Txnrd1	Txnrd1	0.221918770570267
Rps13	Rps13	0.219707522258877
Gja1	Gja1	0.219257631701201
Ccna2	Ccna2	0.203435299442819
Rps7	Rps7	0.201020057975135
Tmsb4x	Tmsb4x	0.19952091358008
Rps20	Rps20	0.198979773827676
Sox11	Sox11	0.198496626451939
X1110004F10Rik	X1110004F10Rik	0.196762392149737
Klf13	Klf13	0.190157688207397
Larp1	Larp1	0.188247308548457
Tceb1	Tceb1	0.182323144304309
Plgrkt	Plgrkt	0.177803788150319
Plp1	Plp1	0.176591664413747
Echs1	Echs1	0.174181815170855
Mll5	Mll5	0.17257737749828
Zmat2	Zmat2	0.171498209422591
Hmgb1	Hmgb1	0.16746692160628
Yy1	Yy1	0.165127581395628
Canx	Canx	0.164992269593776
Bmi1	Bmi1	0.162065964034648
Ppp4c	Ppp4c	0.161951267555371
Tma7	Tma7	0.161365055480513
Ttc3	Ttc3	0.16135522813262
Slbp	Slbp	0.1610730026226
Fam20b	Fam20b	0.157727922067977
Tpx2	Tpx2	0.15272689927539
Dnaja3	Dnaja3	0.152256095105288
Banf1	Banf1	0.151007910072373
Rpl35	Rpl35	0.149329542609998
Myo1b	Myo1b	0.147956521084899
Zfp148	Zfp148	0.147647992942314
Hmgb3	Hmgb3	0.146722935773037
Kdelr2	Kdelr2	0.146069877746219
Fam120a	Fam120a	0.144168013614772
Bsg	Bsg	0.142839425233798
Pycrl	Pycrl	0.142424439935717
Fabp7	Fabp7	0.140511683152951
Polr2h	Polr2h	0.140200114174533
Lrrc58	Lrrc58	0.140093901762729
Cdk1	Cdk1	0.135605882324339
Tubb3	Tubb3	0.13463242689199
Rpl8	Rpl8	0.133508277076611
Rrm2	Rrm2	0.13265218012204
Dut	Dut	0.132560799156418
Uqcrq	Uqcrq	0.130389464987588
Psma3	Psma3	0.129643360529956
Trip12	Trip12	0.126613118970115
Gm6251	Gm6251	0.126198919693783
Ipo5	Ipo5	0.125580166514095
Kansl2	Kansl2	0.12545424314325
Mrps33	Mrps33	0.124001002618684
Ccar1	Ccar1	0.122107619839678
Insig1	Insig1	0.120552801703143
Lig1	Lig1	0.118495246355998
Dbi	Dbi	0.117447400256113
Mdk	Mdk	0.115921810269322
Snx6	Snx6	0.114100720167087
X1110058L19Rik	X1110058L19Rik	0.114033262477641
Dlx1	Dlx1	0.113671489217296
H3f3b	H3f3b	0.112799025670203
Smg7	Smg7	0.112773911958246
Tcf4	Tcf4	0.111320859049519
Tial1	Tial1	0.108468537464014
Nup153	Nup153	0.107400246271204
Khsrp	Khsrp	0.105555186437974
Hist1h1e	Hist1h1e	0.10398159568096
Wdfy1	Wdfy1	0.103516982053553
Gorasp2	Gorasp2	0.103359494937154
Aldoc	Aldoc	0.103294097928319
Ftsj1	Ftsj1	0.103247643332161
Tet2	Tet2	0.102593107448153
Gnb2l1	Gnb2l1	0.102228478211099
X5430416N02Rik	X5430416N02Rik	0.102178303284861
Dnttip2	Dnttip2	0.10182735927334
Prdx6	Prdx6	0.101748184197761
Hars	Hars	0.100704605369161
Trim67	Trim67	0.100633662763184
Hes6	Hes6	0.100255046551037
Cbx3	Cbx3	0.100156407004373
Dhfr	Dhfr	0.0988406567949769
Tfdp1	Tfdp1	0.0979841245104528
Clic4	Clic4	0.0978197505006267
Snrpe	Snrpe	0.0977172708347918
Lrfn4	Lrfn4	0.0964320410538025
Brix1	Brix1	0.0949578903467416
Prim1	Prim1	0.0940104972131686
Psma5	Psma5	0.0939069326619072
Gria2	Gria2	0.0906146543144511
Rpl4	Rpl4	0.0905930145785713
Shisa4	Shisa4	0.0902488271188603
Psmb6	Psmb6	0.089764637363203
Sat1	Sat1	0.0897037960295365
Ik	Ik	0.0885514788697096
Anks1	Anks1	0.0881141409898764
Ankrd13c	Ankrd13c	0.0880231516312066
Car2	Car2	0.0879361857741475
Mfap2	Mfap2	0.087723753410832
Cox7b	Cox7b	0.0866490244695911
Kif15	Kif15	0.0864789102906626
Ncl	Ncl	0.0856301408098791
Gpr98	Gpr98	0.0856144421831725
Mcrs1	Mcrs1	0.0855399578438693
Tro	Tro	0.0848373520481069
Calm1	Calm1	0.0844969580801352
Lima1	Lima1	0.0842748688299455
Dcps	Dcps	0.0836913276475287
Creb1	Creb1	0.0836346728275025
Ect2	Ect2	0.083136095419557
Ktn1	Ktn1	0.0830577014616579
G3bp2	G3bp2	0.0829020157266498
Ado	Ado	0.0826239689738273
Prdx2	Prdx2	0.0825311099882318
Rfc4	Rfc4	0.0824050856572461
Pak3	Pak3	0.0821799537927504
Eif3h	Eif3h	0.0817160684170809
Exosc8	Exosc8	0.0816952743985513
Ran	Ran	0.0802638844998518
Nfib	Nfib	0.0789510756063864
Manf	Manf	0.0787570219170728
Stag1	Stag1	0.0780367509580466
Tmod2	Tmod2	0.0776684386070933
Cstf1	Cstf1	0.0776298972005047
Cox7c	Cox7c	0.0775861762114745
Dync1h1	Dync1h1	0.0772699035368688
Gm5148	Gm5148	0.0769056588930741
Ppp1ca	Ppp1ca	0.0767145202653016
Hmgn1	Hmgn1	0.0765011067770821
Csnk1a1	Csnk1a1	0.0761619579585122
