var	rel.inf
Nono	Nono	9.59301509473129
Rpl32	Rpl32	5.00612194757641
Ptma	Ptma	4.68978183977166
Htra1	Htra1	1.99129386667839
Bcan	Bcan	1.94423653904955
Set	Set	1.7061445892321
Clu	Clu	1.57395339084106
Aldoc	Aldoc	1.35257268494918
Ndufaf2	Ndufaf2	1.34267924894636
Igfbp5	Igfbp5	1.23482655165743
Ccnd2	Ccnd2	1.2114783118898
Fth1	Fth1	1.14664149580605
Gas5	Gas5	1.09984011225748
Hsp90ab1	Hsp90ab1	1.01634187406154
Tpx2	Tpx2	0.928858264366075
Gja1	Gja1	0.885080415605094
Miat	Miat	0.807367472004069
Canx	Canx	0.789060452506632
Krr1	Krr1	0.779676987633566
Igfbpl1	Igfbpl1	0.734426319035016
Fam96b	Fam96b	0.661751379597382
Plp1	Plp1	0.598093081250721
Dpysl2	Dpysl2	0.595186099872131
Eef1a1	Eef1a1	0.594365059417715
Psmc1	Psmc1	0.583085425356254
Zfp36l1	Zfp36l1	0.574028092812669
Slc1a2	Slc1a2	0.516712353851449
Mfap2	Mfap2	0.513831570420509
Pdcd4	Pdcd4	0.51059561321087
Gnl3	Gnl3	0.494523432670795
Jag1	Jag1	0.493829637187372
Atp5b	Atp5b	0.46984618887615
Adam22	Adam22	0.468976341138896
Sox11	Sox11	0.46790173999719
Dnaja1	Dnaja1	0.466725157179875
Cfl2	Cfl2	0.460319430185794
Psma3	Psma3	0.45577194632275
Eif4a1	Eif4a1	0.443526075846039
Hnrnpab	Hnrnpab	0.434945192870528
Glul	Glul	0.43290024733868
Eif4a3	Eif4a3	0.431150490155436
Myo1b	Myo1b	0.401583384640242
Manf	Manf	0.384276303187177
Cox20	Cox20	0.382729033934505
Coro1c	Coro1c	0.372667272569676
Nup210	Nup210	0.356502727362799
Tardbp	Tardbp	0.352640184816814
Mt1	Mt1	0.346519464917461
Rps20	Rps20	0.340884758516995
Ckap5	Ckap5	0.33328417924526
Pbk	Pbk	0.329552894777453
Banf1	Banf1	0.313049757360597
Ube2c	Ube2c	0.286950274114396
Atp5g3	Atp5g3	0.280574678911548
Rpl8	Rpl8	0.278422066331477
Lrrc58	Lrrc58	0.275542360877589
Myh10	Myh10	0.275322653420585
Smc4	Smc4	0.272131471537786
Ntm	Ntm	0.267888842079019
Anks1	Anks1	0.258264118254028
Malat1	Malat1	0.256518746870364
Ccdc88a	Ccdc88a	0.254225082227815
Tubb3	Tubb3	0.253704001575593
Dlx2	Dlx2	0.252293689932402
Gm13826	Gm13826	0.250411699448347
Azin1	Azin1	0.248163089209046
Gm6654	Gm6654	0.247427485275474
Mfge8	Mfge8	0.24641967360614
Tmsb4x	Tmsb4x	0.24635661055548
Aarsd1	Aarsd1	0.23500232803663
Ier2	Ier2	0.234094129192796
Tbpl1	Tbpl1	0.231963944045621
Syt11	Syt11	0.214675039458132
Chchd2	Chchd2	0.213545835040874
Hmmr	Hmmr	0.212571479646896
Rps3	Rps3	0.21000789162116
Phf6	Phf6	0.198103582833315
Ccnb2	Ccnb2	0.197712525357954
Dbi	Dbi	0.191925696015382
Siva1	Siva1	0.189847934272176
Slc1a3	Slc1a3	0.187878214445614
Tceb1	Tceb1	0.18758951998692
Tead2	Tead2	0.186020015587376
Sfrs18	Sfrs18	0.183314015139744
Ccdc25	Ccdc25	0.183247191419806
Hmgn5	Hmgn5	0.17995783455386
A430005L14Rik	A430005L14Rik	0.178491446787634
Egfr	Egfr	0.177340567690339
Cox8a	Cox8a	0.173742977212572
Apoo	Apoo	0.173190554265783
Nrxn3	Nrxn3	0.170994922393238
Skil	Skil	0.168102313490643
Mcm4	Mcm4	0.167653626297822
Tfcp2	Tfcp2	0.164311998352557
Gpc1	Gpc1	0.161979927354267
Golga7	Golga7	0.161378577929633
Cep110	Cep110	0.158384122340274
Gas1	Gas1	0.157755782384181
Gpm6b	Gpm6b	0.15592959174361
Map4k4	Map4k4	0.153070276682945
Sox8	Sox8	0.151127131254204
Polr2f	Polr2f	0.149585462863377
Hnrnpa0	Hnrnpa0	0.146882975278133
Usp1	Usp1	0.145944707199827
Tuba1c	Tuba1c	0.145913127267234
Rps23	Rps23	0.145701696159343
H3f3b	H3f3b	0.143877633740569
Ube2r2	Ube2r2	0.143049235298209
Acadsb	Acadsb	0.142460338517861
Smchd1	Smchd1	0.141641027998864
Ddx5	Ddx5	0.141565421517565
Agps	Agps	0.139938861770674
Rassf2	Rassf2	0.139268541477652
Zfp330	Zfp330	0.138469403893257
Mettl9	Mettl9	0.137448303165381
Supt16	Supt16	0.137131925975543
Dip2b	Dip2b	0.136854587137469
Eif4b	Eif4b	0.13646129330059
Basp1	Basp1	0.135522041861227
Mir682	Mir682	0.133960123006646
Slc25a3	Slc25a3	0.132635839005405
Cst3	Cst3	0.13240017605655
Psmb3	Psmb3	0.132023786862453
Clasp2	Clasp2	0.131545079358758
Txnl1	Txnl1	0.13039391454353
Vps13d	Vps13d	0.130137753160997
Cd164	Cd164	0.130035958899157
Ddhd2	Ddhd2	0.1299465974654
Pnrc2	Pnrc2	0.129724342731183
Snrpg	Snrpg	0.128932162222257
Rps18	Rps18	0.127699198045325
Pds5b	Pds5b	0.126207078888497
Nfia	Nfia	0.123303125264831
Napa	Napa	0.121505987335309
Thoc7	Thoc7	0.120299882230594
Rps25	Rps25	0.119579835820438
Snrpd1	Snrpd1	0.118890199896734
Efha2	Efha2	0.117516960577245
D16Ertd472e	D16Ertd472e	0.11711920782607
Eif5a	Eif5a	0.114782054955817
Zfp148	Zfp148	0.114273449914664
Dnajc9	Dnajc9	0.114202839121875
Znhit1	Znhit1	0.114143664597668
Fam89b	Fam89b	0.112711685409896
Calm1	Calm1	0.112563611833856
Ilf2	Ilf2	0.112084812802868
Etf1	Etf1	0.111710702959706
Mad2l1	Mad2l1	0.111377500972587
X5830416P10Rik	X5830416P10Rik	0.110736193721123
Arl2bp	Arl2bp	0.110090306782754
Sep15	Sep15	0.109400895833396
Dut	Dut	0.108821493294582
Actb	Actb	0.10868434089134
Slc30a7	Slc30a7	0.107855573172948
Kif21a	Kif21a	0.107608160874425
Pitpnc1	Pitpnc1	0.107069865890519
Mdk	Mdk	0.105730791720624
Mt3	Mt3	0.104976581382465
Dlx1	Dlx1	0.104801754163886
