var	rel.inf
Ccnd2	Ccnd2	5.49591479551589
Igfbpl1	Igfbpl1	3.95720036800276
Rps26	Rps26	3.7903883232814
Cenpm	Cenpm	2.713877136092
Clu	Clu	2.17202942522893
Trim67	Trim67	1.91158786702329
Gm5148	Gm5148	1.88554990272018
Skil	Skil	1.78931647543598
Rpl32	Rpl32	1.71749729068649
Gm13826	Gm13826	1.38205453740126
Tacc3	Tacc3	1.34279894502957
Nono	Nono	1.3252420836876
Htra1	Htra1	1.27621947302355
Hmgb2	Hmgb2	1.19263458097352
Mki67	Mki67	1.18413428121528
Fabp7	Fabp7	1.05721093133594
Ptma	Ptma	1.00021247358768
Eef1a1	Eef1a1	0.985189498559457
Krr1	Krr1	0.734168892805284
Rps14	Rps14	0.730991901158242
Eif1	Eif1	0.713890493671597
Dpysl2	Dpysl2	0.712939274669738
Pdcd4	Pdcd4	0.697036770632703
Tnfrsf19	Tnfrsf19	0.689183986003305
Selk	Selk	0.635558861888594
Mcm4	Mcm4	0.62143293794736
Myef2	Myef2	0.614707207475504
Rpl8	Rpl8	0.608623010259172
Tpx2	Tpx2	0.592973315553484
Birc5	Birc5	0.573582924541976
Gja1	Gja1	0.53156857416484
Jag1	Jag1	0.485070536111606
Map4k4	Map4k4	0.482313555622503
Topbp1	Topbp1	0.470373338237683
Eif4g1	Eif4g1	0.462031516041114
Set	Set	0.45875546607809
Ndufa12	Ndufa12	0.445330635142002
Rps25	Rps25	0.442580521770788
Bcan	Bcan	0.421776695269409
Fam120a	Fam120a	0.418655134185337
Cox20	Cox20	0.407855827437204
F3	F3	0.397166956498151
Nfia	Nfia	0.388627001729885
Npm1	Npm1	0.371634472482195
Rps11	Rps11	0.360172171627165
Dbi	Dbi	0.35771981857575
Ube2c	Ube2c	0.354340174518296
Rpl41	Rpl41	0.344895028658627
Mettl9	Mettl9	0.337877723867422
Hes6	Hes6	0.330086220362175
Marcks	Marcks	0.314932853713677
Nhp2l1	Nhp2l1	0.307840450017018
Cbx3	Cbx3	0.305533427423351
Gnb2l1	Gnb2l1	0.302902178296644
Itpa	Itpa	0.299519437021126
Gsk3b	Gsk3b	0.298518113957096
Mrfap1	Mrfap1	0.292865341220861
Tfdp1	Tfdp1	0.289675898455733
Zfp36l2	Zfp36l2	0.285088103781296
Eif4a1	Eif4a1	0.282874945027838
Hnrnpa0	Hnrnpa0	0.279077377410194
Pitpnc1	Pitpnc1	0.271873528025104
Slc20a1	Slc20a1	0.268407684104544
Eif4e	Eif4e	0.261855104486045
Dhx9	Dhx9	0.261522716733667
Malat1	Malat1	0.259759173083018
H2afz	H2afz	0.253808455686193
Banf1	Banf1	0.252778700732205
Zfp36l1	Zfp36l1	0.250784445237846
Ilf3	Ilf3	0.250115138054516
Rtn1	Rtn1	0.245722691679476
Larp1	Larp1	0.245668434285122
Cenpw	Cenpw	0.242394397078684
Bex1	Bex1	0.239526538274345
X0610007P14Rik	X0610007P14Rik	0.234642135098538
Nipsnap3b	Nipsnap3b	0.2323569277976
Cnp	Cnp	0.227693546107113
Crmp1	Crmp1	0.225088907842115
Tubb5	Tubb5	0.221508518756298
Pnrc2	Pnrc2	0.217805205771634
Cox7a2	Cox7a2	0.216133218953977
Nrcam	Nrcam	0.21610767420789
Ptges3	Ptges3	0.216084785147
Dcx	Dcx	0.215043562886499
Sub1	Sub1	0.211166143936345
Zfp367	Zfp367	0.209183663083919
Bola2	Bola2	0.204195476829022
Ezh2	Ezh2	0.204135265987182
Zfp280c	Zfp280c	0.198899538346198
Slc1a2	Slc1a2	0.198434089634432
Mbtd1	Mbtd1	0.193660361960965
Dlx1	Dlx1	0.190452868973123
Tceb2	Tceb2	0.183766331204935
Uqcrc1	Uqcrc1	0.183523692845696
Cdca8	Cdca8	0.183458557694827
Mdh2	Mdh2	0.18005941845231
Zcchc9	Zcchc9	0.178277624704835
Ddx6	Ddx6	0.178167806507586
Dlx6as1	Dlx6as1	0.16869994338726
Mtch2	Mtch2	0.168636018248438
Prmt5	Prmt5	0.168517598453926
Ptprs	Ptprs	0.167035387239499
Rhbdl3	Rhbdl3	0.159499903453795
Rps23	Rps23	0.157813308683142
Tuba1b	Tuba1b	0.153062174502315
Nup210	Nup210	0.150346069706436
Ttyh1	Ttyh1	0.148626787092113
Rbm45	Rbm45	0.148409045817445
Rpl4	Rpl4	0.147949472323156
Calm2	Calm2	0.147940463666719
Sp1	Sp1	0.147643065282392
Rpl23	Rpl23	0.147632150955926
Sept10	Sept10	0.14757893168409
Glul	Glul	0.14578418401787
Dhfr	Dhfr	0.14532169568346
Rplp2	Rplp2	0.144968408637866
Wdr60	Wdr60	0.144500921687921
Pfn2	Pfn2	0.14441947670198
Cdca3	Cdca3	0.144130158888872
Wdr36	Wdr36	0.142280015135876
X2810459M11Rik	X2810459M11Rik	0.142275858870999
Gpc1	Gpc1	0.139791818067907
Bcl11a	Bcl11a	0.137643095173523
Usp7	Usp7	0.137371350421287
Gria2	Gria2	0.136223354996006
Asxl2	Asxl2	0.136066402147737
Stra13	Stra13	0.135120001663863
Dusp6	Dusp6	0.13468206931016
Mt3	Mt3	0.134176226708675
Thrsp	Thrsp	0.13301522613082
Dctn5	Dctn5	0.132294984852752
H2afy2	H2afy2	0.129461057734025
Parp1	Parp1	0.129167944100111
Rpl7	Rpl7	0.127695934178403
Rmst	Rmst	0.126422748122054
Kpnb1	Kpnb1	0.125356391921233
Kpna1	Kpna1	0.125106421766483
Gm6402	Gm6402	0.124531735294809
Ssrp1	Ssrp1	0.123731491426713
C330027C09Rik	C330027C09Rik	0.122651060314324
Ppp2r1a	Ppp2r1a	0.122640098869413
Cpe	Cpe	0.120735075584194
Abcf2	Abcf2	0.119878027101897
Cwc27	Cwc27	0.118620353352804
Rpl18a	Rpl18a	0.115195511941306
Mir682	Mir682	0.115150033139826
Snrpa	Snrpa	0.115073758821461
Hsp90aa1	Hsp90aa1	0.114875929660367
Tubb3	Tubb3	0.114684876374201
Tor1a	Tor1a	0.113768286405338
Lrp4	Lrp4	0.113184513072129
Ckb	Ckb	0.112706772400481
Tead1	Tead1	0.111347964545797
Rps19	Rps19	0.110096892978998
Calm1	Calm1	0.110063223724385
Ptp4a1	Ptp4a1	0.109611870785567
Nrxn3	Nrxn3	0.109506217604473
Idh1	Idh1	0.109094403270911
Hspe1	Hspe1	0.108111178051026
Ep300	Ep300	0.104928635909427
Tmem57	Tmem57	0.104881287489463
Rbm15	Rbm15	0.103428046475518
Smc5	Smc5	0.102995787664594
X2810417H13Rik	X2810417H13Rik	0.100262978699218
Cox5a	Cox5a	0.099392666478074
Pola1	Pola1	0.0990802436382675
X5430416N02Rik	X5430416N02Rik	0.0985199894979401
Siva1	Siva1	0.0984308284656328
Slc1a3	Slc1a3	0.0968566830442212
Coro1c	Coro1c	0.0964797536444845
Rps21	Rps21	0.0964452741600781
Zwilch	Zwilch	0.0960124279543001
A430005L14Rik	A430005L14Rik	0.0956650651431588
B3gnt5	B3gnt5	0.0951952327756496
Brix1	Brix1	0.0936253947206631
Rbm4b	Rbm4b	0.0919941879626732
Lsm2	Lsm2	0.0917297181908819
Cdc34	Cdc34	0.0916423671456907
Pdpn	Pdpn	0.0901138742762603
Ankrd49	Ankrd49	0.0895106460953637
Mdk	Mdk	0.0883562654863456
Csnk1e	Csnk1e	0.0880977357412165
Rpl36al	Rpl36al	0.0876333956607473
Ran	Ran	0.0875505452893276
Gm15421	Gm15421	0.0874291469200827
Dnajc9	Dnajc9	0.0857152437818656
Epha4	Epha4	0.0856128304684799
Gps2	Gps2	0.084636847317762
Psmd14	Psmd14	0.0843536742939183
Ncapd2	Ncapd2	0.083890119807409
Ubb	Ubb	0.0837430526055551
Minos1	Minos1	0.0834972415257755
Ddah1	Ddah1	0.0823431475857874
Ssr3	Ssr3	0.082318756725417
Tars	Tars	0.0816103246136936
Elavl4	Elavl4	0.0809746022713893
Syncrip	Syncrip	0.0799264478111235
Serf2	Serf2	0.0798526311616002
Hnrnpd	Hnrnpd	0.0798129052124196
Mrps28	Mrps28	0.0795617997838307
Azin1	Azin1	0.0789543224929819
Kdelr2	Kdelr2	0.078876015097881
Mapk1ip1l	Mapk1ip1l	0.0782216687860502
Fip1l1	Fip1l1	0.077034487436338
Rfc4	Rfc4	0.076886574571122
Atxn10	Atxn10	0.0765473003044789
Rnps1	Rnps1	0.0762760718552782
Carhsp1	Carhsp1	0.0760239954279922
Gtpbp4	Gtpbp4	0.0760217927649664
Zcchc11	Zcchc11	0.0755642256547921
Ywhae	Ywhae	0.0752507651442947
Rfx4	Rfx4	0.0743792469810998
Trim59	Trim59	0.073446731922882
Eif3e	Eif3e	0.0733729814324418
Myo1b	Myo1b	0.0727451110317173
Ndufa10	Ndufa10	0.0720786270108587
Gpn1	Gpn1	0.0719699560815065
Prim1	Prim1	0.0718790642062279
Mrpl27	Mrpl27	0.0718007585305591
Rps15a.ps6	Rps15a.ps6	0.0714275942438111
Secisbp2l	Secisbp2l	0.0711923393716397
Plrg1	Plrg1	0.0710778716435027
Sfrs18	Sfrs18	0.0710355071264926
Rnd3	Rnd3	0.0705888605332051
Repin1	Repin1	0.0702957471835113
Usp33	Usp33	0.0697749105472236
Ppia	Ppia	0.0692334432704053
Alyref	Alyref	0.0684231547385057
Rfc3	Rfc3	0.0678673223169444
Cep44	Cep44	0.0678468320865272
Tm2d1	Tm2d1	0.0677274559990266
Rps24	Rps24	0.0676976436172732
Ddx5	Ddx5	0.0672503937238632
H3f3b	H3f3b	0.0671192552086898
Anks1	Anks1	0.0656729693777677
Mll3	Mll3	0.0656301784530785
Babam1	Babam1	0.0656122860619607
Slbp	Slbp	0.065591238062361
Med27	Med27	0.0655001971195433
Ckap2l	Ckap2l	0.065242512107807
Eif3i	Eif3i	0.0644176571999813
Actb	Actb	0.0640238414972627
Hspa4	Hspa4	0.0637621807318816
Tmsb4x	Tmsb4x	0.0635740911342877
Wtap	Wtap	0.063329310338993
Ect2	Ect2	0.0630755179038053
Uggt1	Uggt1	0.0628242922524855
Pisd	Pisd	0.0626897331176971
Orc3	Orc3	0.0626659233312864
Arf6	Arf6	0.0625217740173787
Mll2	Mll2	0.0616975465743583
Zfand5	Zfand5	0.0615271607146608
Brd3	Brd3	0.061165867433281
Aspm	Aspm	0.0610348122935461
Rngtt	Rngtt	0.0602527307229886
Fam107a	Fam107a	0.0600678229546011
Dap3	Dap3	0.0598657025240579
Clk1	Clk1	0.0597968497922021
Rdx	Rdx	0.0597635204968409
Rps7	Rps7	0.0595450359861633
Ube2d3	Ube2d3	0.0595087373217114
Csnk2a2	Csnk2a2	0.0590403772431788
Map3k1	Map3k1	0.0588798640353716
Tceb1	Tceb1	0.0584441368165171
Trim33	Trim33	0.0584373340007278
Hsp90ab1	Hsp90ab1	0.0577957634817205
Laptm4a	Laptm4a	0.0573020117912576
Rpsa	Rpsa	0.05720732323902
Abracl	Abracl	0.0570327548506106
Slitrk2	Slitrk2	0.0567063392818322
Cpsf2	Cpsf2	0.0566650808238002
Rnf38	Rnf38	0.0565976042440228
Usp10	Usp10	0.0565349968247426
Sema5b	Sema5b	0.0562772029989464
Mn1	Mn1	0.0561717451919878
Prpf40a	Prpf40a	0.0550960936324686
Lrfn4	Lrfn4	0.0548704812048217
Stip1	Stip1	0.0548474025326968
