var	rel.inf
Gja1	Gja1	5.09746150003082
Clu	Clu	3.61467674868174
Htra1	Htra1	3.1975543827749
Ube2c	Ube2c	2.62294973299587
Zfp326	Zfp326	2.46058287719666
Tmsb4x	Tmsb4x	1.95209338895401
Actb	Actb	1.9490727568567
Ckap2l	Ckap2l	1.58206682078328
Ccnd2	Ccnd2	1.54601710588756
Set	Set	1.32319139809672
Nono	Nono	1.29242339764897
Cbx3	Cbx3	1.25354089205974
Jag1	Jag1	1.23125949440515
Cfl1	Cfl1	1.21010804500603
Ywhae	Ywhae	1.16270227891309
Mt3	Mt3	1.11059829053812
Skil	Skil	0.943264145518784
Bcan	Bcan	0.936662956934499
Zscan26	Zscan26	0.889867072590661
Sox8	Sox8	0.888638753272802
Mrfap1	Mrfap1	0.847618299789622
Xpo1	Xpo1	0.820824757551539
Rbbp7	Rbbp7	0.815644988487924
Kif5b	Kif5b	0.716486449098443
Gm13826	Gm13826	0.690121724603405
Ptma	Ptma	0.685761771479194
Tubb5	Tubb5	0.667195325019613
Slbp	Slbp	0.660933369778038
Mfap2	Mfap2	0.650119792562046
Smad1	Smad1	0.641108306121917
Abracl	Abracl	0.606041018500935
Canx	Canx	0.601285487565729
Ptprs	Ptprs	0.555730180301917
Rpl18	Rpl18	0.545123646441197
Prdx6	Prdx6	0.542479772251985
Prkacb	Prkacb	0.541938442370814
Sox11	Sox11	0.494191926399133
Gm6654	Gm6654	0.477853204342086
X0610009D07Rik	X0610009D07Rik	0.47554181073493
Bub1b	Bub1b	0.437484430255451
Hmgb2	Hmgb2	0.434720108818666
X0610010K14Rik	X0610010K14Rik	0.431327318610492
Hdac2	Hdac2	0.429247286824455
Ube2b	Ube2b	0.387842322725958
Eif4a1	Eif4a1	0.369419378209524
Psmb6	Psmb6	0.366124216956024
Tmem161b	Tmem161b	0.358388355860037
Rrp1	Rrp1	0.352880722215866
Rps15a.ps6	Rps15a.ps6	0.339894390657636
H3f3b	H3f3b	0.339413168648347
Myef2	Myef2	0.332247210326317
Gars	Gars	0.321761953153906
Trp53	Trp53	0.319053795307929
Rps15a	Rps15a	0.308098922014644
Map4k4	Map4k4	0.305646901776784
Plp1	Plp1	0.30178664040822
Rps19	Rps19	0.300720390639371
Zwilch	Zwilch	0.298851107453063
Grm3	Grm3	0.291380597583816
Mettl9	Mettl9	0.287062533294135
Eif3a	Eif3a	0.282185157891498
Topbp1	Topbp1	0.281345052011832
Krt10	Krt10	0.275286570397129
Psmd14	Psmd14	0.273333051635776
Srrm1	Srrm1	0.271669106629318
Birc5	Birc5	0.270438171124049
Glul	Glul	0.261512366008738
Rpl39	Rpl39	0.252509392215119
Slc1a2	Slc1a2	0.251877272003382
Poldip3	Poldip3	0.249030101119443
Cox7b	Cox7b	0.247515091832544
X2700094K13Rik	X2700094K13Rik	0.242859362274018
Ybx1	Ybx1	0.241807651922498
Nup153	Nup153	0.239552266260973
BC031181	BC031181	0.229211062684029
Ccdc58	Ccdc58	0.227389854315793
Flrt2	Flrt2	0.222425064425148
Ubc	Ubc	0.220913144510481
Lsm7	Lsm7	0.220300223745259
Mex3a	Mex3a	0.21727640263502
Dctn5	Dctn5	0.213257228992062
Atxn2l	Atxn2l	0.209417743355736
Nup37	Nup37	0.207570331667301
Sub1	Sub1	0.202280756579895
Rmst	Rmst	0.197787189430685
Ccdc88a	Ccdc88a	0.197587816236938
Brd3	Brd3	0.195172191371261
Phf6	Phf6	0.192514479997738
Uba1	Uba1	0.191886220712144
Ntm	Ntm	0.189027020813584
Tardbp	Tardbp	0.186082016482105
Msi2	Msi2	0.185891877199638
Dlx6as1	Dlx6as1	0.18491746813745
H2afz	H2afz	0.184631243957952
Rad21	Rad21	0.18461036018472
Son	Son	0.18387276236441
Gsk3b	Gsk3b	0.183448909983286
Inpp5f	Inpp5f	0.179657075237887
Bcl7a	Bcl7a	0.17887957465002
Rpl7l1	Rpl7l1	0.178614812466611
Pou3f2	Pou3f2	0.178437738711114
Lsm6	Lsm6	0.177773363471895
Tuba1b	Tuba1b	0.176550131061084
Cks2	Cks2	0.17558045485428
Atp5j2	Atp5j2	0.175522585684099
Igfbp5	Igfbp5	0.175513824145064
Malat1	Malat1	0.175358492299256
Cenpp	Cenpp	0.174888855095986
Dhfr	Dhfr	0.16853151064871
Ing3	Ing3	0.166509751801127
Tmbim6	Tmbim6	0.165588022974051
Dync1h1	Dync1h1	0.161459031543289
Rpl4	Rpl4	0.160592412730304
Tuba1c	Tuba1c	0.159055069046091
Rpl32	Rpl32	0.157823296134395
Taf7	Taf7	0.156922228071995
Tacc3	Tacc3	0.156409861419927
Lsm2	Lsm2	0.154646157772665
Znf512b	Znf512b	0.150706077263584
Pola1	Pola1	0.149444729304424
Mdk	Mdk	0.147877885604049
Smg7	Smg7	0.146714272991125
Ywhag	Ywhag	0.145284779192475
Tuba1a	Tuba1a	0.144735475147357
Snrpb	Snrpb	0.139692820914188
Smc2	Smc2	0.137611866332954
B9d1	B9d1	0.135714365389528
Med22	Med22	0.1332596169156
Erh	Erh	0.133245313367694
Pdcd4	Pdcd4	0.133185275542454
Ddah1	Ddah1	0.132796317797419
Ndufa4	Ndufa4	0.132445731733733
Rac1	Rac1	0.129665376263214
Gria2	Gria2	0.127355572624171
Uqcr10	Uqcr10	0.126574277845365
Ddx5	Ddx5	0.126237064346302
X2610203C20Rik	X2610203C20Rik	0.125539388564681
Ctbp2	Ctbp2	0.124379036876451
Cdc42se2	Cdc42se2	0.123870233303274
Pbk	Pbk	0.120195723316097
Ptges3	Ptges3	0.118775332742734
Gm6402	Gm6402	0.118359210403247
Ppp1ca	Ppp1ca	0.11779836330854
Plxna2	Plxna2	0.116899456536828
Dazap1	Dazap1	0.116117679926109
Tpx2	Tpx2	0.115087715451234
Trip12	Trip12	0.11435463470015
Ppp2r1a	Ppp2r1a	0.114282217407545
Lrrc58	Lrrc58	0.114128270950619
Sept3	Sept3	0.113680066216797
Neil3	Neil3	0.110890554891391
Cenpj	Cenpj	0.110049858385906
Srsf2	Srsf2	0.109974047243396
Crmp1	Crmp1	0.109918843066975
Pabpc1	Pabpc1	0.109127497403584
Sephs2	Sephs2	0.109085013170871
Brix1	Brix1	0.108972641560724
Cox19	Cox19	0.10812278317268
Ndufa12	Ndufa12	0.10702850717825
Dpysl2	Dpysl2	0.106620750224099
Anapc13	Anapc13	0.106112347328934
X4833439L19Rik	X4833439L19Rik	0.105741078081477
Arf6	Arf6	0.105638335963727
Sncaip	Sncaip	0.103171080127938
Pnrc2	Pnrc2	0.102867521004384
Pa2g4	Pa2g4	0.102843808607752
H2afv	H2afv	0.10138374387456
Aars	Aars	0.100171925063856
Grin2b	Grin2b	0.099740952453622
Tet2	Tet2	0.0985513147559152
Wsb1	Wsb1	0.0985201829500577
Tcerg1	Tcerg1	0.0974239999399124
Tmem14c	Tmem14c	0.0953555959826154
Skp1a	Skp1a	0.0952094585110256
Rassf2	Rassf2	0.0948410295610965
Plxnb2	Plxnb2	0.0944655440117852
Dlx1	Dlx1	0.0941636020924929
Zfp148	Zfp148	0.0935758848407468
Cdc37	Cdc37	0.0934258054353052
Minos1	Minos1	0.092713914139624
Sdc2	Sdc2	0.0926647957861144
Dync1li1	Dync1li1	0.092047725166332
Myh9	Myh9	0.091701950836981
