var	rel.inf
Htra1	Htra1	3.08162737653926
Ccnd2	Ccnd2	3.02055040099284
Ptma	Ptma	2.81031684980464
Ttyh1	Ttyh1	2.37281346681381
Tpx2	Tpx2	2.26098521138483
Eef1a1	Eef1a1	2.25229686696627
Dpysl2	Dpysl2	1.98605300389153
Slc1a2	Slc1a2	1.84210576820469
Bcan	Bcan	1.58475729161052
Rps25	Rps25	1.5708246956936
Cbs	Cbs	1.44004126001095
Jag1	Jag1	1.29963597560507
Pfn1	Pfn1	1.08147462232029
Rpl7	Rpl7	1.07945897999047
Gm13826	Gm13826	0.977578450998103
Mettl9	Mettl9	0.948924128042052
Zfp36l1	Zfp36l1	0.909899608108033
Clu	Clu	0.845038144682648
Plp1	Plp1	0.834771954234575
Thoc7	Thoc7	0.833274443184581
Cd63	Cd63	0.774750545766437
Rps26	Rps26	0.77239502290191
Ncl	Ncl	0.708348210071433
Mt3	Mt3	0.692060707813735
Smc2	Smc2	0.678920251964482
Set	Set	0.675849097846678
Eif4a1	Eif4a1	0.64182223510762
Canx	Canx	0.638556266198956
Eif3i	Eif3i	0.594881104010848
Nono	Nono	0.575850455232501
Slc39a1	Slc39a1	0.537184601759009
Dhfr	Dhfr	0.512438897858828
Son	Son	0.508919652837974
Taf7	Taf7	0.482012459036953
Rps19	Rps19	0.468965732853233
Cks2	Cks2	0.464817575827923
Mt1	Mt1	0.461902247409983
Mfap2	Mfap2	0.457139183026788
Aldoc	Aldoc	0.450076658031792
Tubb5	Tubb5	0.435008657664094
Nras	Nras	0.396552661242598
Tmsb4x	Tmsb4x	0.373862242318349
Malat1	Malat1	0.373717237993954
Syncrip	Syncrip	0.367508442045061
Gja1	Gja1	0.361437852652112
Nup37	Nup37	0.357393339486375
Ptges3	Ptges3	0.349101496817719
Naa38	Naa38	0.342602669102184
Dlx2	Dlx2	0.33353072672201
Psmc1	Psmc1	0.329527849934598
Sars	Sars	0.317214603425482
Kdelr2	Kdelr2	0.309310422424292
Gsk3b	Gsk3b	0.300603972543486
H3f3b	H3f3b	0.294938887611444
Cenpj	Cenpj	0.291689731361883
Pnrc2	Pnrc2	0.288118479871968
Dstn	Dstn	0.286647170712869
Tnfrsf19	Tnfrsf19	0.286076786418081
Hells	Hells	0.280080058954867
Clip3	Clip3	0.275011165146458
Hat1	Hat1	0.266726957097693
Ints4	Ints4	0.265700780908074
Cpe	Cpe	0.264673258389536
Mllt11	Mllt11	0.263099568658599
Rbbp7	Rbbp7	0.257959129845936
Igfbpl1	Igfbpl1	0.251252139694272
Fam89b	Fam89b	0.242891741099139
Dbi	Dbi	0.239966525732122
Cdca3	Cdca3	0.237707214626571
Gas1	Gas1	0.236881656479897
Miat	Miat	0.236784099767653
Rps7	Rps7	0.23139054707214
Hnrnpk	Hnrnpk	0.225373476557187
Bcas2	Bcas2	0.222452168721965
Clk1	Clk1	0.221914768194381
Tuba1a	Tuba1a	0.221179283881177
Rpl32	Rpl32	0.217215802537628
Taf9	Taf9	0.217019893982772
Brd3	Brd3	0.214673702832465
Mdh2	Mdh2	0.214557179614442
Bet1	Bet1	0.212590310230621
Whsc1	Whsc1	0.211775285662458
Nrxn3	Nrxn3	0.209242443579403
Mrpl33	Mrpl33	0.207095077188654
Abracl	Abracl	0.204508972757561
Dlx6as1	Dlx6as1	0.202850510812351
Mdh1	Mdh1	0.201848169589244
Serbp1	Serbp1	0.198915953912575
Hepacam	Hepacam	0.198665378096086
Skil	Skil	0.198250061512595
Cep57	Cep57	0.196654337730016
Tex30	Tex30	0.193780055657921
Txnl4a	Txnl4a	0.193573198929921
Wars	Wars	0.190157133310969
Rps11	Rps11	0.187765218144184
Vrk1	Vrk1	0.187730898494091
Sox13	Sox13	0.185798053723494
Ppp2r1a	Ppp2r1a	0.185186713031005
Rad51ap1	Rad51ap1	0.184188407945678
Psmb6	Psmb6	0.183887340666697
Esco2	Esco2	0.183262936183767
Ap2s1	Ap2s1	0.181227111471411
Apoe	Apoe	0.181107383869248
Krr1	Krr1	0.181064855708593
Ubb	Ubb	0.179694982353394
Birc5	Birc5	0.17966424812137
Ankrd13c	Ankrd13c	0.178277382861047
Ipo5	Ipo5	0.178026489092969
Cetn3	Cetn3	0.174240553541241
Notch1	Notch1	0.170607537997517
Setx	Setx	0.169750396694182
Shisa4	Shisa4	0.16619077436417
Iqgap3	Iqgap3	0.165333951185085
X2700060E02Rik	X2700060E02Rik	0.164188646212681
Mir682	Mir682	0.163818943803695
