var	rel.inf
Clu	Clu	6.64872701738757
Skil	Skil	3.96610398592206
Htra1	Htra1	3.54872541294201
Tuba1b	Tuba1b	2.68931448800756
Bcan	Bcan	2.59173077040047
Rpl41	Rpl41	2.27514310511059
Cst3	Cst3	1.876357784281
Eif4a1	Eif4a1	1.40230556236809
Sox11	Sox11	1.22248919714169
Cbx3	Cbx3	1.09780916822635
Tpx2	Tpx2	1.06915501548745
H2afz	H2afz	1.06465422854035
Ptma	Ptma	1.03979762757386
Rps25	Rps25	0.840353248615015
Topbp1	Topbp1	0.82679389638953
Tubb5	Tubb5	0.820673531102752
Mrpl27	Mrpl27	0.81672540459561
Cks2	Cks2	0.800259381325422
Gm13826	Gm13826	0.75858683491813
Set	Set	0.740186864449774
Trim67	Trim67	0.681972571749661
Cdk1	Cdk1	0.658741296740707
Zfp326	Zfp326	0.654011816009321
X2610203C20Rik	X2610203C20Rik	0.653295721680232
Gja1	Gja1	0.625260030856666
Miat	Miat	0.621021293805545
Igfbpl1	Igfbpl1	0.60085940461652
Gsk3b	Gsk3b	0.571896960099693
Snord52	Snord52	0.546375063498722
Rbbp7	Rbbp7	0.541182920257653
Gpr98	Gpr98	0.536974848775371
Mphosph8	Mphosph8	0.525639428275337
D4Wsu53e	D4Wsu53e	0.517991820274159
Fbxo45	Fbxo45	0.505696215913156
Ccna2	Ccna2	0.499491191237737
Nras	Nras	0.486269856944132
Manf	Manf	0.48401860670593
Dlx2	Dlx2	0.476574089868226
Cfl1	Cfl1	0.462690731776325
Hells	Hells	0.45279230833287
Ntsr2	Ntsr2	0.446546294226363
Ncapg2	Ncapg2	0.445794749497691
Rpl35	Rpl35	0.442609404970413
Rpa1	Rpa1	0.442568421521567
Gpr37l1	Gpr37l1	0.430391778796884
Pdcd4	Pdcd4	0.428075264497078
Pola1	Pola1	0.424758497108933
Eif5a	Eif5a	0.393581579837237
Igf2r	Igf2r	0.354674465766406
Gas5	Gas5	0.332880836360701
Rps11	Rps11	0.327993013446744
Bcl11a	Bcl11a	0.324162124569068
Tmsb4x	Tmsb4x	0.31955868912104
Aldoc	Aldoc	0.317890970185467
Tor1a	Tor1a	0.294060267152124
Myo1b	Myo1b	0.293636832021833
Glul	Glul	0.286965102518528
Bub1b	Bub1b	0.284461584436657
Dlx6as1	Dlx6as1	0.279120413661039
Mdk	Mdk	0.277755450829348
Marcks	Marcks	0.27332169621952
Rpl18a	Rpl18a	0.273048400928686
Slc27a1	Slc27a1	0.272413202997932
Gtpbp4	Gtpbp4	0.271736962963609
Rps14	Rps14	0.263288015646148
Igfbp5	Igfbp5	0.254677639230915
Pum2	Pum2	0.253260677881835
Gna11	Gna11	0.250428041451076
Apoe	Apoe	0.248198191950275
Ckap5	Ckap5	0.23827772816353
A430005L14Rik	A430005L14Rik	0.237694646592501
Pspc1	Pspc1	0.228841603468737
Taf7	Taf7	0.226560136808225
Fez1	Fez1	0.22312091051813
Tipin	Tipin	0.222276386581573
Ppap2b	Ppap2b	0.221907587105194
Ywhah	Ywhah	0.216896875700641
Ccnd2	Ccnd2	0.210484418504894
Gm5148	Gm5148	0.21014609554092
Nup93	Nup93	0.207144282423054
Rpl7	Rpl7	0.206049462931748
Kpna2	Kpna2	0.205923030789822
Dpysl2	Dpysl2	0.205337256280523
Pla2g7	Pla2g7	0.204799871236315
Plp1	Plp1	0.198217181999521
Jag1	Jag1	0.195579017472143
Slc1a2	Slc1a2	0.194290736332604
Sfmbt1	Sfmbt1	0.193289004263139
Dbi	Dbi	0.190801766015148
Eef1a1	Eef1a1	0.18833739864715
Malat1	Malat1	0.187361172309581
Dhfr	Dhfr	0.179689108870298
Hnrnpk	Hnrnpk	0.178091182726462
Smarce1	Smarce1	0.175702853408208
Tubb3	Tubb3	0.174654023261824
Myef2	Myef2	0.172732664920003
Cenpa	Cenpa	0.1709426438742
Gm6654	Gm6654	0.169141232736535
Dstn	Dstn	0.16756746058919
Hmgb1	Hmgb1	0.167461008251078
