var	rel.inf
Tmsb4x	Tmsb4x	4.92891974623178
Clu	Clu	3.75444272242384
Htra1	Htra1	3.15226916573145
Ptma	Ptma	2.56064536382236
Nono	Nono	2.4523847128414
Slc1a2	Slc1a2	2.40012224230236
Sox11	Sox11	2.23788071771667
Ccnd2	Ccnd2	2.07460650693047
Rpl35	Rpl35	1.37275176124519
Pola1	Pola1	1.36473076251757
Miat	Miat	1.27727501489502
Hnrnpk	Hnrnpk	1.11344159270309
Mt3	Mt3	1.08679231736085
Dlx6as1	Dlx6as1	1.01558885992811
Canx	Canx	1.00413142466646
Myo1b	Myo1b	0.967642285906687
Dctpp1	Dctpp1	0.91742910042573
Bub1b	Bub1b	0.811117854687293
Klf13	Klf13	0.805118855597675
Bola2	Bola2	0.790059489809665
Rpl37a	Rpl37a	0.766966971673978
Nrxn3	Nrxn3	0.697770417687925
Ptprz1	Ptprz1	0.655117496399548
Timm17b	Timm17b	0.638492048693178
Ywhah	Ywhah	0.623164549408643
Rnps1	Rnps1	0.599644755849125
Set	Set	0.597698023937862
Tpx2	Tpx2	0.587646807948712
Glul	Glul	0.564442438499383
Rpl7	Rpl7	0.521281444619386
Etv5	Etv5	0.520859874501978
Cks2	Cks2	0.506303978179472
Cst3	Cst3	0.475139894341489
Gm13826	Gm13826	0.470152867136464
Rpl41	Rpl41	0.45876569200899
X5830416P10Rik	X5830416P10Rik	0.454904951200683
Dlx2	Dlx2	0.451854025328998
Dlx1	Dlx1	0.440127404253527
Anks1	Anks1	0.417203788059383
Zwilch	Zwilch	0.383601202503558
Zfp36l2	Zfp36l2	0.370732775451021
Ppp1ca	Ppp1ca	0.35747588611813
Atp5g3	Atp5g3	0.357245252763306
Dhfr	Dhfr	0.352951093719374
Jag1	Jag1	0.349220792524114
Rps26	Rps26	0.348517269645269
Rmst	Rmst	0.335370476719276
Zfp326	Zfp326	0.321982705652402
Gnl3	Gnl3	0.316256849563521
Ybx1	Ybx1	0.312613139611202
Efha2	Efha2	0.30439534101216
Mphosph8	Mphosph8	0.300390838762009
Mir682	Mir682	0.296449492590383
Rbm26	Rbm26	0.289417042927603
Vamp3	Vamp3	0.287269876071417
Mfge8	Mfge8	0.28641554883904
A730098P11Rik	A730098P11Rik	0.284568739744164
Smc4	Smc4	0.277828663407524
Fam60a	Fam60a	0.26118801373826
Rps5	Rps5	0.254955017215741
Rps9	Rps9	0.250724086714247
Fez1	Fez1	0.244967948034896
Serbp1	Serbp1	0.238295606242031
Krtcap2	Krtcap2	0.237954603455818
Pkp4	Pkp4	0.236846230310774
Pdcd4	Pdcd4	0.230600927455502
Gm6251	Gm6251	0.228820131764946
Sfrs18	Sfrs18	0.222677873819835
Cct5	Cct5	0.221180414938393
Btg2	Btg2	0.210769232590182
Bub1	Bub1	0.209550226118071
Birc5	Birc5	0.208732413457637
Tuba1b	Tuba1b	0.207556335212654
Dcaf6	Dcaf6	0.207118765650493
Cat	Cat	0.206764058785863
BC056474	BC056474	0.206238054395873
Mbtps1	Mbtps1	0.198129644657814
Arl6ip1	Arl6ip1	0.19783051642064
Smc2	Smc2	0.196195618720899
Zfp367	Zfp367	0.19091235784298
Rpl8	Rpl8	0.190385412327167
Hnrnpm	Hnrnpm	0.1885904728901
Aldoc	Aldoc	0.183906582773759
Srrm1	Srrm1	0.183643104298846
Rps11	Rps11	0.182762497824911
Igfbpl1	Igfbpl1	0.181107055551794
Rexo2	Rexo2	0.178672775129228
Ntsr2	Ntsr2	0.177461356136878
Eprs	Eprs	0.175916599966461
Syf2	Syf2	0.173811468323864
Cenpp	Cenpp	0.172643639140994
Serf2	Serf2	0.172373459426059
Dctn3	Dctn3	0.171810210137448
Marcks	Marcks	0.171692447934945
Erh	Erh	0.171639250469954
Nipsnap3b	Nipsnap3b	0.170977890835482
Ubl5	Ubl5	0.166975459754447
Srsf2	Srsf2	0.166865827127258
Casp8ap2	Casp8ap2	0.166717548033077
Abracl	Abracl	0.164252840057493
Cfl2	Cfl2	0.162559558851924
Tuba1c	Tuba1c	0.160744918052923
Cbx3	Cbx3	0.159136237228232
Adam10	Adam10	0.158180898640427
Eif1ax	Eif1ax	0.157553471526205
H2afv	H2afv	0.156850130699114
Rpl32	Rpl32	0.156762253926402
Apoe	Apoe	0.156632088924897
Ndufa4	Ndufa4	0.156246343659122
Cenpa	Cenpa	0.15132042287279
Sec61b	Sec61b	0.14629114330597
Rrm2	Rrm2	0.14491042152152
Wdhd1	Wdhd1	0.144374710564179
Stk16	Stk16	0.142856308852575
Lrfn4	Lrfn4	0.139910255934512
Prpf4b	Prpf4b	0.139717391079788
Pkn2	Pkn2	0.137606071992191
Rpl13a	Rpl13a	0.137082501381643
Txnl4a	Txnl4a	0.136944962329128
Drg1	Drg1	0.13662405661208
Actr2	Actr2	0.135836468874717
Ppap2b	Ppap2b	0.135615532964502
Mapkap1	Mapkap1	0.133971580542617
Ccdc25	Ccdc25	0.133656196985757
Gja1	Gja1	0.13342251233723
Gm5148	Gm5148	0.133327480095498
Xpc	Xpc	0.13240175714321
Eif4a1	Eif4a1	0.130816408600742
Mt1	Mt1	0.129375612806674
Tfdp1	Tfdp1	0.128612629671844
Acsl3	Acsl3	0.127989203578892
Hmgb2	Hmgb2	0.127191121061864
Krr1	Krr1	0.126218490444273
Tubb5	Tubb5	0.125446127776968
Mad2l1	Mad2l1	0.125104055915746
Zfp329	Zfp329	0.12346527281759
Ccdc55	Ccdc55	0.121109778059092
Cnot1	Cnot1	0.120008481404459
Dclk1	Dclk1	0.119060231685786
Grm3	Grm3	0.117588558407142
Vdac1	Vdac1	0.115509296494554
Tnpo1	Tnpo1	0.115112625102484
Cops8	Cops8	0.115050312237726
Gpx4	Gpx4	0.11355681269485
Arpp19	Arpp19	0.111730650008288
Rassf2	Rassf2	0.111293503242528
St5	St5	0.110494816502279
Gm1821	Gm1821	0.110388401980813
Dclk2	Dclk2	0.109594332511739
Hmgn1	Hmgn1	0.10827933970408
Actl6a	Actl6a	0.107326849079306
Rps21	Rps21	0.10577745058305
Pfn1	Pfn1	0.105128582565753
Gpm6a	Gpm6a	0.103892304384523
Cdk2ap1	Cdk2ap1	0.103665835925462
Nfib	Nfib	0.103397360303893
Snx3	Snx3	0.103352077019481
Psma6	Psma6	0.103284934506925
Gnb1	Gnb1	0.103103856611243
Rplp0	Rplp0	0.102675521139274
Kntc1	Kntc1	0.101452071114601
Tubb3	Tubb3	0.101426496300779
Calm2	Calm2	0.101277343550739
Cetn3	Cetn3	0.101075514915062
Kcnq1ot1	Kcnq1ot1	0.100918251062852
Rasa1	Rasa1	0.10083625447834
Usp19	Usp19	0.099074432046106
Cdan1	Cdan1	0.0972422827267228
Dll1	Dll1	0.0971542708743251
l7Rn6	l7Rn6	0.0963234532296519
Son	Son	0.0955166925043824
Hdac2	Hdac2	0.0945999630581893
Ssh2	Ssh2	0.0945275957643566
Vps29	Vps29	0.0938854965381291
Phf6	Phf6	0.0937859749333894
Mtf2	Mtf2	0.0927060359852716
Rcc2	Rcc2	0.0920069066489414
Twf1	Twf1	0.0917216968856323
Sarnp	Sarnp	0.0912946361636673
Mga	Mga	0.0910134238951091
Dcun1d5	Dcun1d5	0.0909263706041584
Arf5	Arf5	0.0907194351200012
X4833439L19Rik	X4833439L19Rik	0.0906375494364017
X2700081O15Rik	X2700081O15Rik	0.0905269124254955
Eef1a1	Eef1a1	0.0898565658173633
Wbscr22	Wbscr22	0.088598865723514
Rpl37	Rpl37	0.0872918429836254
Rsl1d1	Rsl1d1	0.0868294345615513
Fam104a	Fam104a	0.0864296473895592
Ppwd1	Ppwd1	0.0861523918277746
Zfp354c	Zfp354c	0.0859655982532488
