var	rel.inf
Gja1	Gja1	5.20922576549499
Clu	Clu	3.13802464914147
Dcx	Dcx	3.08030376080907
Mfap2	Mfap2	2.6597822914153
Zfp367	Zfp367	2.5729573361469
Ndufa12	Ndufa12	2.51405345927922
Htra1	Htra1	2.26890923693715
Ccnd2	Ccnd2	1.9886588428892
Map4k4	Map4k4	1.97451462417853
Skil	Skil	1.91235264400997
Cfl1	Cfl1	1.5500962450689
Rps9	Rps9	1.53713141836291
Ntm	Ntm	1.29989520873621
Ptma	Ptma	1.29225040110408
Rpl7	Rpl7	1.10522918242485
Zwilch	Zwilch	1.03328802968773
Tmsb4x	Tmsb4x	0.993333125987654
Tsc22d2	Tsc22d2	0.937260099074366
Fabp7	Fabp7	0.920115688008633
X2810417H13Rik	X2810417H13Rik	0.90908887707399
Siva1	Siva1	0.897299139793033
Eif4a1	Eif4a1	0.885791981241184
Mapk1ip1l	Mapk1ip1l	0.698088002599822
Apoe	Apoe	0.591307223020554
Sec62	Sec62	0.578123495561631
Dlx6as1	Dlx6as1	0.563759189024877
Rpl32	Rpl32	0.560443077006309
Ipo5	Ipo5	0.511279852876511
Actb	Actb	0.505892104455454
Cbs	Cbs	0.483037762971654
Tuba1c	Tuba1c	0.481278422668993
Zfp36l1	Zfp36l1	0.45986436418417
Zfp148	Zfp148	0.455105791668706
Lats1	Lats1	0.438960171254465
Nono	Nono	0.429316102499095
Tpx2	Tpx2	0.401973762440885
Sox11	Sox11	0.395132252778808
Hnrnpm	Hnrnpm	0.387581012839287
Cst3	Cst3	0.375357293455036
Rpl4	Rpl4	0.351217608802947
Mdk	Mdk	0.346642637064645
Myo1b	Myo1b	0.335634941012725
Pdcd4	Pdcd4	0.33025217816467
Gm13826	Gm13826	0.321978146630851
Cul3	Cul3	0.315209886809708
Tcf4	Tcf4	0.31013169192116
Rps14	Rps14	0.303988074493785
Psma3	Psma3	0.300818008140325
Gria2	Gria2	0.291064879486815
A430005L14Rik	A430005L14Rik	0.288644850140778
Dctn2	Dctn2	0.288145151112876
Malat1	Malat1	0.287138368119353
Psma6	Psma6	0.27732278381658
Grpel1	Grpel1	0.272869486191987
Cldn10	Cldn10	0.270939165797126
Eef1a1	Eef1a1	0.270899027633969
Atad2	Atad2	0.27015742241663
Bcan	Bcan	0.268153258988594
Herc4	Herc4	0.264754926067188
Cks2	Cks2	0.262953662331969
Ndufs6	Ndufs6	0.262024455162745
Cdca3	Cdca3	0.257518386881118
Banf1	Banf1	0.254743005381285
Tardbp	Tardbp	0.251050563957666
Ppap2b	Ppap2b	0.24764903263177
Rps11	Rps11	0.247252155927316
Mt1	Mt1	0.245586391890773
Uqcrh	Uqcrh	0.243766282259866
Ezh2	Ezh2	0.234550862454857
Atp5a1	Atp5a1	0.233298947869942
Vrk1	Vrk1	0.229848302982812
Fam89b	Fam89b	0.229062002056419
Rpl41	Rpl41	0.226230882887414
Eif4h	Eif4h	0.219045609341503
Cenph	Cenph	0.217402924686948
Bola1	Bola1	0.213578032527977
Bsg	Bsg	0.213230059436537
Gm5148	Gm5148	0.211318481779514
Thyn1	Thyn1	0.209089295610819
Rps26	Rps26	0.20340690832146
Marcks	Marcks	0.203098855137305
Ubr7	Ubr7	0.202941457105438
Dlx2	Dlx2	0.201476290104393
Ddx5	Ddx5	0.19904771980434
Ndufa11	Ndufa11	0.198466904413056
Hspa14	Hspa14	0.193664774461785
Taf4a	Taf4a	0.193138317872597
Alyref	Alyref	0.192750301228485
Fam103a1	Fam103a1	0.188756875374067
Bub1b	Bub1b	0.188459896078721
Aimp1	Aimp1	0.184360944317815
Hmgb2	Hmgb2	0.182155054526766
Qser1	Qser1	0.181434213183377
Hdac2	Hdac2	0.179971329029654
Rcor2	Rcor2	0.179177906962292
Kdm6b	Kdm6b	0.179087075355071
Mdh2	Mdh2	0.176842341416939
Ncl	Ncl	0.176758560126476
Glul	Glul	0.175354040653901
Tubb5	Tubb5	0.172484424152106
Hnrnpa0	Hnrnpa0	0.172325548926659
Jag1	Jag1	0.172310737412416
Cenpj	Cenpj	0.168881233097307
Nme1	Nme1	0.16736699067337
X1110038B12Rik	X1110038B12Rik	0.165820948441781
Dcaf6	Dcaf6	0.162257821470921
Mmd2	Mmd2	0.16194299748135
Coro1c	Coro1c	0.161938512687029
Asf1a	Asf1a	0.160731030609212
Tmem57	Tmem57	0.159349295236985
Hmgb3	Hmgb3	0.157857234174336
Mex3a	Mex3a	0.154809692202372
Rcc2	Rcc2	0.152733618065026
Ubb	Ubb	0.150416569261684
Psip1	Psip1	0.150118802438191
Nrxn3	Nrxn3	0.143256578372486
Smc2	Smc2	0.141766894269041
Anapc11	Anapc11	0.141030065056522
Itpa	Itpa	0.139135799692702
Myl6	Myl6	0.138782163279442
Lsm14a	Lsm14a	0.138767856003925
Dek	Dek	0.138749229725803
Nup93	Nup93	0.137910184638851
Dgcr8	Dgcr8	0.137791677514816
H3f3b	H3f3b	0.135932681556437
Rbbp4	Rbbp4	0.133492475424668
Ndufa6	Ndufa6	0.132914153566602
Cox7c	Cox7c	0.132508997513836
Nop58	Nop58	0.131639765730416
