var	rel.inf
Ccnd2	Ccnd2	4.94805961114015
Marcks	Marcks	2.62090683683219
Ptma	Ptma	2.48443995632557
Htra1	Htra1	2.47526008810211
Jag1	Jag1	2.00378765963101
Gja1	Gja1	1.87100729052486
Clu	Clu	1.68038728484451
Poldip3	Poldip3	1.5787650131959
Actb	Actb	1.48900539951476
Zwilch	Zwilch	1.47878911434432
Hnrnpd	Hnrnpd	1.34439527315351
Map4k4	Map4k4	1.24492929303114
Skil	Skil	1.02679136905519
Dpysl2	Dpysl2	1.01112577428225
Sox11	Sox11	1.01029832077696
Ntm	Ntm	0.93168557534615
Myo1b	Myo1b	0.869289029428089
Atp5b	Atp5b	0.786627343077652
Plp1	Plp1	0.763971795116069
Pdcd4	Pdcd4	0.758020208917058
Hnrnpk	Hnrnpk	0.740357213793821
Nrxn3	Nrxn3	0.648372859989014
Ckb	Ckb	0.618728878010463
Gria2	Gria2	0.601254182572826
Zmiz1	Zmiz1	0.600220390989929
Actr2	Actr2	0.592535107812845
Igfbpl1	Igfbpl1	0.58428352567669
Mettl9	Mettl9	0.565345693515975
Eif4ebp1	Eif4ebp1	0.52069696994302
Larp1	Larp1	0.508149714271339
Rps11	Rps11	0.502223801139966
Nono	Nono	0.500821010465
Dbi	Dbi	0.482699914447356
Arpc2	Arpc2	0.476053193399857
Mir682	Mir682	0.472651778882426
Xpo1	Xpo1	0.469735969314352
Gm5148	Gm5148	0.453403742939376
Prdx6	Prdx6	0.448828979055296
Miat	Miat	0.444805837803076
Dlx2	Dlx2	0.433305495419814
Sfrs18	Sfrs18	0.423954049331264
Set	Set	0.419510415200289
Tmsb4x	Tmsb4x	0.416114888126631
Pnrc2	Pnrc2	0.410607982237071
Sparcl1	Sparcl1	0.40901953975486
Ptprz1	Ptprz1	0.406887386862116
Tubb5	Tubb5	0.394396593104355
Rpl39	Rpl39	0.386601270569354
Tnfrsf19	Tnfrsf19	0.385596175228864
Rer1	Rer1	0.382978300453776
Rpl7	Rpl7	0.373083022222255
Fabp7	Fabp7	0.370422375737148
Lsm2	Lsm2	0.362934226169664
Tuba1b	Tuba1b	0.359146085400011
Gmcl1	Gmcl1	0.351662664025351
Rmst	Rmst	0.335433993898644
Trim67	Trim67	0.334353005419653
Erh	Erh	0.334320328239937
Vim	Vim	0.332583523727848
