var	rel.inf
Nono	Nono	5.86440530883691
Clu	Clu	5.42045679494203
Tmsb4x	Tmsb4x	4.40603974386006
Gja1	Gja1	2.16359906100402
Jag1	Jag1	2.15485861984995
Bcan	Bcan	1.78103687696117
Ccnd2	Ccnd2	1.71877765423571
Slc1a2	Slc1a2	1.64841674702504
Fabp7	Fabp7	1.57938657247595
Hspa8	Hspa8	1.54008771693317
Cks2	Cks2	1.31142818306506
Ptprz1	Ptprz1	1.2595131273163
Rpl41	Rpl41	1.25409206770275
Rpl32	Rpl32	1.13406932579726
Dhfr	Dhfr	1.08281327546046
Sox11	Sox11	1.01957157713768
Marcks	Marcks	0.980445699983076
Ptma	Ptma	0.964320928923204
Htra1	Htra1	0.825003039162447
Tuba1c	Tuba1c	0.814325304183761
Glul	Glul	0.810441655113408
Ywhah	Ywhah	0.799194492634385
Rpl36al	Rpl36al	0.791668496365649
Nrxn3	Nrxn3	0.770425273512856
Gas5	Gas5	0.763351133316884
Krt10	Krt10	0.751254747637071
Rad23b	Rad23b	0.739611908237618
Cfl2	Cfl2	0.72451519203378
Actb	Actb	0.655080465312016
Cbx3	Cbx3	0.622073979370456
X2610203C20Rik	X2610203C20Rik	0.590314968021647
Cdca2	Cdca2	0.559887033117401
Ube2c	Ube2c	0.536172763472435
Pdcd4	Pdcd4	0.528785537916617
Hmgb2	Hmgb2	0.524931391418293
Lsm12	Lsm12	0.5126968185506
Zwilch	Zwilch	0.49135528924026
Cst3	Cst3	0.473720166470896
Apoe	Apoe	0.469817656607036
Etv5	Etv5	0.469248737120249
Rpl8	Rpl8	0.467146490035533
Hnrnpab	Hnrnpab	0.465222569700191
Rpa1	Rpa1	0.459012375552374
Elavl4	Elavl4	0.440689722135733
Dlx2	Dlx2	0.438742091450617
Tubb3	Tubb3	0.43504575388279
Sepw1	Sepw1	0.429529435027163
Zfp932	Zfp932	0.420274578701733
Dcx	Dcx	0.406991947921546
Eif3i	Eif3i	0.361768774662382
Rps9	Rps9	0.356559842120268
Sema5b	Sema5b	0.356425239962181
Mad2l1	Mad2l1	0.356247033131692
Phf6	Phf6	0.341644929376892
Eef1a1	Eef1a1	0.339116485330561
Arpc2	Arpc2	0.331420387618407
Rpl7	Rpl7	0.327322914865371
Arf5	Arf5	0.315604537593093
Lrrc58	Lrrc58	0.31505845711931
Rps11	Rps11	0.311073771195329
Fabp5	Fabp5	0.310917240562257
Set	Set	0.291864473037026
Gm6654	Gm6654	0.291203171140841
Ndufa12	Ndufa12	0.284904835504775
Mrfap1	Mrfap1	0.274172639033689
Gm13826	Gm13826	0.273526080112646
Igfbpl1	Igfbpl1	0.266473354994578
Birc5	Birc5	0.259314988422831
Myh9	Myh9	0.251839121737283
Ube2k	Ube2k	0.25123940653973
Krr1	Krr1	0.249658672542224
Rmst	Rmst	0.248319770582608
Lbr	Lbr	0.247888067472149
Agps	Agps	0.239601166723301
Zfp148	Zfp148	0.237325615431292
Trim37	Trim37	0.236331907806464
Manf	Manf	0.231134564481866
Olig2	Olig2	0.226207225208826
Dpysl2	Dpysl2	0.221593001446799
Rasa1	Rasa1	0.218412272838399
Poldip3	Poldip3	0.218156307978879
Prc1	Prc1	0.212589986821691
Oxct1	Oxct1	0.212197094636122
Cdk2ap1	Cdk2ap1	0.207984073888619
Msi2	Msi2	0.206208275302752
Pfn2	Pfn2	0.2020044538322
Ckap2l	Ckap2l	0.194034369556943
Cox14	Cox14	0.192628440324855
Rps25	Rps25	0.192496672936979
Nup210	Nup210	0.188282600748802
Polr2c	Polr2c	0.186279735745209
Crmp1	Crmp1	0.186243560743147
Ndufb7	Ndufb7	0.184928165969848
Flrt2	Flrt2	0.180202831159835
Pla2g7	Pla2g7	0.179030834132485
Ech1	Ech1	0.173593081631636
Mll2	Mll2	0.1733815145618
Skil	Skil	0.17281410588028
