var	rel.inf
Clu	Clu	3.9864370758062
Tmsb4x	Tmsb4x	3.08439639555737
Rpl7	Rpl7	2.27099714062338
Banf1	Banf1	2.1590974301841
Eef1a1	Eef1a1	2.10214858427029
Rpl32	Rpl32	1.67391002175541
Dlx6as1	Dlx6as1	1.40326403104888
Rps26	Rps26	1.36117964616572
Ccnd2	Ccnd2	1.31390874979556
Pdcd4	Pdcd4	1.16419343728834
Hmgn1	Hmgn1	1.15160560649505
Malat1	Malat1	1.13213313930616
X2700094K13Rik	X2700094K13Rik	1.10634970938091
Ptma	Ptma	1.08319818756158
Actb	Actb	1.0058264142258
Gm13826	Gm13826	0.989835640056697
Mir682	Mir682	0.944071734121087
Rpl8	Rpl8	0.938550679099688
H3f3b	H3f3b	0.803411474679514
Slc1a2	Slc1a2	0.787859039592647
Snrpb	Snrpb	0.779006984401527
Tipin	Tipin	0.775156954693914
Dek	Dek	0.759492926509464
Dhfr	Dhfr	0.708338095545301
Topbp1	Topbp1	0.673098173330402
Rps3	Rps3	0.661116036779919
Cenpj	Cenpj	0.654454462771588
Rps3a1	Rps3a1	0.647932827332569
Myef2	Myef2	0.607779357051294
Fabp7	Fabp7	0.602411096719771
Rps14	Rps14	0.56387125807888
Rps11	Rps11	0.535022831493159
Set	Set	0.531362865720205
Jag1	Jag1	0.528346908965842
Ankrd13c	Ankrd13c	0.495069490776661
Pa2g4	Pa2g4	0.484869311917741
Ywhah	Ywhah	0.474928631861191
Ube2c	Ube2c	0.469266759820499
Birc5	Birc5	0.463511799052091
Fam96b	Fam96b	0.446736285308329
Sf3b1	Sf3b1	0.445207167311323
Htra1	Htra1	0.44273557588675
Hmbs	Hmbs	0.439858374757773
Rps25	Rps25	0.439175215000701
Tuba1c	Tuba1c	0.423663005379932
Psmb6	Psmb6	0.415690686810007
Sars	Sars	0.413351026572206
Rnps1	Rnps1	0.402078051566244
Zwilch	Zwilch	0.38793898944373
Cep70	Cep70	0.38612181858167
Ybx1	Ybx1	0.379602502273655
Gja1	Gja1	0.371155088084655
Myl6	Myl6	0.364921143632481
Atad2	Atad2	0.364206072602027
Ccdc25	Ccdc25	0.363326699893693
Smc4	Smc4	0.354301593531488
Nono	Nono	0.352657712646433
Nrxn3	Nrxn3	0.351246695711443
Dcun1d5	Dcun1d5	0.337613375509235
Esco2	Esco2	0.335659598116733
Cdkal1	Cdkal1	0.324321890145884
Rcn2	Rcn2	0.323532209587272
Ywhae	Ywhae	0.315788305150741
Smc2	Smc2	0.313404909443306
Cks2	Cks2	0.313350839943184
Rpl23a	Rpl23a	0.305417531227819
Plp1	Plp1	0.292788612864453
Hnrnpab	Hnrnpab	0.292511720632017
Sox11	Sox11	0.288802736391415
Cfl1	Cfl1	0.276165710531373
Zfp36l1	Zfp36l1	0.274946531270224
Map4k4	Map4k4	0.273565429694808
Ncor2	Ncor2	0.271751239734367
Igfbpl1	Igfbpl1	0.268433068837489
Litaf	Litaf	0.26555903014148
Hepacam	Hepacam	0.262645414791016
Rpl37a	Rpl37a	0.261371551990605
Skil	Skil	0.260852036442896
Rab12	Rab12	0.257302971876255
Diablo	Diablo	0.25455187769822
Lig1	Lig1	0.241718471174336
Eif4a1	Eif4a1	0.239807621283349
Ntm	Ntm	0.23846831389911
Krr1	Krr1	0.237738604525175
Ran	Ran	0.232056908460596
Rrm1	Rrm1	0.229376045293765
Ppp1r14b	Ppp1r14b	0.2254428362778
Cox6a1	Cox6a1	0.22530198186349
Slbp	Slbp	0.224443610498231
X2010107E04Rik	X2010107E04Rik	0.221654568382201
Cst3	Cst3	0.218084980793405
Atp6v1f	Atp6v1f	0.213738464355417
Cox4i1	Cox4i1	0.212190809605756
Ttc3	Ttc3	0.20957260079264
Spry2	Spry2	0.203557565162083
Nfia	Nfia	0.201491396377435
Sox8	Sox8	0.197778455110872
Dcx	Dcx	0.193768534627963
Kif23	Kif23	0.192532175144525
Eif3m	Eif3m	0.190375012599812
Ctbp2	Ctbp2	0.190302410922029
Tubb5	Tubb5	0.18997951303913
Serbp1	Serbp1	0.187674984300556
Rps15	Rps15	0.185720297484907
Cenpf	Cenpf	0.184660709924784
X1500011K16Rik	X1500011K16Rik	0.182001602504348
Flrt2	Flrt2	0.18103846778523
Stag1	Stag1	0.175663194447248
Il18	Il18	0.172430190208389
Fam89b	Fam89b	0.172119899529329
Cdk1	Cdk1	0.171297250527932
Cenph	Cenph	0.169520983326497
Csnk2a1	Csnk2a1	0.166202836405985
Tnfrsf19	Tnfrsf19	0.165642093560427
Dtymk	Dtymk	0.164488625615611
Uba1	Uba1	0.163295749533657
Zkscan3	Zkscan3	0.162943053872512
Glul	Glul	0.16248951088681
Pola1	Pola1	0.161695146205613
Tpx2	Tpx2	0.160736859346365
Plrg1	Plrg1	0.157085604696548
Arid1a	Arid1a	0.155709098157414
Nop16	Nop16	0.15442750876435
Far1	Far1	0.152648379397678
Cbx3	Cbx3	0.152231527914618
Srek1ip1	Srek1ip1	0.150714920682043
Abracl	Abracl	0.1437928432881
Asun	Asun	0.143187103640745
Ncam1	Ncam1	0.140663448967944
Hnrnpd	Hnrnpd	0.140509648548885
Scd2	Scd2	0.140065567665349
Paip1	Paip1	0.139770668644564
Eif4e	Eif4e	0.138116161552496
Uqcrc1	Uqcrc1	0.137823132982607
Rmst	Rmst	0.137085437003846
Mrpl15	Mrpl15	0.135842996820417
Mt1	Mt1	0.135712037204769
Crmp1	Crmp1	0.13419195083116
Adam23	Adam23	0.13235641373111
Stra13	Stra13	0.13208639001927
Amfr	Amfr	0.131778335939205
Rps13	Rps13	0.131577476000414
Zfp148	Zfp148	0.131196311867155
Fubp3	Fubp3	0.128848717633653
Sephs2	Sephs2	0.128194289231655
Rassf2	Rassf2	0.126059374991813
Hnrnpm	Hnrnpm	0.125281765722092
Ddx56	Ddx56	0.123964755133667
Aspm	Aspm	0.123508417509564
Aldoc	Aldoc	0.122799754126041
Grsf1	Grsf1	0.122710168965007
Ywhab	Ywhab	0.120829672869026
Sub1	Sub1	0.119393636343537
Tcf12	Tcf12	0.117482063383546
Trp53	Trp53	0.117372075094951
Mms22l	Mms22l	0.11736122429197
Atpif1	Atpif1	0.116494200220245
Khsrp	Khsrp	0.115856170580038
Maz	Maz	0.115522868098675
Rpl36al	Rpl36al	0.115447869770185
Pias1	Pias1	0.114963304088509
Smc6	Smc6	0.114771103930236
Gm6654	Gm6654	0.113730422691057
Mfge8	Mfge8	0.113055066351258
Sp1	Sp1	0.112096899336594
Cct2	Cct2	0.11083825631353
Nfib	Nfib	0.110107269248941
Scoc	Scoc	0.107530196435903
Psmc1	Psmc1	0.107083609613579
Cenpw	Cenpw	0.106652421672395
Gins4	Gins4	0.105889073614644
Ddhd1	Ddhd1	0.105393941522841
Prpf38a	Prpf38a	0.104383199393748
Ndufa6	Ndufa6	0.103985894321424
Llph	Llph	0.101737505156798
Mrpl36	Mrpl36	0.100782061361043
Dlx2	Dlx2	0.0996843363562432
Hnrnpk	Hnrnpk	0.0945092905578322
Bcan	Bcan	0.0928378078174114
Pcnt	Pcnt	0.0925519786520489
Ssrp1	Ssrp1	0.0915834591384132
Ezh2	Ezh2	0.0915358083258641
Ddx39b	Ddx39b	0.0906719883420498
Cldn10	Cldn10	0.0902721050399573
Crip2	Crip2	0.0901714992304914
Zbtb41	Zbtb41	0.0900331386864991
Rps24	Rps24	0.0898607408117488
Rps4x	Rps4x	0.0890398004027587
Gas5	Gas5	0.0889825372610131
Rps21	Rps21	0.0883935596304627
Kpna4	Kpna4	0.0875822488692698
Tacc3	Tacc3	0.0869902525484897
Rn45s	Rn45s	0.0868126502369689
Snrnp200	Snrnp200	0.086272275688666
Golga7	Golga7	0.0861317488225942
Dpysl2	Dpysl2	0.0855875260789142
Aurkb	Aurkb	0.0849873166776815
Gsk3b	Gsk3b	0.0847736384642437
Zfp655	Zfp655	0.084235591217024
