var	rel.inf
Clu	Clu	4.84779922648089
Gja1	Gja1	4.57237955181696
Topbp1	Topbp1	2.69296096833209
Nrxn3	Nrxn3	1.73037918442261
Tmsb4x	Tmsb4x	1.46511145032646
Ptma	Ptma	1.18522452070454
Dpysl2	Dpysl2	1.10841531117338
Banf1	Banf1	1.07597990475691
Mt3	Mt3	0.987870325816527
Actb	Actb	0.977613893621532
Eef1a1	Eef1a1	0.97037766107879
Manf	Manf	0.953370938047452
Fam96b	Fam96b	0.903677022531863
Tspan6	Tspan6	0.874659379356775
Ccnd2	Ccnd2	0.81671944997982
H2afz	H2afz	0.734299848784137
Rps25	Rps25	0.705907305313717
Slbp	Slbp	0.689875626080951
Mcm3	Mcm3	0.675372535242604
Rpa1	Rpa1	0.663321396204358
Plp1	Plp1	0.641391315529029
Gm13826	Gm13826	0.608211757741933
Cox4i1	Cox4i1	0.57993176847556
Myh9	Myh9	0.576624290697043
Rnps1	Rnps1	0.575075250994663
Ctcf	Ctcf	0.573780255956443
Tpx2	Tpx2	0.558865376252977
Pola1	Pola1	0.540400244787631
Glul	Glul	0.538659987632491
Dlx6as1	Dlx6as1	0.536660076358769
Cst3	Cst3	0.508423455629206
Rpl39	Rpl39	0.504612909450105
Nono	Nono	0.495213762471915
Cct5	Cct5	0.491453438585496
Drg1	Drg1	0.485334822434159
Rps20	Rps20	0.465131625911324
Dlx2	Dlx2	0.46364798218556
Dynlrb1	Dynlrb1	0.455477273384112
Slc25a5	Slc25a5	0.454008618826432
Pphln1	Pphln1	0.453457239943741
Hmgn1	Hmgn1	0.451701210018353
Nup210	Nup210	0.427341015110492
Pa2g4	Pa2g4	0.425685487472959
Htra1	Htra1	0.413299407053841
Bcan	Bcan	0.405206371383944
Rpl32	Rpl32	0.404498370817838
Srek1	Srek1	0.397236918229647
Gnb2l1	Gnb2l1	0.387403202626749
Hnrnpm	Hnrnpm	0.377469043178605
Fabp7	Fabp7	0.377116912275296
Tuba1c	Tuba1c	0.374211028982522
Syne2	Syne2	0.367744974419157
Ccdc127	Ccdc127	0.365521608062734
Ntm	Ntm	0.359791406047257
Zfp148	Zfp148	0.348576224087201
Naa10	Naa10	0.347823070582668
Ywhaz	Ywhaz	0.343164417319414
Atm	Atm	0.335962972351763
Ywhae	Ywhae	0.329066116921397
Sox11	Sox11	0.324699454625067
C330006A16Rik	C330006A16Rik	0.307671746891927
Apoe	Apoe	0.306033742679314
Tmem14c	Tmem14c	0.3049412804124
Rbm5	Rbm5	0.304458197938637
Ppp1cb	Ppp1cb	0.303806793476195
Nop56	Nop56	0.300758852218833
Epb4.1	Epb4.1	0.296862021452399
Rps3a1	Rps3a1	0.28313474201197
Rplp1	Rplp1	0.280490400321521
Dbi	Dbi	0.277696931902128
Rnf122	Rnf122	0.274473593101473
X2810459M11Rik	X2810459M11Rik	0.273395933658998
Slc1a2	Slc1a2	0.261064625423781
Frg1	Frg1	0.255894673426779
Smc4	Smc4	0.255433169331283
Sox8	Sox8	0.253296553884645
X2010107E04Rik	X2010107E04Rik	0.252290119738792
Rps11	Rps11	0.250247908791494
Mt1	Mt1	0.250110754998589
Dhfr	Dhfr	0.2377180331111
Dcx	Dcx	0.235743289360394
Rps24	Rps24	0.234738227276573
Cd81	Cd81	0.234453517703724
Pla2g7	Pla2g7	0.23175332028985
Dut	Dut	0.23129931101659
Arf6	Arf6	0.225567767840039
Set	Set	0.216680198496401
Rpl41	Rpl41	0.215993577977677
Smc2	Smc2	0.213789343165234
Hmgb3	Hmgb3	0.213141121848316
Calm2	Calm2	0.210795303742743
Rrp1	Rrp1	0.209713323180484
Tuba1b	Tuba1b	0.209013543604561
Rps26	Rps26	0.207800235968073
Gm6654	Gm6654	0.207710896609787
Cox7a2	Cox7a2	0.206633902866864
Ndufa6	Ndufa6	0.206023489964292
Ndufa5	Ndufa5	0.204541299952708
H3f3b	H3f3b	0.202701114011327
Serpine2	Serpine2	0.201462236058492
Gm5148	Gm5148	0.200773265295501
Nucks1	Nucks1	0.200541821113033
X2410015M20Rik	X2410015M20Rik	0.198810243304745
Mcm4	Mcm4	0.19500553851949
Ipo5	Ipo5	0.193856499356893
Top1	Top1	0.186555785959813
Efha2	Efha2	0.185359153945009
Smc6	Smc6	0.18163906006382
