var	rel.inf
Jag1	Jag1	8.62716982505225
Aldoc	Aldoc	3.86371008098687
Ptma	Ptma	3.2257767738306
Htra1	Htra1	2.76227895172303
Zwilch	Zwilch	2.66383620890636
Dpysl2	Dpysl2	2.61340073303214
Mt1	Mt1	2.07012240148205
Slc1a2	Slc1a2	1.69338949991827
Bcan	Bcan	1.47436922131394
Tmed10	Tmed10	1.45753947657186
Abracl	Abracl	1.30863099143929
Ccnd2	Ccnd2	1.12161063455612
Skil	Skil	1.02408822911558
Hnrnpk	Hnrnpk	0.987822723423691
Hmgb1	Hmgb1	0.945559629475285
Sox11	Sox11	0.943248147676093
Dlx2	Dlx2	0.929331157660415
Myo1b	Myo1b	0.879753315300461
Rpl41	Rpl41	0.873869701622127
Mms22l	Mms22l	0.870245948513895
Mettl9	Mettl9	0.787431390036394
Slbp	Slbp	0.783318877647777
Cst3	Cst3	0.771616719765965
Krr1	Krr1	0.74782032433112
Ncl	Ncl	0.70519365511356
Tuba1c	Tuba1c	0.679376400887381
Gja1	Gja1	0.678700387859437
Vapa	Vapa	0.65233818305673
Gm13826	Gm13826	0.650789968916649
Prpf4b	Prpf4b	0.581169576443205
Nucks1	Nucks1	0.553103247103538
Zfp36l1	Zfp36l1	0.542807232424364
Tmsb4x	Tmsb4x	0.517378938978762
Cenpp	Cenpp	0.507022246758065
Dut	Dut	0.497927126749104
Tuba1a	Tuba1a	0.461799475672582
Ap2a2	Ap2a2	0.456095250948769
Mt3	Mt3	0.451098953157132
Oxct1	Oxct1	0.428153532858085
Ube2k	Ube2k	0.409451011053627
Psma3	Psma3	0.405458719400614
Gas1	Gas1	0.395424989884486
Serbp1	Serbp1	0.389738111680405
Igfbpl1	Igfbpl1	0.375405119365904
Ints4	Ints4	0.37055377729328
Plp1	Plp1	0.358988259725498
Eif4e	Eif4e	0.354373555426905
Eif3i	Eif3i	0.348146044550124
Rps9	Rps9	0.347079315402744
Igfbp5	Igfbp5	0.332676591969946
Cbx3	Cbx3	0.332214745759444
H3f3b	H3f3b	0.325214029768856
Mrpl15	Mrpl15	0.307642784653772
Marcks	Marcks	0.300249230859031
Rps26	Rps26	0.293216682407694
Prmt5	Prmt5	0.288044686050716
Rps8	Rps8	0.285900128024601
Zfp367	Zfp367	0.268650223797458
Pdcd4	Pdcd4	0.256940300726839
Actb	Actb	0.255999300313045
Ttyh1	Ttyh1	0.249836026785068
Eef1a1	Eef1a1	0.246338341980758
Gigyf1	Gigyf1	0.241050697735445
Rnf115	Rnf115	0.236577749610311
Clu	Clu	0.236380429850796
Fez1	Fez1	0.229821054354741
Napa	Napa	0.222203327723655
Dlx1	Dlx1	0.220720657518677
Acin1	Acin1	0.215394640258562
Rtfdc1	Rtfdc1	0.212077968850427
Mcm6	Mcm6	0.210470464295428
Wdr60	Wdr60	0.20925192901209
Ntm	Ntm	0.208171023722794
Pfn1	Pfn1	0.208076173837058
Rrm1	Rrm1	0.196204507501279
Nono	Nono	0.193491794332094
Rps11	Rps11	0.193470144599863
Ndufa10	Ndufa10	0.192962101261407
Rps14	Rps14	0.189738422255058
Lsm2	Lsm2	0.184968237056301
Hmgcr	Hmgcr	0.183052500685436
Wdr43	Wdr43	0.181452676611386
Scp2	Scp2	0.180236096741294
Mll3	Mll3	0.177833135118586
Bcl11a	Bcl11a	0.177215494785672
Prdx2	Prdx2	0.175543488350783
Tubb3	Tubb3	0.173678275914539
Nusap1	Nusap1	0.17327998392194
Sema5b	Sema5b	0.172235102942454
Usp22	Usp22	0.172116177660504
Dcx	Dcx	0.171443288686277
Ascl1	Ascl1	0.169808207755726
Mfap2	Mfap2	0.166770748164416
Tpx2	Tpx2	0.164481839888941
AI597468	AI597468	0.16433758379826
Far1	Far1	0.164178495762872
Psmb2	Psmb2	0.162352890454605
Sin3b	Sin3b	0.161288014287113
Psmb1	Psmb1	0.151699525489828
Rbm8a	Rbm8a	0.14784996058099
Gins1	Gins1	0.143167019571267
Bcl7b	Bcl7b	0.141005880739246
Lrfn4	Lrfn4	0.140439799474193
Mki67	Mki67	0.138436569845958
Canx	Canx	0.137428899951325
Cfl1	Cfl1	0.13609534470983
Fam60a	Fam60a	0.13580806660997
Aamdc	Aamdc	0.13333566510241
Tdp2	Tdp2	0.132622370764635
Mphosph8	Mphosph8	0.131115276105372
Pfn2	Pfn2	0.130803900102961
Ssna1	Ssna1	0.130165294075726
Ubxn7	Ubxn7	0.130123662613263
Dcps	Dcps	0.129427714444068
Kdelr2	Kdelr2	0.127281098186628
X2610507B11Rik	X2610507B11Rik	0.125063678902073
Srp14	Srp14	0.123439181302713
Rqcd1	Rqcd1	0.123297022034879
Hspd1	Hspd1	0.121734877441487
Tead1	Tead1	0.121613883318522
Rnps1	Rnps1	0.120993433418444
Tubb5	Tubb5	0.120623000770502
Ube2c	Ube2c	0.119923652345551
Cdk2ap1	Cdk2ap1	0.119679095476028
Rpl14	Rpl14	0.118830466622261
Cdk2	Cdk2	0.118737694419041
Smek1	Smek1	0.116435862119708
Rps3a1	Rps3a1	0.115534201148899
Ranbp2	Ranbp2	0.113833958284011
Fam89b	Fam89b	0.113216727496511
Lrrc58	Lrrc58	0.113114051594171
Set	Set	0.112897964636218
Sept2	Sept2	0.111821430916878
Fos	Fos	0.110834259845709
Mfap3	Mfap3	0.109846322109492
X2700038G22Rik	X2700038G22Rik	0.109180874047276
Trim67	Trim67	0.107776167762371
Ppid	Ppid	0.10768708853982
Trim37	Trim37	0.103288103660771
Ect2	Ect2	0.102603329259507
Rps20	Rps20	0.1023956056628
Rfx4	Rfx4	0.101716166862971
Mrpl20	Mrpl20	0.100568242805821
Nrxn3	Nrxn3	0.099968325714707
Smg7	Smg7	0.0994161722889451
Stk19	Stk19	0.0993325270564966
Kif15	Kif15	0.0981892834749852
Ezh2	Ezh2	0.0977706369648525
Ttc9c	Ttc9c	0.0970454325111945
Ngdn	Ngdn	0.0958107970254632
Dynll1	Dynll1	0.0944224171857102
Dlx6as1	Dlx6as1	0.0932765551886923
Tspan12	Tspan12	0.0923179503091128
Zfp932	Zfp932	0.0917544837287495
Ppap2b	Ppap2b	0.0909476144613742
Rtn1	Rtn1	0.0904217954786704
Hnrnpu	Hnrnpu	0.0902842820657617
Elavl4	Elavl4	0.0900580935127144
Med22	Med22	0.0893352946235588
Sugp2	Sugp2	0.0889428278963633
Arcn1	Arcn1	0.0864248289100012
Ilf3	Ilf3	0.0850018719217146
Gabarapl1	Gabarapl1	0.0843454483843373
Tex30	Tex30	0.084318921009227
Mrps9	Mrps9	0.0839632679124645
Nsmce2	Nsmce2	0.0828865511907669
Rae1	Rae1	0.0820066617683206
Dek	Dek	0.0818016265725333
Klf13	Klf13	0.0817703443512069
Xrcc5	Xrcc5	0.0815310710342346
Atad2	Atad2	0.0809600639183663
X2310008H09Rik	X2310008H09Rik	0.080372688793033
Tcf12	Tcf12	0.0801422531274553
Fam179b	Fam179b	0.0800420771821123
Ptprz1	Ptprz1	0.0799360677286271
Plxnb2	Plxnb2	0.0790160974302607
Rpl35	Rpl35	0.0783905783517445
Rplp1	Rplp1	0.0776532522457988
Stip1	Stip1	0.0776451017009077
Wdhd1	Wdhd1	0.0770735585870746
Tuba1b	Tuba1b	0.0768861284187687
Ckap5	Ckap5	0.0768406422499039
Tead2	Tead2	0.076631867012537
Tle3	Tle3	0.0765718997005683
Dctpp1	Dctpp1	0.0764655295053457
Smarce1	Smarce1	0.0761963288083275
Nfib	Nfib	0.074532119490361
Lamtor3	Lamtor3	0.0739583157382829
Pprc1	Pprc1	0.0728927604030097
Pla2g7	Pla2g7	0.0727653489380231
Rpl36al	Rpl36al	0.0727631490226193
Smarcc1	Smarcc1	0.0724599462582008
Rplp0	Rplp0	0.0722781747128422
Ndufa12	Ndufa12	0.0721529281095396
Zcchc8	Zcchc8	0.0719383644035586
Rbm5	Rbm5	0.071733928730262
Ube2d3	Ube2d3	0.071134041765125
X9530068E07Rik	X9530068E07Rik	0.0711124898313893
Ndufs6	Ndufs6	0.0710911612737252
Zfp78	Zfp78	0.0700926209359442
Ssbp1	Ssbp1	0.0694982760664642
Nfia	Nfia	0.0694329907768728
Atp1a2	Atp1a2	0.0693658173545716
Luc7l3	Luc7l3	0.0684884764801761
BC056474	BC056474	0.068407173337833
Clic4	Clic4	0.0675992557165662
Hat1	Hat1	0.0675416121474675
Bod1l	Bod1l	0.0670653122788068
Dnajc9	Dnajc9	0.0668857878900866
Aars	Aars	0.0661179803025898
Atp5e	Atp5e	0.0660692558361445
Bet1	Bet1	0.0657027383273084
Impact	Impact	0.0655962500353319
Rnf214	Rnf214	0.0652370828567969
Cenpj	Cenpj	0.06450666135176
Golt1b	Golt1b	0.0640722766348385
X2410002F23Rik	X2410002F23Rik	0.0637369691905948
Gpm6a	Gpm6a	0.06371825295923
D17H6S53E	D17H6S53E	0.063395669607494
Casp8ap2	Casp8ap2	0.0630512100377328
Setdb1	Setdb1	0.0630265307828687
Cul3	Cul3	0.0628950583761449
Prdx4	Prdx4	0.0626838219843713
Tcf4	Tcf4	0.0626598779818516
Ddx39b	Ddx39b	0.0625408730981121
Rpl39	Rpl39	0.0625105582470662
Magoh	Magoh	0.0624809566973812
Zbtb11	Zbtb11	0.0618885241747665
Notch1	Notch1	0.0608544046531905
Lamtor1	Lamtor1	0.0607446092289781
Srek1ip1	Srek1ip1	0.0605662867964262
Mrps21	Mrps21	0.0601514770597664
Uchl5	Uchl5	0.0598595428482277
Atad5	Atad5	0.0598554094703434
Ttc1	Ttc1	0.0597777519051571
Il18	Il18	0.0594893002770863
Wtap	Wtap	0.0593193681370348
Grlf1	Grlf1	0.058922100841192
Tet2	Tet2	0.0585888000687696
Mcm10	Mcm10	0.0583113813121459
Hnrnpf	Hnrnpf	0.0581423182180478
Actg1	Actg1	0.0581384372983422
Eef1g	Eef1g	0.0579015633638251
Mex3a	Mex3a	0.0573008090417585
Snd1	Snd1	0.0572584483849446
Shcbp1	Shcbp1	0.0568363247415903
Cd63	Cd63	0.0565257042029768
Golga7	Golga7	0.0564946060907964
Cdk5r1	Cdk5r1	0.056393730485784
Pkp4	Pkp4	0.0563750142702699
Wbp4	Wbp4	0.0562258897821149
Ythdf2	Ythdf2	0.0560275682655185
Tomm22	Tomm22	0.0552065182175845
Park7	Park7	0.0551193806906846
Syne2	Syne2	0.055017371031477
Ankrd13c	Ankrd13c	0.0549347303378256
