var	rel.inf
Uqcrc1	Uqcrc1	3.24218175149451
Mll2	Mll2	3.06334567294806
Pdcd4	Pdcd4	3.05527740339222
Eef1a1	Eef1a1	2.71318437891479
Clu	Clu	2.45297292031295
Ccnd2	Ccnd2	2.45278386089883
Tuba1c	Tuba1c	2.13852668420419
Pnrc2	Pnrc2	2.03257436097677
Sox11	Sox11	1.96319523896156
Rps8	Rps8	1.81390688875398
Gja1	Gja1	1.66042583911841
Htra1	Htra1	1.62378604966032
Fabp7	Fabp7	1.39984954018848
Abracl	Abracl	1.33300247571413
Marcks	Marcks	1.23971415081953
Slc1a2	Slc1a2	1.18975995395891
Sox8	Sox8	1.18769045599783
Igfbpl1	Igfbpl1	1.07469743362628
Skil	Skil	1.05183415044901
Rpl8	Rpl8	0.999530242755187
Rbbp7	Rbbp7	0.994644339191882
Myef2	Myef2	0.858222185107777
Dlx2	Dlx2	0.831916353734462
Malat1	Malat1	0.740271859959538
Eif4a1	Eif4a1	0.733852818366949
Rps11	Rps11	0.679992360258302
Bcan	Bcan	0.669744286149205
Cst3	Cst3	0.651837739194522
Nono	Nono	0.647142692914215
Ndufa6	Ndufa6	0.645446216000154
Rpa1	Rpa1	0.637330386213276
Nrxn3	Nrxn3	0.630486400504479
Tpx2	Tpx2	0.558557875716641
Rps25	Rps25	0.536338934040685
Thrsp	Thrsp	0.528561130191754
Ybx1	Ybx1	0.51957548897799
Arf6	Arf6	0.516448793240343
Trim67	Trim67	0.510128317808337
Cfl1	Cfl1	0.509413197351134
Tceb1	Tceb1	0.46934522217991
Nup210	Nup210	0.440817039417143
Atp6v1h	Atp6v1h	0.439845989330327
Dlx6as1	Dlx6as1	0.436518764624433
Cldn10	Cldn10	0.421506523822692
Lig1	Lig1	0.420747229292573
Tubb3	Tubb3	0.417763051234461
Nusap1	Nusap1	0.371229584538374
Rps26	Rps26	0.362025039354614
Cks2	Cks2	0.352630249117179
Ttyh1	Ttyh1	0.3521578578295
Rps20	Rps20	0.351860217373623
Clic4	Clic4	0.346023849488566
Ptma	Ptma	0.345410064175593
Cbs	Cbs	0.319360425184362
Ezh2	Ezh2	0.318391130802198
Glul	Glul	0.313176190414735
Nfib	Nfib	0.312096844438193
Golga7	Golga7	0.308215030695066
Son	Son	0.305558486614998
Smarca4	Smarca4	0.301164409594467
Gm6548	Gm6548	0.292454237276773
Psip1	Psip1	0.284488396048926
Ddx39b	Ddx39b	0.280148180841847
Ntm	Ntm	0.27983674933753
Rpl7	Rpl7	0.274091745105379
Slbp	Slbp	0.256949885500434
Rps14	Rps14	0.249553390150769
Actb	Actb	0.245687063291924
Rpl4	Rpl4	0.243437335601252
Trpm7	Trpm7	0.240701023053061
Tmsb4x	Tmsb4x	0.237988803762359
Nucks1	Nucks1	0.228337559026599
Banf1	Banf1	0.225313863164469
Pfn1	Pfn1	0.222817566635654
Lrrc58	Lrrc58	0.216971020672724
Shcbp1	Shcbp1	0.216613549488582
Tead1	Tead1	0.215923585709518
