var	rel.inf
Pdcd4	Pdcd4	6.98576636601116
Nono	Nono	6.01957533906407
Gm13826	Gm13826	5.55087575238018
Ptma	Ptma	4.87572204678579
Ccnd2	Ccnd2	4.85110457881154
Clu	Clu	3.99068586109463
Cbx3	Cbx3	2.49926050185305
Sox11	Sox11	2.06144007093422
Rpl32	Rpl32	1.54491762332494
Ubb	Ubb	1.19674171303077
Canx	Canx	1.15864246758081
Jag1	Jag1	1.10324610601724
Pola1	Pola1	1.09473290107138
Dlx2	Dlx2	1.04807855233039
Slc1a2	Slc1a2	1.03753823601134
Ttyh1	Ttyh1	0.861748213620533
Eef1a1	Eef1a1	0.774382932928453
Actb	Actb	0.749431215585765
Aldoc	Aldoc	0.669399800179063
Dhfr	Dhfr	0.636543066188801
Otub1	Otub1	0.589338475481829
Mt1	Mt1	0.49696080442899
Mex3a	Mex3a	0.495271691434446
Dctpp1	Dctpp1	0.489104570276294
Mcm10	Mcm10	0.480686853270533
Ivns1abp	Ivns1abp	0.446806169113838
Gja1	Gja1	0.444446559511889
Rpa1	Rpa1	0.417283188330574
Drg1	Drg1	0.415476456292982
Rbm26	Rbm26	0.414748816082573
Tuba1b	Tuba1b	0.40801962313556
Rif1	Rif1	0.400510049150168
Hmgb2	Hmgb2	0.390830419014042
Eif4a1	Eif4a1	0.387209763355413
Eif4a3	Eif4a3	0.375312745882329
Igfbp5	Igfbp5	0.373303700191402
Pmpcb	Pmpcb	0.370542440040092
Tnpo1	Tnpo1	0.369912860615361
Phf6	Phf6	0.365466056667558
Tmsb4x	Tmsb4x	0.364594753171605
Ybx1	Ybx1	0.363961496828324
X1110004F10Rik	X1110004F10Rik	0.363929345912211
Htra1	Htra1	0.357838336757961
Ier3ip1	Ier3ip1	0.346653410731537
Glcci1	Glcci1	0.332520698223943
Rpl41	Rpl41	0.33188078677245
Nrxn3	Nrxn3	0.329205135341006
Rpp14	Rpp14	0.277122579459067
Prc1	Prc1	0.274671399959859
Rps8	Rps8	0.271989220042403
Set	Set	0.271060943423198
Baz1b	Baz1b	0.255056613395682
Dbi	Dbi	0.254743405637208
Mt3	Mt3	0.254331032977563
Eif3g	Eif3g	0.251917064113005
Kdm5a	Kdm5a	0.24199784850278
Anks1	Anks1	0.2412485199194
Rps11	Rps11	0.239177002370581
Rps20	Rps20	0.236874385219045
Hsp90ab1	Hsp90ab1	0.234768941958772
X0610010K14Rik	X0610010K14Rik	0.234063770842092
Plp1	Plp1	0.231649609474839
Nup37	Nup37	0.224942692066092
Cul3	Cul3	0.220963967064373
Rps15a	Rps15a	0.21602191075195
Sin3a	Sin3a	0.215830788887996
Brd3	Brd3	0.212985664874288
Dlx6as1	Dlx6as1	0.204694219161105
Inpp4a	Inpp4a	0.2042483747638
Rab8b	Rab8b	0.202904068519424
Pdcd10	Pdcd10	0.200517183622177
X5830416P10Rik	X5830416P10Rik	0.19925662835094
Nop10	Nop10	0.196227363176989
Mphosph8	Mphosph8	0.191333868773009
Hmgb3	Hmgb3	0.189417380945857
Kif5b	Kif5b	0.188072906821573
Map4k4	Map4k4	0.184787058962906
Dcx	Dcx	0.184230859694401
Ndufb4	Ndufb4	0.183897621247564
Krr1	Krr1	0.17340729089995
X2610203C20Rik	X2610203C20Rik	0.169984452489874
Lin7c	Lin7c	0.166247308786116
Gm1821	Gm1821	0.15903486054795
Rpl37	Rpl37	0.155911214224907
Fos	Fos	0.153113304711622
Txnl4a	Txnl4a	0.152305957549631
Ipo5	Ipo5	0.151891397020575
Gnl3	Gnl3	0.150562045854026
Marcks	Marcks	0.149405982405743
Son	Son	0.146689966553736
Mtch2	Mtch2	0.144636823435429
Serpine2	Serpine2	0.144247482784802
Ppp1ca	Ppp1ca	0.143936747719055
Psmb6	Psmb6	0.143862382876027
Rps25	Rps25	0.141032655604758
Rps15	Rps15	0.140356236910074
Rad54b	Rad54b	0.1396889839394
Timm23	Timm23	0.139266693871622
Vrk1	Vrk1	0.138297192849245
Prpf4b	Prpf4b	0.134047856223761
H3f3b	H3f3b	0.128920389911069
Efha2	Efha2	0.128413585047466
Tacc3	Tacc3	0.126941351880799
Gm5148	Gm5148	0.126520480627065
Lrfn4	Lrfn4	0.126309714068291
Rplp0	Rplp0	0.12408695068025
Nsa2	Nsa2	0.12271728574507
Arid1b	Arid1b	0.12122019403711
Mrpl13	Mrpl13	0.120607413525021
Anapc11	Anapc11	0.120503988027544
Rpl13a	Rpl13a	0.119812805891208
Usp37	Usp37	0.119646561170977
X2010107E04Rik	X2010107E04Rik	0.119593702451613
Dlx5	Dlx5	0.119387864842563
Zfp36l1	Zfp36l1	0.118348210232769
