var	rel.inf
Ccnd2	Ccnd2	4.59182106334524
Gm13826	Gm13826	4.16581093607327
Ntm	Ntm	3.55130724081497
Nono	Nono	2.78014694750039
Igfbpl1	Igfbpl1	2.62387301211398
Gja1	Gja1	2.01106057273969
Malat1	Malat1	1.94589444724807
Htra1	Htra1	1.59029730642447
Tpx2	Tpx2	1.4934212756954
Rmst	Rmst	1.45255897334146
Cenpp	Cenpp	1.41960203927191
X2810459M11Rik	X2810459M11Rik	1.33631678695275
Clu	Clu	1.28779331633941
Dlx2	Dlx2	1.24475333453884
Actb	Actb	1.21635237370727
Eef1a1	Eef1a1	1.04897286656179
X2810417H13Rik	X2810417H13Rik	1.01322857915665
Ndufa6	Ndufa6	0.909244580457277
Anapc10	Anapc10	0.889247812155083
Mt3	Mt3	0.855708923964095
Sox11	Sox11	0.833753549883756
Cenpe	Cenpe	0.812768785735706
Drg1	Drg1	0.789107601782712
Dbi	Dbi	0.72149371317319
Birc5	Birc5	0.706364640140019
Slc1a2	Slc1a2	0.679813485885482
Rps25	Rps25	0.664922582025555
Pa2g4	Pa2g4	0.649353828537934
Hells	Hells	0.643213750999933
Hmgb2	Hmgb2	0.625272875598987
Zwilch	Zwilch	0.611704098190237
Tubb5	Tubb5	0.599688026466561
Plp1	Plp1	0.596882974687062
Dlx1	Dlx1	0.591392272713616
Son	Son	0.548873590552639
Rps19	Rps19	0.535143230982021
Rps26	Rps26	0.501896025718644
Aldoc	Aldoc	0.472822353376818
Tmsb4x	Tmsb4x	0.467905514466452
Cfl1	Cfl1	0.434778637021393
Set	Set	0.419143663207294
Marcks	Marcks	0.405690031085695
Cenpa	Cenpa	0.402186694630528
Lsm2	Lsm2	0.392157284572451
Cst3	Cst3	0.368619125345947
Rpl32	Rpl32	0.352491610821683
Fam89b	Fam89b	0.348513702019366
Bcan	Bcan	0.346979903546715
Smc4	Smc4	0.345090212997479
Cdca3	Cdca3	0.343717187983568
Fos	Fos	0.340095131320409
Ttyh1	Ttyh1	0.337856799310033
Ptma	Ptma	0.333406898901925
Nop10	Nop10	0.332849516306344
Slbp	Slbp	0.292591942276848
Bub1b	Bub1b	0.286666202015869
Mfap2	Mfap2	0.286501239648239
Ncam1	Ncam1	0.280095081700863
Cenpl	Cenpl	0.278778401959158
Gsk3b	Gsk3b	0.276526072342408
Rpl19	Rpl19	0.274944738102489
Notch1	Notch1	0.272919610755478
Mki67	Mki67	0.26718547129998
Rsl1d1	Rsl1d1	0.26317589635996
Top1	Top1	0.259248787152092
Brd3	Brd3	0.258149338814073
Tmpo	Tmpo	0.257793035055925
Glul	Glul	0.257122219281128
Prc1	Prc1	0.256668398967058
Hnrnpa0	Hnrnpa0	0.249082527665252
Cenpf	Cenpf	0.248644096672421
Rps24	Rps24	0.247663436476628
Hs2st1	Hs2st1	0.237124422576907
Myef2	Myef2	0.231472189659813
Fam111a	Fam111a	0.229290338588551
Sox8	Sox8	0.228305876563711
Cenpm	Cenpm	0.2239561462299
Rab8b	Rab8b	0.213388713318797
Rnaseh2b	Rnaseh2b	0.213030949678328
Gas2l3	Gas2l3	0.211599235064358
Ncbp1	Ncbp1	0.208859977772528
Ak2	Ak2	0.204788733715629
Ube2c	Ube2c	0.193902440670967
Nrxn3	Nrxn3	0.19050335202949
Usp37	Usp37	0.189070570894981
Kdelr2	Kdelr2	0.186167583507928
C330027C09Rik	C330027C09Rik	0.185972749092643
Esco2	Esco2	0.184715772826593
Gm5148	Gm5148	0.184663077909583
Fth1	Fth1	0.182135550167712
F3	F3	0.181196407711588
Tet2	Tet2	0.178811074496779
Ilf3	Ilf3	0.178142589270712
Lbr	Lbr	0.177256951600728
Dpysl2	Dpysl2	0.176458896000993
Nedd4	Nedd4	0.171859178879887
Ppp1ca	Ppp1ca	0.17174617669845
Rpl37	Rpl37	0.171067345768012
Sf3b1	Sf3b1	0.169562457004874
Bcl11a	Bcl11a	0.165474247177494
Pfn2	Pfn2	0.161315664603328
Btf3	Btf3	0.159688848284132
Ubb	Ubb	0.156590030299969
Cox6c	Cox6c	0.153676191919681
Gpc1	Gpc1	0.152489282022257
Dcun1d5	Dcun1d5	0.151674572973107
Igfbp5	Igfbp5	0.151240540852203
Psma6	Psma6	0.150973625639505
Syap1	Syap1	0.150900455009053
Rps3	Rps3	0.150480815885739
Ywhae	Ywhae	0.148922984505051
Clk1	Clk1	0.148295962949954
Litaf	Litaf	0.14797659799132
Pwwp2a	Pwwp2a	0.147873712912251
Snrnp200	Snrnp200	0.146715571358821
Apoe	Apoe	0.144826455360824
Eif3a	Eif3a	0.144569411595273
Dcx	Dcx	0.142874108593581
