var	rel.inf
Gja1	Gja1	5.6286610283532
Sox8	Sox8	3.20836790870415
Ptma	Ptma	3.17826996004686
Dlx2	Dlx2	2.86628830159993
Ccnd2	Ccnd2	2.77198435896741
Mphosph8	Mphosph8	2.57037164481346
Skil	Skil	2.064884525194
Eef1a1	Eef1a1	1.98739477990293
Clu	Clu	1.96873378058195
Bcan	Bcan	1.84113178438946
Rps27a	Rps27a	1.77324821895574
Aldoc	Aldoc	1.64617916292157
Glul	Glul	1.42780622083957
Rps18	Rps18	1.38626178472077
Abracl	Abracl	1.18718758926959
Nono	Nono	1.15066272897674
Tmsb4x	Tmsb4x	1.11363245110347
Spin1	Spin1	1.03068654609719
Nrxn3	Nrxn3	0.932871345819109
Hes6	Hes6	0.858949559690847
Poldip3	Poldip3	0.772130845842032
Rps25	Rps25	0.748001123622315
Malat1	Malat1	0.709992857582978
Tubb5	Tubb5	0.669605127059368
Zfp932	Zfp932	0.630387862683127
Thoc7	Thoc7	0.621437127992221
Rpl19	Rpl19	0.619208083110418
Nucks1	Nucks1	0.582134441984426
Ezh2	Ezh2	0.566592765982506
Dcx	Dcx	0.542287425095158
Myo1b	Myo1b	0.536355842223124
X0610010K14Rik	X0610010K14Rik	0.498387836206146
Ints4	Ints4	0.491714874700585
Gm13826	Gm13826	0.455435614104627
Zwilch	Zwilch	0.449140067596427
Actb	Actb	0.44704310773536
Cenpp	Cenpp	0.443654801215466
Slc25a4	Slc25a4	0.431844928765464
Rtn1	Rtn1	0.431376654922991
Slbp	Slbp	0.431121685723118
Rpl41	Rpl41	0.404407684663883
Plp1	Plp1	0.392640469099006
Dhfr	Dhfr	0.38872902588249
Tmbim6	Tmbim6	0.366884491252347
Whsc1	Whsc1	0.361862886896234
Rpl32	Rpl32	0.355603773204903
Sh3glb1	Sh3glb1	0.352149430696876
Mt3	Mt3	0.350446517032258
Htra1	Htra1	0.339847820890329
Ntm	Ntm	0.338788897992637
Ndufa6	Ndufa6	0.335909601799438
Apoe	Apoe	0.303597173634813
Mllt11	Mllt11	0.29578016323569
Smc2	Smc2	0.283060191490181
Rbm26	Rbm26	0.280468376537102
Sars	Sars	0.279808037691242
Rps26	Rps26	0.27364576161314
Mfap2	Mfap2	0.273507840668071
Nhp2l1	Nhp2l1	0.259808576831127
X9530068E07Rik	X9530068E07Rik	0.25543341038102
X2610203C20Rik	X2610203C20Rik	0.25219536146216
Ppap2b	Ppap2b	0.250493370447361
Fam60a	Fam60a	0.249822427758349
Neo1	Neo1	0.249337940106188
Taf7	Taf7	0.247174015009342
H3f3b	H3f3b	0.245736887568672
Agpat1	Agpat1	0.245653638646038
Ccdc88a	Ccdc88a	0.245551796551437
Ppp1ca	Ppp1ca	0.240869899607004
Rps15a	Rps15a	0.24077660555875
Rpn2	Rpn2	0.237485326021947
Rps8	Rps8	0.228985226206392
Rpl36al	Rpl36al	0.228937431219254
Jag1	Jag1	0.221240891356646
Sox11	Sox11	0.219871879243097
Tcf20	Tcf20	0.217610497785507
Rnps1	Rnps1	0.212360795722947
Eif3i	Eif3i	0.21124465333512
Nme2	Nme2	0.210501918654682
Pa2g4	Pa2g4	0.208061441730323
Mms22l	Mms22l	0.203780516269753
X2810417H13Rik	X2810417H13Rik	0.202081509454598
Tuba1c	Tuba1c	0.197209898131935
Hist1h4d	Hist1h4d	0.196714089527521
Ckb	Ckb	0.193098232214801
Fam3c	Fam3c	0.191579536395313
Rpl4	Rpl4	0.191154317307703
Ankrd6	Ankrd6	0.189964201715004
Tuba1b	Tuba1b	0.187062465449025
Tmem14c	Tmem14c	0.182450700815588
Dpysl2	Dpysl2	0.180333622950879
Safb	Safb	0.179925580145589
Gm1821	Gm1821	0.179457000770818
