var	rel.inf
Htra1	Htra1	9.63018700808616
Zfp367	Zfp367	6.0394604726285
Nono	Nono	4.75250376710063
Gja1	Gja1	3.48858530777523
Bcan	Bcan	2.12467564987215
Clu	Clu	1.88035012456022
Nrxn3	Nrxn3	1.52051742188432
Myo1b	Myo1b	1.51564773336597
Gm13826	Gm13826	1.48093615458628
Ccnd2	Ccnd2	1.4301637166282
Slc1a2	Slc1a2	1.39625457903335
X2810417H13Rik	X2810417H13Rik	1.37251967320103
Rpl35	Rpl35	1.32909763907383
Eif4a1	Eif4a1	1.09803040115133
Rps21	Rps21	1.04913072960705
Marcks	Marcks	0.923006996394159
Krr1	Krr1	0.918384417594233
Golt1b	Golt1b	0.885824029303959
Jag1	Jag1	0.861093477371324
Mrpl20	Mrpl20	0.818030155671835
Krt10	Krt10	0.800842520500675
Dlx6as1	Dlx6as1	0.705942110108805
Canx	Canx	0.70436555600187
Aldoc	Aldoc	0.614904927718372
Bnip3l	Bnip3l	0.590606556793251
Dcx	Dcx	0.573268284165698
Ttyh1	Ttyh1	0.484432265743193
Sox11	Sox11	0.474730855104297
Ddx5	Ddx5	0.470970870569951
Rps3	Rps3	0.459073704987356
Mrpl28	Mrpl28	0.43324499601025
H3f3b	H3f3b	0.428385982117963
Camta1	Camta1	0.425117477136206
Mfap2	Mfap2	0.420541690811242
Atp5d	Atp5d	0.417230880024448
Itpa	Itpa	0.411888939760236
Phf21b	Phf21b	0.387302679701317
Ado	Ado	0.380674945007547
Cst3	Cst3	0.363194146989466
Rassf2	Rassf2	0.358788978950174
X2810025M15Rik	X2810025M15Rik	0.358386550917213
Tmsb4x	Tmsb4x	0.354543020825695
Luc7l3	Luc7l3	0.33698218588666
Anks1	Anks1	0.328574021618329
Ilf2	Ilf2	0.322959424332375
Skil	Skil	0.321676685166528
Dbi	Dbi	0.312915324577981
Ganab	Ganab	0.279677224746527
Egfr	Egfr	0.274986147992482
Rnf4	Rnf4	0.259322096543808
Tuba1c	Tuba1c	0.241947841363589
Parp1	Parp1	0.237505620034109
Zmym2	Zmym2	0.236905753978201
Miat	Miat	0.236573783211533
Rpl41	Rpl41	0.234178982686951
Cdk2	Cdk2	0.231608610866269
Nrf1	Nrf1	0.230675134724333
Mir682	Mir682	0.220594577206926
Mrfap1	Mrfap1	0.216381472939313
Uqcr11	Uqcr11	0.212946606858727
Ywhaq	Ywhaq	0.211195897456786
Ppap2b	Ppap2b	0.210313911909568
Snord52	Snord52	0.20737685833408
Rplp1	Rplp1	0.206830427158559
Mcm4	Mcm4	0.205550743997319
Sfrs18	Sfrs18	0.205262134933211
Mrpl27	Mrpl27	0.205204176995453
Ankhd1	Ankhd1	0.201794391350525
Cfl1	Cfl1	0.201747625833242
Hnrnpm	Hnrnpm	0.200289124611578
Plgrkt	Plgrkt	0.197356047814376
Plxnb2	Plxnb2	0.193810014606765
Aars	Aars	0.193417403289891
Dhx36	Dhx36	0.188844616241603
Syncrip	Syncrip	0.187709858605541
Dnajb6	Dnajb6	0.186051870901595
Dpf1	Dpf1	0.185955955957169
Rpl32	Rpl32	0.183943091522369
Malat1	Malat1	0.183575150019218
Tipin	Tipin	0.180579410489966
G3bp2	G3bp2	0.179941668973608
Dpysl2	Dpysl2	0.179723582422551
Caprin1	Caprin1	0.176514027552037
Eif1	Eif1	0.172083782942822
Atad2	Atad2	0.171349962814136
Fam111a	Fam111a	0.1707014713509
Gpc1	Gpc1	0.169388928316636
Rnf169	Rnf169	0.167095047740774
Rpl37	Rpl37	0.166771017012495
Hsp90ab1	Hsp90ab1	0.165279654617756
Ndufs6	Ndufs6	0.164461815092738
Rmst	Rmst	0.160759983797711
Ddx3y	Ddx3y	0.159639412850342
Kdelr2	Kdelr2	0.159281495001487
Nusap1	Nusap1	0.158160717571879
Mif	Mif	0.157845705222461
Actb	Actb	0.156359975541436
Mt1	Mt1	0.156276244547902
Tet2	Tet2	0.154733382632906
Srsf3	Srsf3	0.151906063532605
Tubb5	Tubb5	0.149963683562267
Trim67	Trim67	0.147373584981291
Wdhd1	Wdhd1	0.143351472098061
H2afz	H2afz	0.142690497829145
Tsga14	Tsga14	0.142046656937425
Plekhm3	Plekhm3	0.140579453624791
Purb	Purb	0.140328301601735
Lcmt1	Lcmt1	0.139004378113875
Pa2g4	Pa2g4	0.137661845432259
Pfn2	Pfn2	0.132840711741352
Arf4	Arf4	0.129721554687957
Ing5	Ing5	0.129236048647456
Arhgdia	Arhgdia	0.128944536155398
Ccdc88a	Ccdc88a	0.128421617013039
Mn1	Mn1	0.125834773381011
Smc4	Smc4	0.124376917124245
Cox7a2	Cox7a2	0.123971624706934
Sept10	Sept10	0.123938406569151
Cks1b	Cks1b	0.123534713594369
Ctbp2	Ctbp2	0.122984365961649
Mex3a	Mex3a	0.122970196452818
Ints4	Ints4	0.121567317048118
Glul	Glul	0.121127881820731
X2610203C20Rik	X2610203C20Rik	0.121125417567521
Dstn	Dstn	0.117509983659393
Serinc1	Serinc1	0.116191838958569
