var	rel.inf
Skil	Skil	3.69839080675703
Clu	Clu	3.18374264981406
Rpl41	Rpl41	3.0299674182203
Nono	Nono	2.03171577360296
Myef2	Myef2	1.96569822988935
Cfl1	Cfl1	1.88507206622696
Dlx2	Dlx2	1.56013464681151
Gja1	Gja1	1.47681195476355
Tmsb4x	Tmsb4x	1.38873951184938
Ptp4a2	Ptp4a2	1.25846877540868
Plp1	Plp1	1.23289197533894
Tuba1a	Tuba1a	1.22204696596915
Topbp1	Topbp1	1.20636123976533
Actb	Actb	1.19666188214379
Jag1	Jag1	1.15978807403473
Ccnd2	Ccnd2	1.12479786674611
Eef1a1	Eef1a1	1.01316963654161
Hmgb2	Hmgb2	0.917366378459739
Htra1	Htra1	0.835653763648066
Rmst	Rmst	0.832833238986897
Rps21	Rps21	0.781097093622386
Nucks1	Nucks1	0.742618753164946
Fabp7	Fabp7	0.715077248069268
Tpx2	Tpx2	0.679100473757709
Sox11	Sox11	0.666992042087092
Mfap2	Mfap2	0.666150486410373
Aldoc	Aldoc	0.655461357469397
Ndufa6	Ndufa6	0.63269872055879
Plgrkt	Plgrkt	0.598620658053265
Gnb1	Gnb1	0.587365987878072
Mrps9	Mrps9	0.547288813737619
Gm13826	Gm13826	0.524605176331679
Idh1	Idh1	0.507160387556647
Tubb5	Tubb5	0.505065074144479
Dpysl2	Dpysl2	0.502076185027534
Abracl	Abracl	0.475494182138981
Adam22	Adam22	0.469508269284734
Miat	Miat	0.451976542835626
Ubb	Ubb	0.439054702822996
Mdk	Mdk	0.435200751152299
Lig1	Lig1	0.42391906806904
Malat1	Malat1	0.419311065372162
Cenpa	Cenpa	0.390690018390211
Marcksl1	Marcksl1	0.38963171643323
Gsk3b	Gsk3b	0.389546347320761
Dlx6as1	Dlx6as1	0.387983056111508
Ezh2	Ezh2	0.387456321905513
Slbp	Slbp	0.382072388905304
Rpl7	Rpl7	0.376142516363267
Elavl1	Elavl1	0.374388017351005
Lsm6	Lsm6	0.367670730946224
Gnai3	Gnai3	0.358894711001122
Ssrp1	Ssrp1	0.338275708110863
Gga2	Gga2	0.333420444363352
Nrxn3	Nrxn3	0.329635608851232
Cst3	Cst3	0.323569258052115
Hnrnpa0	Hnrnpa0	0.318834722790034
Dnajc9	Dnajc9	0.317692315865999
Pcna	Pcna	0.316306692871522
Lrfn4	Lrfn4	0.315344506849643
Hmgcr	Hmgcr	0.300869334210155
Zfp36l1	Zfp36l1	0.296406776632751
Snrpb	Snrpb	0.295692262458298
Ccdc34	Ccdc34	0.293378367622435
Rps3a1	Rps3a1	0.292100615806913
Epb4.1	Epb4.1	0.289857111335296
Rbbp7	Rbbp7	0.277158175504058
Lsm2	Lsm2	0.269663467581096
Dctn3	Dctn3	0.268514564114586
Tardbp	Tardbp	0.263017348293278
Ttyh1	Ttyh1	0.26006275105751
Zfp326	Zfp326	0.251176206156702
X2810474O19Rik	X2810474O19Rik	0.250667884264229
Rps26	Rps26	0.250217686367971
Serbp1	Serbp1	0.250087055037493
Igfbpl1	Igfbpl1	0.240517679580912
Elavl4	Elavl4	0.239996678857836
Hsp90ab1	Hsp90ab1	0.237386303245759
Tuba1b	Tuba1b	0.236825966475
Rpl10a	Rpl10a	0.235470519534445
Tor1a	Tor1a	0.233320770629655
Hnrnpm	Hnrnpm	0.230975585440773
Smc2	Smc2	0.227397279094104
Fancd2	Fancd2	0.224476611354141
Fam111a	Fam111a	0.223730754820683
Sox4	Sox4	0.222089397784559
X0610007P14Rik	X0610007P14Rik	0.220097762830732
