var	rel.inf
Tmsb4x	Tmsb4x	5.34199339215615
Rps14	Rps14	2.57186114947389
Zwilch	Zwilch	2.56477705205449
Rpl8	Rpl8	2.37536110595852
Clu	Clu	2.28741244219891
Rpl32	Rpl32	1.9857724061927
Gm13826	Gm13826	1.87703245400636
Rplp1	Rplp1	1.54286862207979
Gja1	Gja1	1.5417159894052
Malat1	Malat1	1.49130654518791
Rps26	Rps26	1.38545945695039
Ccnd2	Ccnd2	1.32320282504781
Set	Set	1.13463105609536
Slc1a2	Slc1a2	1.11431429542184
Mad2l1	Mad2l1	1.08392876012962
Ptma	Ptma	0.967781210230786
Rps11	Rps11	0.785599564716714
Dlx2	Dlx2	0.714696141010718
Prdx2	Prdx2	0.703446204694699
Ncl	Ncl	0.692921932376512
Htra1	Htra1	0.685213221327287
X0610010K14Rik	X0610010K14Rik	0.669578942021853
Jag1	Jag1	0.661657826452654
Apoe	Apoe	0.638045757761348
Eef1a1	Eef1a1	0.633507855525912
Nono	Nono	0.621293274938136
Pdcd4	Pdcd4	0.573278256111998
Pnrc2	Pnrc2	0.565564770868125
Dlx1	Dlx1	0.562399229674661
Stx6	Stx6	0.546044246184333
Zfp326	Zfp326	0.544883907108956
Tuba1c	Tuba1c	0.501936238474378
Sox11	Sox11	0.490202358504623
Ubc	Ubc	0.474982476441448
Arf6	Arf6	0.47332537386371
Ndufv2	Ndufv2	0.443230857295589
Dlx6as1	Dlx6as1	0.428512958997635
Myo1b	Myo1b	0.426207864491868
Eif4g2	Eif4g2	0.425853649214116
Cfl1	Cfl1	0.423965982195181
Tuba1b	Tuba1b	0.418837369046789
Ubb	Ubb	0.396459555742514
Dbi	Dbi	0.380869697792786
Tipin	Tipin	0.365971488812912
Kif22	Kif22	0.353097436675183
Igfbpl1	Igfbpl1	0.351290057113969
Nup133	Nup133	0.350444214428345
Nucks1	Nucks1	0.332837406885342
Pitpnc1	Pitpnc1	0.325157451987168
X9430015G10Rik	X9430015G10Rik	0.324431126996034
Nt5c3	Nt5c3	0.305957168301248
Hsf2	Hsf2	0.305031740545116
Atp6v1g1	Atp6v1g1	0.294917563248162
Rpl7	Rpl7	0.292224109601002
Pcbp1	Pcbp1	0.292048837586117
Psmb6	Psmb6	0.285042313885732
Cst3	Cst3	0.28337038882321
Nrxn3	Nrxn3	0.281749279397693
Ndufa4	Ndufa4	0.276245691760506
Nolc1	Nolc1	0.273396450204951
Ccdc34	Ccdc34	0.270244341352922
Mt1	Mt1	0.26963639136493
Supt16	Supt16	0.260436725673965
Rps3a1	Rps3a1	0.253403451555923
Fam3c	Fam3c	0.252137412655914
Rfc4	Rfc4	0.250626328107668
Gas1	Gas1	0.245610788022378
Nuf2	Nuf2	0.244818949746077
Braf	Braf	0.238091151500776
Dlx5	Dlx5	0.233029386098202
Snw1	Snw1	0.224297495117209
Rmst	Rmst	0.222313212930564
Mettl9	Mettl9	0.221396681581282
Naa38	Naa38	0.217871970557546
Uqcrc1	Uqcrc1	0.217063135341706
Cdk1	Cdk1	0.216701292304375
Tpx2	Tpx2	0.215196810182528
Plp1	Plp1	0.211302660149337
