var	rel.inf
Ptges3	Ptges3	5.70771056508593
Eef1a1	Eef1a1	5.155304127823
Nrxn3	Nrxn3	4.31844113839236
Clu	Clu	4.21475286126814
Abracl	Abracl	3.73641543344286
Ccnd2	Ccnd2	3.54948549332741
Mir682	Mir682	2.94115677683916
Gja1	Gja1	2.21709565316157
Htra1	Htra1	1.87417696896396
Actb	Actb	1.86463076022441
Rps19	Rps19	1.58443047184665
Manf	Manf	1.53349664131995
Dlx2	Dlx2	1.48835912700991
Tmsb4x	Tmsb4x	1.37769071773345
Jag1	Jag1	0.916215440878283
Pnrc2	Pnrc2	0.900862023785286
Tceb2	Tceb2	0.865431652869046
Gm5148	Gm5148	0.720563740969034
Gm13826	Gm13826	0.710860145516568
Ube2k	Ube2k	0.694960954283416
Ankhd1	Ankhd1	0.67475391952555
Tardbp	Tardbp	0.557394618140506
Dlx6as1	Dlx6as1	0.548582683453321
Cox6a1	Cox6a1	0.524015439157726
Ctcf	Ctcf	0.512016089723793
Thrsp	Thrsp	0.509141276781675
Rbbp7	Rbbp7	0.500066584845899
Cd81	Cd81	0.497660793023856
Nono	Nono	0.493607616087617
Ankrd13c	Ankrd13c	0.482101358077035
Larp1	Larp1	0.468628526091665
Rbm45	Rbm45	0.433466630209098
Slc1a2	Slc1a2	0.407040546408961
Skp1a	Skp1a	0.392087752027075
Ntm	Ntm	0.37854489238187
Tpx2	Tpx2	0.363582542617051
Jun	Jun	0.360594519586482
Birc5	Birc5	0.358495175573814
Rps25	Rps25	0.357775419515475
Rps27a	Rps27a	0.351308699324267
Rpl32	Rpl32	0.334268433178565
Aarsd1	Aarsd1	0.330985908518345
Pla2g7	Pla2g7	0.321227841227981
Dhfr	Dhfr	0.317750217809264
Ttc9c	Ttc9c	0.314491690297409
Sptan1	Sptan1	0.311762130898608
Hif1an	Hif1an	0.311591976569023
Gnb1	Gnb1	0.309109533892874
Sri	Sri	0.303663995190814
Rpa1	Rpa1	0.301349336491805
Ccar1	Ccar1	0.287895125014885
Skil	Skil	0.282429611664195
Nras	Nras	0.281439891842979
Sept10	Sept10	0.276709236065809
Ilf2	Ilf2	0.272797116800588
G3bp1	G3bp1	0.251303744034696
Spast	Spast	0.240635841273003
Sars	Sars	0.238670117494773
Rpl41	Rpl41	0.237106358527931
Eny2	Eny2	0.223974170373108
Cetn3	Cetn3	0.217362290738289
Rps14	Rps14	0.214753437714566
Rpl4	Rpl4	0.213113897299603
Ywhae	Ywhae	0.201713697144229
X2610203C20Rik	X2610203C20Rik	0.20106630567028
Hes6	Hes6	0.200834792989274
Anks1	Anks1	0.196943028166515
Pdia3	Pdia3	0.193277039187787
Miat	Miat	0.192391671971524
Khsrp	Khsrp	0.192181641415682
Igfbpl1	Igfbpl1	0.191562482875211
Ncam1	Ncam1	0.19152522816828
Set	Set	0.191523459002775
Ftl1	Ftl1	0.189394191407637
Pola1	Pola1	0.188419872028303
Fbxo5	Fbxo5	0.178645399533064
Rps8	Rps8	0.175237299365009
Rbm3	Rbm3	0.174896017280898
Tra2a	Tra2a	0.173430793103792
Rpl18a	Rpl18a	0.168839094366432
Rps11	Rps11	0.168194594391225
Nup107	Nup107	0.16271034239473
Psma5	Psma5	0.160831515714423
Bsg	Bsg	0.160011312843001
Zeb2	Zeb2	0.159632914760646
Rpl14	Rpl14	0.159120155911433
Cenpa	Cenpa	0.157985823638173
Mad2l1	Mad2l1	0.155244033861976
Tk1	Tk1	0.153257489546211
Mn1	Mn1	0.152255214150919
Fam168a	Fam168a	0.151369780289035
Mrpl53	Mrpl53	0.150097272280681
Tuba1b	Tuba1b	0.149927830845736
Smad1	Smad1	0.149736829795191
Txndc9	Txndc9	0.147750074229201
Zfp644	Zfp644	0.147249358655313
Spag5	Spag5	0.146112222014133
Rrm1	Rrm1	0.145231182967937
Mthfd1	Mthfd1	0.142279748830045
Inip	Inip	0.137823385949609
Ncl	Ncl	0.134860738820169
Pabpc1	Pabpc1	0.134768884801521
Rpain	Rpain	0.13348201675153
Gnl3	Gnl3	0.132723167960419
Arrdc3	Arrdc3	0.129533605104858
Nme1	Nme1	0.124519878286021
Poldip3	Poldip3	0.124093566036965
D4Wsu53e	D4Wsu53e	0.124015887894042
Clasp2	Clasp2	0.123595152646382
X9530068E07Rik	X9530068E07Rik	0.122550187059507
Map1b	Map1b	0.121223700030566
Ubb	Ubb	0.120341084665078
Zfp326	Zfp326	0.118602326626119
Hsp90ab1	Hsp90ab1	0.116784233727406
Tubb4b	Tubb4b	0.115572916807226
Map4k4	Map4k4	0.115433169543034
Serbp1	Serbp1	0.11495737183092
Ptma	Ptma	0.11449419751139
Ipo5	Ipo5	0.114136247330562
Adam22	Adam22	0.112788828668772
Malat1	Malat1	0.112547093882157
Hdgf	Hdgf	0.110528563635998
Hspa14	Hspa14	0.11016535212066
Psmb7	Psmb7	0.109593335292195
Slbp	Slbp	0.108190262944655
Usp47	Usp47	0.107616733517183
Sfrs18	Sfrs18	0.106838172230092
Nup93	Nup93	0.106483325015696
Phf6	Phf6	0.105852430106441
Map3k1	Map3k1	0.105852135051082
Hspe1	Hspe1	0.104137867033782
Anp32a	Anp32a	0.103367351346916
Eif3i	Eif3i	0.100635825593933
Dbi	Dbi	0.0991553883379651
Cenpm	Cenpm	0.0990740019514759
Crmp1	Crmp1	0.0989702629146199
Kars	Kars	0.0981947985787927
Rps3a1	Rps3a1	0.0980091439966324
Topbp1	Topbp1	0.09733526811113
Dzip1	Dzip1	0.0964829021472485
